SampleID	FP Signals	Acinetobacter baumannii	Bacillus cereus	Bifidobacterium adolescentis	Rhodobacter sphaeroides	Clostridium beijerinckii	Cutibacterium acnes	Deinococcus radiodurans	Enterococcus faecalis	Escherichia coli	Helicobacter pylori	Lactobacillus gasseri	Neisseria meningitidis	Schaalia odontolytica	Bacteroides vulgatus	Porphyromonas gingivalis	Pseudomonas aeruginosa	Staphylococcus aureus	Staphylococcus epidermidis	Streptococcus agalactiae	Streptococcus mutans
a_Ground Truth	0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
b_90%_16S_1	0.232708	0.041841	0	0.029305	0.02313	0.031203	0.026842	0.039114	0.024851	0.219374	0.011694	0.044352	0	0.016834	0.033666	0.017172	0.024366	0.014302	0.020273	0.082721	0.066252
c_90%_16S_2	0.247177	0.038465	0	0.028712	0.021099	0.033796	0.020526	0.039437	0.010142	0.224814	0.011005	0.045841	0	0.016542	0.035791	0.018015	0.022365	0.015458	0.020223	0.082869	0.067723
d_90%_MetaPhlAn	1.00E-07	0.0569324	0.0153891	0.043743	0.0508145	0.0405346	0.0584017	0.0742911	0.0519556	0.0886939	0.0493945	0.0430819	0.0637122	0.018565	0.0501352	0.048725	0.0554312	0.0403734	0.0428646	0.0519767	0.0549843
e_90%_Bracken	0.44376925	0.011426497	0.016395264	0.004897538	0.01128166	0.012925871	0.007410918	0.013520981	0.006059355	0.383165289	0.005102897	0.004563699	0.007117229	0	0.012726163	0.005663359	0.019121884	0.01881734	0.006304121	0.004928914	0.004801773
f_90%_2b_1	0.000165711	0.060750126	0.024584857	0.0434893	0.057440577	0.036800631	0.069957937	0.081437942	0.03888912	0.034643525	0.042590499	0.044639204	0.064545544	0.044775358	0.064460675	0.051588824	0.059340002	0.039572646	0.040957414	0.049189949	0.050180163
g_90%_2b_2	0.000230299	0.063710737	0.024447986	0.042184785	0.053636341	0.038737254	0.067873159	0.077725873	0.039032639	0.034852234	0.046245948	0.046445791	0.061392393	0.043160236	0.065061052	0.05095331	0.055879456	0.040779558	0.043281129	0.050547612	0.053822206
h_99%_16S_1	0.177061	0.0255	0	0.016803	0.016396	0.00423	0.016929	0.019841	0.013106	0.515692	0.007728	0.022448	0	0.009879	0.019114	0.009997	0.014197	0.008761	0.010672	0.04882	0.042826
i_99%_16S_2	0.145681	0.016424	0	0.009229	0.014488	0.013005	0.00837	0.015961	0.013196	0.617408	0.003724	0.018366	0	0.005696	0.013367	0.007848	0.011375	0.00883	0.006893	0.038526	0.031613
j_99%_MetaPhlAn	0	0.0420988	0.0099769	0.0316545	0.0421093	0.0259863	0.0417235	0.0437794	0.0336491	0.3313357	0.0379008	0.043257	0.0448003	0.0172299	0.0287099	0.0377547	0.0453077	0.025548	0.0302823	0.0421783	0.0447176
k_99%_Bracken	0.518015865	0.002046325	0.003858314	0.000951291	0.002228684	0.002263628	0.00143068	0.001797894	0.001115883	0.443997553	0.000956283	0.00083471	0.001313806	0	0.002323093	0.00101193	0.003791801	0.009068315	0.00116184	0.00097537	0.000856734
l_99%_2b_1	3.57E-05	0.064953721	0.022674156	0.042013087	0.053705777	0.033989608	0.067992406	0.07713647	0.038134303	0.046329115	0.043853247	0.047414547	0.059162493	0.041928666	0.065655273	0.052113958	0.055613376	0.03910077	0.043218072	0.050276951	0.054698298
m_99%_2b_2	0.000149765	0.061948299	0.023769438	0.042238625	0.056011503	0.037286413	0.068453566	0.079292766	0.036401755	0.046411922	0.042019364	0.045056214	0.058490223	0.04286965	0.065814179	0.052289664	0.057117853	0.042074411	0.04314311	0.047655242	0.051506036
