SampleID	FP Signals	Acinetobacter	Bacillus	Bifidobacterium	Cereibacter	Clostridium	Cutibacterium	Deinococcus	Enterococcus	Escherichia	Helicobacter	Lactobacillus	Neisseria	Pauljensenia	Phocaeicola	Porphyromonas	Pseudomonas	Staphylococcus	Streptococcus
a_Ground Truth	0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.1	0.1
b_90%_16S_1	0.652701681	0.097440015	0.01421689	0.00011808	0	0.010131305	0.005951256	0.000590402	0.001676743	0.007722464	0.002432458	0.021844889	0.001558662	0	0	0.000566786	0.169303797	0.004439826	0.009304742
c_90%_16S_2	0.186652026	0.04418306	0.007332825	0.013939811	0	0.036217454	0.034561054	0.071392678	0.024120154	0.147866222	0.01286036	0.072453518	0.078390501	0	0	0.060784277	0.045430012	0.059537325	0.104278722
d_90%_MetaPhlAn	1.00E-07	0.0569324	0.0153891	0.043743	0.0508145	0.0405346	0.0584017	0.0742911	0.0519556	0.0886939	0.0493945	0.0430819	0.0637122	0.018565	0.0501352	0.048725	0.0554312	0.083238	0.106961
e_90%_mOTUs	0.00195272	0.055901444	0.058076	0.048140488	0.043448812	0.048805599	0.043692454	0.08611042	0.04043051	0.081335646	0.051910112	0.0351095	0.049418602	0.042000473	0.046448851	0.052939254	0.048278538	0.079652219	0.086348359
f_90%_2b_1	0.000165711	0.060750126	0.024584857	0.0434893	0.057440577	0.036800631	0.069957937	0.081437942	0.03888912	0.034643525	0.042590499	0.044639204	0.064545544	0.044775358	0.064460675	0.051588824	0.059340002	0.08053006	0.099370111
g_90%_2b_2	0.000230299	0.063710737	0.024447986	0.042184785	0.053636341	0.038737254	0.067873159	0.077725873	0.039032639	0.034852234	0.046245948	0.046445791	0.061392393	0.043160236	0.065061052	0.05095331	0.055879456	0.084060687	0.104369818
h_99%_16S_1	0.818291479	0.053149103	0.024637204	0.000548306	0	0.008882553	0.003582264	0.001023504	0.003655372	0.002924297	0.005227181	0.027415287	0.001389041	0	0	0.000219322	0.026940088	0.005373396	0.016741602
i_99%_16S_2	0.799588625	0.027901985	0.025800393	0.000916652	0	0.003912538	0.017438741	0.00033536	0.007668574	0.009591307	0.000402432	0.025778036	0.002906457	0	0	0.00127437	0.036353067	0.012117689	0.028013772
j_99%_MetaPhlAn	0	0.0420988	0.0099769	0.0316545	0.0421093	0.0259863	0.0417235	0.0437794	0.0336491	0.3313357	0.0379008	0.043257	0.0448003	0.0172299	0.0287099	0.0377547	0.0453077	0.0558303	0.0868959
k_99%_mOTUs	0.007492908	0.03568751	0.047853388	0.036012835	0.042689856	0.031645314	0.045313255	0.039215406	0.031810974	0.296075237	0.035792999	0.023957531	0.034474117	0.027561524	0.029427928	0.048592284	0.040767028	0.067071317	0.07855859
l_99%_2b_1	3.57E-05	0.064953721	0.022674156	0.042013087	0.053705777	0.033989608	0.067992406	0.07713647	0.038134303	0.046329115	0.043853247	0.047414547	0.059162493	0.041928666	0.065655273	0.052113958	0.055613376	0.082318841	0.104975249
m_99%_2b_2	0.000149765	0.061948299	0.023769438	0.042238625	0.056011503	0.037286413	0.068453566	0.079292766	0.036401755	0.046411922	0.042019364	0.045056214	0.058490223	0.04286965	0.065814179	0.052289664	0.057117853	0.085217521	0.099161279
