"Species","col_2b","col_16S","Group","Color"
"Abiotrophia",0.001137345,0.000561126,"s11_1","shared"
"Acetatifactor",0,0.001000268,"s11_1","16S only"
"Acinetobacter",0.000140445,0,"s11_1","2b only"
"Actinomyces",0.001650897,0.000561126,"s11_1","shared"
"Agathobaculum",0,9.75872e-05,"s11_1","16S only"
"Aggregatibacter",0.007394373,0.014003757,"s11_1","shared"
"Akkermansia",0,0.000146381,"s11_1","16S only"
"Alistipes",0,4.87936e-05,"s11_1","16S only"
"Allisonella",0.000323434,0.000707507,"s11_1","shared"
"Alloprevotella",0.001321697,0,"s11_1","2b only"
"AM07-15",0,0.000121984,"s11_1","16S only"
"Aminipila",0,0.000414745,"s11_1","16S only"
"Aminivibrio",0,0.001536998,"s11_1","16S only"
"Anaerofustis",0,4.87936e-05,"s11_1","16S only"
"Anaeroglobus",0.000115928,0.000219571,"s11_1","shared"
"Anaeromassilibacillus",0,9.75872e-05,"s11_1","16S only"
"Anaerosacchariphilus",0,0.000561126,"s11_1","16S only"
"Anaerotignum",0,0.000463539,"s11_1","16S only"
"Anaerotruncus",0,4.87936e-05,"s11_1","16S only"
"Ancrocorticia",0,9.75872e-05,"s11_1","16S only"
"Arachnia",0.000636272,0,"s11_1","2b only"
"Aureimonas_A",0,7.31904e-05,"s11_1","16S only"
"Bacillus_A",1.35853e-05,0,"s11_1","2b only"
"Bact-08",0,7.31904e-05,"s11_1","16S only"
"Bacteroides",2.98776e-05,0.000463539,"s11_1","shared"
"Bacteroides_D",6.69806e-05,0,"s11_1","2b only"
"Bariatricus",0,0.000951475,"s11_1","16S only"
"Bergeyella_A",0.000136977,0.000365952,"s11_1","shared"
"Blautia_A",0,0.0007563,"s11_1","16S only"
"Bulleidia",0.000269031,0.000317158,"s11_1","shared"
"Butyricicoccus_A",0,0.001000268,"s11_1","16S only"
"CAG-1000",0,0.000146381,"s11_1","16S only"
"CAG-1024",0,0.000146381,"s11_1","16S only"
"CAG-115",0,0.000121984,"s11_1","16S only"
"CAG-180",0,0.000121984,"s11_1","16S only"
"CAG-41",0,0.000292761,"s11_1","16S only"
"CAG-475",0,0.000292761,"s11_1","16S only"
"CAG-485",0,4.87936e-05,"s11_1","16S only"
"CAG-488",0,0.000170778,"s11_1","16S only"
"CAG-793",7.52727e-05,0,"s11_1","2b only"
"Campylobacter_A",0.00227323,0.006416356,"s11_1","shared"
"Campylobacter_B",4.85046e-05,0,"s11_1","2b only"
"Capnocytophaga",0.010689777,0.00790456,"s11_1","shared"
"Cardiobacterium",0.000909254,0.00190295,"s11_1","shared"
"Catonella",8.89587e-05,0,"s11_1","2b only"
"Centipeda",0.000186179,0.00129303,"s11_1","shared"
"Clostridium",0,0.001390617,"s11_1","16S only"
"Clostridium_AN",0,0.000390349,"s11_1","16S only"
"Collinsella",0,0.000707507,"s11_1","16S only"
"Corynebacterium",0.001484527,0.001805362,"s11_1","shared"
"Cutibacterium",8.14314e-05,0,"s11_1","2b only"
"Desulfobulbus",9.62042e-05,0.000121984,"s11_1","shared"
"Desulfomicrobium",0,7.31904e-05,"s11_1","16S only"
"Desulfonispora",0,4.87936e-05,"s11_1","16S only"
"Desulfovibrio",0,0.000121984,"s11_1","16S only"
"Dialister",0.000378255,0.001512601,"s11_1","shared"
"Draconibacterium",1.46923e-05,0,"s11_1","2b only"
"Duncaniella",0,4.87936e-05,"s11_1","16S only"
"Eggerthia",9.42922e-05,0,"s11_1","2b only"
"Eikenella",0.001876163,0.002415282,"s11_1","shared"
"Emergencia",0,0.000317158,"s11_1","16S only"
"Erysipelatoclostridium",0,4.87936e-05,"s11_1","16S only"
"Eubacterium_A",2.77744e-05,0.000951475,"s11_1","shared"
"Eubacterium_B",0.0002252,0.000365952,"s11_1","shared"
"Eubacterium_M",0.001192284,0.000219571,"s11_1","shared"
"Eubacterium_N",0.005973422,0.002610456,"s11_1","shared"
"Eubacterium_R",0,0.006709117,"s11_1","16S only"
"Extibacter",0,4.87936e-05,"s11_1","16S only"
"F0040",0.001313958,0.011149333,"s11_1","shared"
"F0058",0.000832007,0.001195443,"s11_1","shared"
"F0422",0.001018063,0.001415014,"s11_1","shared"
"F0428",1.6403e-05,0.000146381,"s11_1","shared"
"Faecalibacterium",0,0.001878553,"s11_1","16S only"
"Faecalicoccus",0,9.75872e-05,"s11_1","16S only"
"Filifactor",0.002978159,0,"s11_1","2b only"
"Flexilinea",1.27803e-05,0,"s11_1","2b only"
"Fournierella",0,9.75872e-05,"s11_1","16S only"
"Fretibacterium",0.00017465,0,"s11_1","2b only"
"Fusobacterium",0.004772089,0.052623875,"s11_1","shared"
"Gemella",0.019705426,0.018346386,"s11_1","shared"
"GN02-872",0.000650938,7.31904e-05,"s11_1","shared"
"GN02-873",0.002694537,0.000707507,"s11_1","shared"
"Granulicatella",0.00809811,0.009587938,"s11_1","shared"
"Haemophilus",0.018026008,0.008929225,"s11_1","shared"
"Haemophilus_A",0.013293268,0.006977482,"s11_1","shared"
"Haemophilus_D",0.048411444,0.004879358,"s11_1","shared"
"Holdemanella",0,0.000463539,"s11_1","16S only"
"HOT-345",0.001473188,0.00060992,"s11_1","shared"
"Intestinimonas",0,7.31904e-05,"s11_1","16S only"
"Ishikawaella",0,7.31904e-05,"s11_1","16S only"
"JAAYOI01",0,0.000146381,"s11_1","16S only"
"JABCPE02",0.002723543,0,"s11_1","2b only"
"JABCPG02",1.98245e-05,0,"s11_1","2b only"
"JABCPH02",2.04283e-05,0,"s11_1","2b only"
"Johnsonella",7.72854e-05,0.000243968,"s11_1","shared"
"Kingella",0.000264287,0,"s11_1","2b only"
"Kingella_A",0.001077784,0,"s11_1","2b only"
"Kingella_B",7.04424e-05,0.000487936,"s11_1","shared"
"Lachnoanaerobaculum",0.00019261,0.000975872,"s11_1","shared"
"Lachnospira",0,0.000341555,"s11_1","16S only"
"Lacrimispora",0,0.000439142,"s11_1","16S only"
"Lactobacillus",0,0.007953353,"s11_1","16S only"
"Lancefieldella",0.000144105,0.000268365,"s11_1","shared"
"Lautropia",0.004373449,0,"s11_1","2b only"
"Lawsonella",1.9422e-05,0,"s11_1","2b only"
"Lawsonibacter",0,0.000195174,"s11_1","16S only"
"Leptotrichia",0.001536108,0.010149064,"s11_1","shared"
"Leptotrichia_A",0.000515005,0.002293298,"s11_1","shared"
"Limosilactobacillus",0,0.000463539,"s11_1","16S only"
"Macrococcus_B",1.99251e-05,0,"s11_1","2b only"
"Marvinbryantia",0,0.000146381,"s11_1","16S only"
"Massilioclostridium",0,7.31904e-05,"s11_1","16S only"
"Mediterraneibacter",0,4.87936e-05,"s11_1","16S only"
"Megasphaera",0,0.000317158,"s11_1","16S only"
"Mesomycoplasma",0,9.75872e-05,"s11_1","16S only"
"Metamycoplasma",0.000118424,0.000927078,"s11_1","shared"
"Microbacterium",2.71565e-05,0,"s11_1","2b only"
"Mogibacterium",0.000382099,0.000268365,"s11_1","shared"
"Moraxella",0,0.01793164,"s11_1","16S only"
"Moraxella_A",0,0.000243968,"s11_1","16S only"
"Muricomes",0,0.000585523,"s11_1","16S only"
"Neisseria",0.493263422,0.393495816,"s11_1","shared"
"NSJ-50",0,0.000195174,"s11_1","16S only"
"Olsenella",2.52405e-05,4.87936e-05,"s11_1","shared"
"Olsenella_E",0,4.87936e-05,"s11_1","16S only"
"Oribacterium",0.000137675,0.002098124,"s11_1","shared"
"Oscillibacter",0,0.000292761,"s11_1","16S only"
"Ottowia",0.000344949,0.001024665,"s11_1","shared"
"Parabacteroides",0,0.000439142,"s11_1","16S only"
"Paraeggerthella",0,0.000146381,"s11_1","16S only"
"Paraprevotella",0,0.000902681,"s11_1","16S only"
"Parvimonas",0.000478148,0.001000268,"s11_1","shared"
"Pasteurella",1.93213e-05,0,"s11_1","2b only"
"Pauljensenia",0.000637616,0.000536729,"s11_1","shared"
"Peptidiphaga",0.000172065,0,"s11_1","2b only"
"Peptoanaerobacter",0.000252545,0.000439142,"s11_1","shared"
"Peptostreptococcus",0.000324,0.0007563,"s11_1","shared"
"Phascolarctobacterium_A",0,0.001439411,"s11_1","16S only"
"Phocaeicola",3.36111e-05,0.000170778,"s11_1","shared"
"Porphyromonas",0.034327704,0.053160604,"s11_1","shared"
"Prevotella",0.025013109,0.085193589,"s11_1","shared"
