Species,col_2b,col_WMS,Group,Color
Abiotrophia_defectiva,0.000399971,0.000332869,s11_1,shared
Abiotrophia_sp001815865,0.000737248,0.000603111,s11_1,shared
Acinetobacter_guillouiae,0.000140429,0,s11_1,(2b)2bRAD-M only
Actinomyces_dentalis,1.58E-05,2.02E-05,s11_1,shared
Actinomyces_denticolens,2.59E-06,0,s11_1,(2b)2bRAD-M only
Actinomyces_gerencseriae,2.08E-05,2.86E-05,s11_1,shared
Actinomyces_graevenitzii,7.98E-05,8.68E-05,s11_1,shared
Actinomyces_israelii,9.07E-06,1.49E-05,s11_1,shared
Actinomyces_johnsonii,6.18E-05,7.31E-05,s11_1,shared
Actinomyces_massiliensis,2.60E-05,3.27E-05,s11_1,shared
Actinomyces_naeslundii,0.000273487,0.000307969,s11_1,shared
Actinomyces_oris,0.000540886,0.00062588,s11_1,shared
Actinomyces_oris_A,9.39E-05,0.000138076,s11_1,shared
Actinomyces_oris_B,4.37E-05,4.72E-05,s11_1,shared
Actinomyces_oris_C,6.35E-05,8.40E-05,s11_1,shared
Actinomyces_oris_D,7.36E-05,8.04E-05,s11_1,shared
Actinomyces_oris_E,0.000104082,0.000122833,s11_1,shared
Actinomyces_sp000195595,4.51E-05,5.55E-05,s11_1,shared
Actinomyces_sp000220835,1.76E-05,2.32E-05,s11_1,shared
Actinomyces_sp001278845,5.09E-06,1.04E-05,s11_1,shared
Actinomyces_sp002999235,9.96E-06,8.59E-06,s11_1,shared
Actinomyces_sp011752065,1.08E-06,0,s11_1,(2b)2bRAD-M only
Actinomyces_sp900323545,6.15E-05,6.97E-05,s11_1,shared
Actinomyces_timonensis,9.98E-05,0.000123807,s11_1,shared
Actinomyces_viscosus,1.74E-06,0,s11_1,(2b)2bRAD-M only
Aggregatibacter_actinomycetemcomitans,1.48E-05,0,s11_1,(2b)2bRAD-M only
Aggregatibacter_aphrophilus,0.0005534,0.000615269,s11_1,shared
Aggregatibacter_kilianii,0.000121893,0.000148459,s11_1,shared
Aggregatibacter_segnis,0.002762841,0.003335197,s11_1,shared
Aggregatibacter_segnis_A,0.001906098,0.002268811,s11_1,shared
Aggregatibacter_sp000466335,0.002034529,0.002357848,s11_1,shared
