"Species","col_2b","col_WMS","Group"
"Abiotrophia_defectiva",0.000399971,0.000240487,"s11_1"
"Abiotrophia_sp001815865",0.000737248,0.001577687,"s11_1"
"Actinomyces_dentalis",1.58e-05,5.22e-06,"s11_1"
"Actinomyces_graevenitzii",7.98e-05,7.32e-05,"s11_1"
"Actinomyces_johnsonii",6.18e-05,1.02e-05,"s11_1"
"Actinomyces_naeslundii",0.000273487,0.000289065,"s11_1"
"Actinomyces_oris",0.000540886,0.000793335,"s11_1"
"Actinomyces_timonensis",9.98e-05,7.27e-05,"s11_1"
"Aggregatibacter_kilianii",0.000121893,0.000144794,"s11_1"
"Aggregatibacter_segnis",0.002762841,0.004821023,"s11_1"
"Aggregatibacter_sp000466335",0.002034529,0.006150909,"s11_1"
"Allisonella_pneumosintes",0.000323398,0.00028123,"s11_1"
"Alloprevotella_rava",0.000118593,9.93e-05,"s11_1"
"Alloprevotella_tannerae",0.001202958,0.001542376,"s11_1"
"Anaeroglobus_geminatus",7.69e-05,7.69e-05,"s11_1"
"Anaeroglobus_micronuciformis",3.9e-05,6.27e-06,"s11_1"
"Arachnia_sp013333945",0.000338378,0.000475228,"s11_1"
"Bacteroides_D_sp013333835",2.78e-06,3.72e-05,"s11_1"
"Bergeyella_A_cardium",0.000136962,8.82e-05,"s11_1"
"Bulleidia_extructa",9.46e-05,7.79e-05,"s11_1"
"CAG-793_sp013333035",3.47e-05,4.9e-05,"s11_1"
"CAG-793_sp013333395",4.06e-05,2.36e-05,"s11_1"
"Campylobacter_A_concisus_T",0.000128751,0.000213116,"s11_1"
"Campylobacter_A_rectus",0.001489155,0.002740424,"s11_1"
"Campylobacter_A_showae_A",6.05e-05,3.97e-05,"s11_1"
"Campylobacter_B_gracilis",2.55e-05,9.04e-05,"s11_1"
"Capnocytophaga_gingivalis",0.001172029,0.001076237,"s11_1"
"Capnocytophaga_granulosa",0.000331873,0.000205908,"s11_1"
"Capnocytophaga_leadbetteri",0.002399445,0.002588422,"s11_1"
"Capnocytophaga_ochracea",0.000977071,0.000675913,"s11_1"
"Capnocytophaga_sp000466425",0.001806181,0.002346785,"s11_1"
"Capnocytophaga_sp002999135",0.000200076,8.79e-05,"s11_1"
"Capnocytophaga_sputigena",0.00306732,0.002839146,"s11_1"
"Cardiobacterium_hominis",0.000831977,0.000975947,"s11_1"
"Cardiobacterium_valvarum",7.72e-05,9.8e-05,"s11_1"
"Catonella_morbi",8.89e-05,0.000112722,"s11_1"
"Corynebacterium_argentoratense",0.000104384,6.99e-05,"s11_1"
"Corynebacterium_durum",0.000470538,0.000495286,"s11_1"
"Corynebacterium_matruchotii",0.00090613,0.000942412,"s11_1"
"Cutibacterium_acnes",7.92e-05,2.13e-05,"s11_1"
"Desulfobulbus_oralis",9.62e-05,3.71e-05,"s11_1"
"Dialister_invisus",0.000364831,0.000325316,"s11_1"
"Eikenella_corrodens",0.001544872,0.000110423,"s11_1"
"Eikenella_halliae",0.000115371,0.000154091,"s11_1"
"Eubacterium_B_infirmum",0.000194083,0.000134242,"s11_1"
"Eubacterium_B_sulci",3.11e-05,1.43e-05,"s11_1"
"Eubacterium_M_brachy",0.001192151,0.0014541,"s11_1"
"Eubacterium_N_saphenum",0.005972759,0.007704777,"s11_1"
"F0058_sp000163695",0.000831915,0.001117606,"s11_1"
"F0422_sp001553345",0.000776661,0.000714984,"s11_1"
"F0422_sp003992055",8.57e-05,6.74e-05,"s11_1"
"F0422_sp003999875",8.5e-05,4.7e-05,"s11_1"
"Filifactor_alocis",0.002977829,0.004146677,"s11_1"
"Fretibacterium_fastidiosum",0.00016155,0.000176761,"s11_1"
"Fusobacterium_animalis",0.000673696,0.000800439,"s11_1"
"Fusobacterium_hwasookii",0.000109411,0.000176134,"s11_1"
"Fusobacterium_nucleatum_J",0.001641863,0.006375726,"s11_1"
"Fusobacterium_polymorphum",0.000452307,0.000470945,"s11_1"
"Fusobacterium_pseudoperiodonticum",0.000613683,0.001343259,"s11_1"
"Fusobacterium_vincentii",0.00093398,0.002307192,"s11_1"
