Species,col_mpa,col_2bp,Group,Color
Abiotrophia_defectiva,0.000240487,0.000332869,s11_1,shared
Abiotrophia_sp001815865,0.001577687,0.000603111,s11_1,shared
Actinomyces_dentalis,5.22E-06,2.02E-05,s11_1,shared
Actinomyces_gerencseriae,0,2.86E-05,s11_1,(WMS)2bRAD-M only
Actinomyces_graevenitzii,7.32E-05,8.68E-05,s11_1,shared
Actinomyces_israelii,0,1.49E-05,s11_1,(WMS)2bRAD-M only
Actinomyces_johnsonii,1.02E-05,7.31E-05,s11_1,shared
Actinomyces_massiliensis,0,3.27E-05,s11_1,(WMS)2bRAD-M only
Actinomyces_naeslundii,0.000289065,0.000307969,s11_1,shared
Actinomyces_oris,0.000793335,0.00062588,s11_1,shared
Actinomyces_oris_A,0,0.000138076,s11_1,(WMS)2bRAD-M only
Actinomyces_oris_B,0,4.72E-05,s11_1,(WMS)2bRAD-M only
Actinomyces_oris_C,0,8.40E-05,s11_1,(WMS)2bRAD-M only
Actinomyces_oris_D,0,8.04E-05,s11_1,(WMS)2bRAD-M only
Actinomyces_oris_E,0,0.000122833,s11_1,(WMS)2bRAD-M only
Actinomyces_sp000195595,0,5.55E-05,s11_1,(WMS)2bRAD-M only
Actinomyces_sp000220835,0,2.32E-05,s11_1,(WMS)2bRAD-M only
Actinomyces_sp001278845,0,1.04E-05,s11_1,(WMS)2bRAD-M only
Actinomyces_sp002999235,0,8.59E-06,s11_1,(WMS)2bRAD-M only
Actinomyces_sp900323545,0,6.97E-05,s11_1,(WMS)2bRAD-M only
Actinomyces_timonensis,7.27E-05,0.000123807,s11_1,shared
Aggregatibacter_aphrophilus,0,0.000615269,s11_1,(WMS)2bRAD-M only
Aggregatibacter_kilianii,0.000144794,0.000148459,s11_1,shared
Aggregatibacter_segnis,0.004821023,0.003335197,s11_1,shared
Aggregatibacter_segnis_A,0,0.002268811,s11_1,(WMS)2bRAD-M only
Aggregatibacter_sp000466335,0.006150909,0.002357848,s11_1,shared
Allisonella_pneumosintes,0.00028123,0.000367619,s11_1,shared
Alloprevotella_rava,9.93E-05,0.000110574,s11_1,shared
Alloprevotella_sp000318095,0.000562355,0,s11_1,(WMS)MPA only
Alloprevotella_sp003639005,0.000307034,0,s11_1,(WMS)MPA only
Alloprevotella_sp015257125,0.001403433,0,s11_1,(WMS)MPA only
Alloprevotella_sp015259235,0.000938651,0,s11_1,(WMS)MPA only
Alloprevotella_sp900095835,7.98E-05,0,s11_1,(WMS)MPA only
Alloprevotella_sp905369775,9.62E-05,0,s11_1,(WMS)MPA only
Alloprevotella_tannerae,0.001542376,0.001279197,s11_1,shared
Anaeroglobus_geminatus,7.69E-05,6.35E-05,s11_1,shared
Anaeroglobus_micronuciformis,6.27E-06,2.85E-05,s11_1,shared
Arachnia_propionica,0,0.000156572,s11_1,(WMS)2bRAD-M only
Arachnia_rubra,5.36E-05,0,s11_1,(WMS)MPA only
Arachnia_sp013333735,0,0.000128783,s11_1,(WMS)2bRAD-M only
Arachnia_sp013333945,0.000475228,0.000308145,s11_1,shared
Arachnia_sp900607225,0,3.45E-05,s11_1,(WMS)2bRAD-M only
Arachnia_sp905372155,3.08E-05,0,s11_1,(WMS)MPA only
Bacillus_A_bombysepticus,0,6.33E-05,s11_1,(WMS)2bRAD-M only
Bacteroides_D_periocalifornicus,0,7.50E-05,s11_1,(WMS)2bRAD-M only
Bacteroides_D_sp013333835,3.72E-05,0,s11_1,(WMS)MPA only
Bacteroides_D_sp905373475,0.000358119,0,s11_1,(WMS)MPA only
Bergeyella_A_cardium,8.82E-05,0.000136666,s11_1,shared
Bifidobacterium_dentium,0,4.79E-06,s11_1,(WMS)2bRAD-M only
Bulleidia_extructa,7.79E-05,7.70E-05,s11_1,shared
Bulleidia_moorei,0,0.000133883,s11_1,(WMS)2bRAD-M only
Bulleidia_sp015256455,0.000130899,0,s11_1,(WMS)MPA only
CAG-793_sp013333035,4.90E-05,0,s11_1,(WMS)MPA only
CAG-793_sp013333395,2.36E-05,0,s11_1,(WMS)MPA only
CAJPNX01_sp905372165,7.10E-05,0,s11_1,(WMS)MPA only
CAJPPJ01_sp905372515,0.000134869,0,s11_1,(WMS)MPA only
Campylobacter_A_concisus_T,0.000213116,0,s11_1,(WMS)MPA only
Campylobacter_A_curvus,0,1.62E-05,s11_1,(WMS)2bRAD-M only
Campylobacter_A_rectus,0.002740424,0.001950829,s11_1,shared
Campylobacter_A_showae,0,6.80E-05,s11_1,(WMS)2bRAD-M only
Campylobacter_A_showae_A,3.97E-05,0.000106783,s11_1,shared
Campylobacter_A_showae_B,0,5.96E-05,s11_1,(WMS)2bRAD-M only
Campylobacter_A_showae_D,0,6.21E-05,s11_1,(WMS)2bRAD-M only
Campylobacter_A_showae_E,0,8.01E-05,s11_1,(WMS)2bRAD-M only
Campylobacter_A_sp014253065,0,8.21E-05,s11_1,(WMS)2bRAD-M only
Campylobacter_B_gracilis,9.04E-05,2.86E-05,s11_1,shared
Campylobacter_B_sp900539505,0,3.93E-05,s11_1,(WMS)2bRAD-M only
Capnocytophaga_bilenii,0.000595472,0,s11_1,(WMS)MPA only
Capnocytophaga_endodontalis,0,0.000221932,s11_1,(WMS)2bRAD-M only
Capnocytophaga_gingivalis,0.001076237,0.000957998,s11_1,shared
Capnocytophaga_granulosa,0.000205908,0.000318357,s11_1,shared
Capnocytophaga_leadbetteri,0.002588422,0.002260974,s11_1,shared
Capnocytophaga_ochracea,0.000675913,0.000944425,s11_1,shared
Capnocytophaga_sp000192225,0,5.75E-05,s11_1,(WMS)2bRAD-M only
Capnocytophaga_sp000318275,0,0.000410052,s11_1,(WMS)2bRAD-M only
Capnocytophaga_sp000466425,0.002346785,0.001449872,s11_1,shared
Capnocytophaga_sp002999135,8.79E-05,0.000193251,s11_1,shared
Capnocytophaga_sputigena,0.002839146,0.002857895,s11_1,shared
Cardiobacterium_hominis,0.000975947,0.000892672,s11_1,shared
Cardiobacterium_valvarum,9.80E-05,9.02E-05,s11_1,shared
Catonella_morbi,0.000112722,7.51E-05,s11_1,shared
Centipeda_artemidis,0,1.65E-05,s11_1,(WMS)2bRAD-M only
Centipeda_felix,0,1.41E-05,s11_1,(WMS)2bRAD-M only
Centipeda_infelix,0,2.49E-05,s11_1,(WMS)2bRAD-M only
Centipeda_massiliensis,0,1.82E-05,s11_1,(WMS)2bRAD-M only
Centipeda_noxia,0,4.53E-05,s11_1,(WMS)2bRAD-M only
Centipeda_periodontii,0,1.57E-05,s11_1,(WMS)2bRAD-M only
Centipeda_sp000286455,0,1.05E-05,s11_1,(WMS)2bRAD-M only
Centipeda_sp000318175,0,1.48E-05,s11_1,(WMS)2bRAD-M only
Centipeda_sp000468035,0,6.58E-06,s11_1,(WMS)2bRAD-M only
Centipeda_sp001683335,0,2.01E-05,s11_1,(WMS)2bRAD-M only
Centipeda_sp001717585,0,7.61E-06,s11_1,(WMS)2bRAD-M only
Cobetia_marina,0,7.03E-06,s11_1,(WMS)2bRAD-M only
Corynebacterium_argentoratense,6.99E-05,0.000100483,s11_1,shared
Corynebacterium_durum,0.000495286,0.000421398,s11_1,shared
Corynebacterium_matruchotii,0.000942412,0.000817122,s11_1,shared
Cutibacterium_acnes,2.13E-05,7.41E-05,s11_1,shared
Desulfobulbus_oralis,3.71E-05,5.32E-05,s11_1,shared
Dialister_invisus,0.000325316,0.000460026,s11_1,shared
Eikenella_corrodens,0.000110423,0.001727834,s11_1,shared
Eikenella_corrodens_B,0,7.92E-05,s11_1,(WMS)2bRAD-M only
Eikenella_exigua,0,7.49E-05,s11_1,(WMS)2bRAD-M only
Eikenella_halliae,0.000154091,0.000150555,s11_1,shared
Eikenella_shayeganii,0,4.68E-05,s11_1,(WMS)2bRAD-M only
Eubacterium_A_minutum,0,2.23E-05,s11_1,(WMS)2bRAD-M only
Eubacterium_B_infirmum,0.000134242,0.000164954,s11_1,shared
Eubacterium_B_sulci,1.43E-05,3.17E-05,s11_1,shared
Eubacterium_M_brachy,0.0014541,0.001198978,s11_1,shared
Eubacterium_N_saphenum,0.007704777,0.006134766,s11_1,shared
F0040_sp000318095,0,0.00050924,s11_1,(WMS)2bRAD-M only
F0040_sp003639005,0,0.000343365,s11_1,(WMS)2bRAD-M only
F0040_sp900095835,0,0.00043531,s11_1,(WMS)2bRAD-M only
F0058_sp000163695,0.001117606,0.000712616,s11_1,shared
F0058_sp905372605,8.75E-05,0,s11_1,(WMS)MPA only
F0422_sp001553345,0.000714984,0.000799079,s11_1,shared
F0422_sp003992055,6.74E-05,5.80E-05,s11_1,shared
F0422_sp003999875,4.70E-05,0,s11_1,(WMS)MPA only
Filifactor_alocis,0.004146677,0.002959351,s11_1,shared
Flexilinea_sp001717545,0,1.87E-05,s11_1,(WMS)2bRAD-M only
Fretibacterium_fastidiosum,0.000176761,0.000168337,s11_1,shared
Fretibacterium_sp003860125,0,1.49E-05,s11_1,(WMS)2bRAD-M only
Fusobacterium_animalis,0.000800439,0.001284497,s11_1,shared
Fusobacterium_hwasookii,0.000176134,0,s11_1,(WMS)MPA only
Fusobacterium_nucleatum,0.00011408,0,s11_1,(WMS)MPA only
Fusobacterium_nucleatum_J,0.006375726,0.003564256,s11_1,shared
Fusobacterium_polymorphum,0.000470945,0,s11_1,(WMS)MPA only
Fusobacterium_pseudoperiodonticum,0.001343259,0.001177843,s11_1,shared
Fusobacterium_vincentii,0.002307192,0.001580212,s11_1,shared
Gemella_haemolysans,0,0.004360777,s11_1,(WMS)2bRAD-M only
Gemella_haemolysans_A,0.001723734,0.000704595,s11_1,shared
Gemella_haemolysans_B,0.016627346,0.009905814,s11_1,shared
Gemella_morbillorum,0.000803364,0.000627355,s11_1,shared
Gemella_sanguinis,0.000154614,0.000150804,s11_1,shared
Gemella_sp002871655,0,0.002607233,s11_1,(WMS)2bRAD-M only
Gemella_sp900766305,0,0.001873595,s11_1,(WMS)2bRAD-M only
GN02-872_sp002761215,0.000119826,0,s11_1,(WMS)MPA only
GN02-872_sp003260325,0.000142809,0,s11_1,(WMS)MPA only
GN02-873_sp003260345,0.004219074,0.002511458,s11_1,shared
GN02-873_sp013332525,0,0.00044083,s11_1,(WMS)2bRAD-M only
Gordonia_terrae,0,9.66E-06,s11_1,(WMS)2bRAD-M only
Granulicatella_adiacens,0.004520257,0.003624667,s11_1,shared
Granulicatella_elegans,0.008652309,0.003366059,s11_1,shared
Granulicatella_sp001058355,0.001501738,0.000828897,s11_1,shared
Granulicatella_sp001071995,0,0.000162655,s11_1,(WMS)2bRAD-M only
Granulicatella_sp900551535,0,0.000389611,s11_1,(WMS)2bRAD-M only
Haemophilus_A_parahaemolyticus,0.013557533,0.013009125,s11_1,shared
Haemophilus_A_paraphrohaemolyticus,0,0.00074033,s11_1,(WMS)2bRAD-M only
Haemophilus_A_sputorum,0.001471546,0.001291397,s11_1,shared
Haemophilus_D_parainfluenzae,0.040951217,0.015018407,s11_1,shared
Haemophilus_D_parainfluenzae_A,0,0.001196336,s11_1,(WMS)2bRAD-M only
Haemophilus_D_parainfluenzae_J,0,0.001172635,s11_1,(WMS)2bRAD-M only
Haemophilus_D_parainfluenzae_K,0,0.005190419,s11_1,(WMS)2bRAD-M only
Haemophilus_D_parainfluenzae_L,0,0.001367718,s11_1,(WMS)2bRAD-M only
Haemophilus_D_parainfluenzae_M,0,0.006569004,s11_1,(WMS)2bRAD-M only
Haemophilus_D_parainfluenzae_N,0,0.002269494,s11_1,(WMS)2bRAD-M only
Haemophilus_D_pittmaniae,0,0.000426677,s11_1,(WMS)2bRAD-M only
Haemophilus_D_sp001679485,0,0.005670183,s11_1,(WMS)2bRAD-M only
Haemophilus_D_sp001815355,0,0.002794078,s11_1,(WMS)2bRAD-M only
Haemophilus_D_sp900755445,0,0.005017252,s11_1,(WMS)2bRAD-M only
Haemophilus_D_sp900756155,0,0.001406943,s11_1,(WMS)2bRAD-M only
Haemophilus_D_sp900756875,0,0.001447979,s11_1,(WMS)2bRAD-M only
Haemophilus_D_sp900764435,0,0.000848281,s11_1,(WMS)2bRAD-M only
Haemophilus_haemolyticus,0,0.00795849,s11_1,(WMS)2bRAD-M only
Haemophilus_haemolyticus_I,0,0.001036058,s11_1,(WMS)2bRAD-M only
Haemophilus_influenzae,0.007620158,0.000132736,s11_1,shared
Haemophilus_influenzae_D,0,0.000260913,s11_1,(WMS)2bRAD-M only
Haemophilus_quentini,0,0.000194776,s11_1,(WMS)2bRAD-M only
Haemophilus_seminalis,0.006016563,0,s11_1,(WMS)MPA only
Haemophilus_sp001276515,0,0.003761318,s11_1,(WMS)2bRAD-M only
Haemophilus_sp002998595,0,0.005670914,s11_1,(WMS)2bRAD-M only
HOT-345_sp003260355,0.000200162,0.000201346,s11_1,shared
HOT-345_sp013333295,0.000551699,0.000271666,s11_1,shared
HOT-345_sp013333605,0.002136385,0.001283425,s11_1,shared
JABCPE02_sp013333255,0.004216984,0.00180829,s11_1,shared
JABCPE02_sp013333875,0,0.000951723,s11_1,(WMS)2bRAD-M only
JABCPG02_sp013333195,0,1.57E-05,s11_1,(WMS)2bRAD-M only
Johnsonella_sp900766185,4.69E-05,3.89E-05,s11_1,shared
Kingella_A_denitrificans,0.001983861,0.001267462,s11_1,shared
Kingella_B_oralis,1.78E-06,5.14E-05,s11_1,shared
Kingella_kingae,0.000327405,0.000291602,s11_1,shared
Kingella_negevensis,0,0.000494442,s11_1,(WMS)2bRAD-M only
Klebsiella_pneumoniae,0,2.19E-05,s11_1,(WMS)2bRAD-M only
Lachnoanaerobaculum_sp000209465,4.68E-05,0.000101467,s11_1,shared
Lachnoanaerobaculum_sp000287675,3.84E-05,0,s11_1,(WMS)MPA only
Lancefieldella_rimae,6.18E-05,5.82E-05,s11_1,shared
Lancefieldella_sp000564995,0,4.99E-05,s11_1,(WMS)2bRAD-M only
Lautropia_dentalis,0.000237144,0.000344854,s11_1,shared
Lautropia_mirabilis,0.008399808,0.004553412,s11_1,shared
Lawsonella_clevelandensis_A,0,1.90E-05,s11_1,(WMS)2bRAD-M only
Leptotrichia_A_sp000469505,0.000346209,0.000173789,s11_1,shared
Leptotrichia_A_sp001274535,0.000377968,0.000187724,s11_1,shared
