"Species","col_mpa","col_2bp","Group"
"Abiotrophia_defectiva",0.000240487,0.000332869,"s11_1"
"Abiotrophia_sp001815865",0.001577687,0.000603111,"s11_1"
"Actinomyces_dentalis",5.22e-06,2.02208e-05,"s11_1"
"Actinomyces_graevenitzii",7.32e-05,8.67606e-05,"s11_1"
"Actinomyces_johnsonii",1.02e-05,7.31074e-05,"s11_1"
"Actinomyces_naeslundii",0.000289065,0.000307969,"s11_1"
"Actinomyces_oris",0.000793335,0.00062588,"s11_1"
"Actinomyces_timonensis",7.27e-05,0.000123807,"s11_1"
"Aggregatibacter_kilianii",0.000144794,0.000148459,"s11_1"
"Aggregatibacter_segnis",0.004821023,0.003335197,"s11_1"
"Aggregatibacter_sp000466335",0.006150909,0.002357848,"s11_1"
"Allisonella_pneumosintes",0.00028123,0.000367619,"s11_1"
"Alloprevotella_rava",9.93e-05,0.000110574,"s11_1"
"Alloprevotella_tannerae",0.001542376,0.001279197,"s11_1"
"Anaeroglobus_geminatus",7.69e-05,6.34874e-05,"s11_1"
"Anaeroglobus_micronuciformis",6.27e-06,2.85293e-05,"s11_1"
"Arachnia_sp013333945",0.000475228,0.000308145,"s11_1"
"Bergeyella_A_cardium",8.82e-05,0.000136666,"s11_1"
"Bulleidia_extructa",7.79e-05,7.69928e-05,"s11_1"
"Campylobacter_A_rectus",0.002740424,0.001950829,"s11_1"
"Campylobacter_A_showae_A",3.97e-05,0.000106783,"s11_1"
"Campylobacter_B_gracilis",9.04e-05,2.86042e-05,"s11_1"
"Capnocytophaga_gingivalis",0.001076237,0.000957998,"s11_1"
"Capnocytophaga_granulosa",0.000205908,0.000318357,"s11_1"
"Capnocytophaga_leadbetteri",0.002588422,0.002260974,"s11_1"
"Capnocytophaga_ochracea",0.000675913,0.000944425,"s11_1"
"Capnocytophaga_sp000466425",0.002346785,0.001449872,"s11_1"
"Capnocytophaga_sp002999135",8.79e-05,0.000193251,"s11_1"
"Capnocytophaga_sputigena",0.002839146,0.002857895,"s11_1"
"Cardiobacterium_hominis",0.000975947,0.000892672,"s11_1"
"Cardiobacterium_valvarum",9.8e-05,9.018e-05,"s11_1"
"Catonella_morbi",0.000112722,7.50513e-05,"s11_1"
"Corynebacterium_argentoratense",6.99e-05,0.000100483,"s11_1"
"Corynebacterium_durum",0.000495286,0.000421398,"s11_1"
"Corynebacterium_matruchotii",0.000942412,0.000817122,"s11_1"
"Cutibacterium_acnes",2.13e-05,7.41313e-05,"s11_1"
"Desulfobulbus_oralis",3.71e-05,5.31771e-05,"s11_1"
"Dialister_invisus",0.000325316,0.000460026,"s11_1"
"Eikenella_corrodens",0.000110423,0.001727834,"s11_1"
"Eikenella_halliae",0.000154091,0.000150555,"s11_1"
"Eubacterium_B_infirmum",0.000134242,0.000164954,"s11_1"
"Eubacterium_B_sulci",1.43e-05,3.16823e-05,"s11_1"
"Eubacterium_M_brachy",0.0014541,0.001198978,"s11_1"
"Eubacterium_N_saphenum",0.007704777,0.006134766,"s11_1"
"F0058_sp000163695",0.001117606,0.000712616,"s11_1"
"F0422_sp001553345",0.000714984,0.000799079,"s11_1"
"F0422_sp003992055",6.74e-05,5.79868e-05,"s11_1"
"Filifactor_alocis",0.004146677,0.002959351,"s11_1"
"Fretibacterium_fastidiosum",0.000176761,0.000168337,"s11_1"
"Fusobacterium_animalis",0.000800439,0.001284497,"s11_1"
"Fusobacterium_nucleatum_J",0.006375726,0.003564256,"s11_1"
"Fusobacterium_pseudoperiodonticum",0.001343259,0.001177843,"s11_1"
"Fusobacterium_vincentii",0.002307192,0.001580212,"s11_1"
"Gemella_haemolysans_A",0.001723734,0.000704595,"s11_1"
"Gemella_haemolysans_B",0.016627346,0.009905814,"s11_1"
"Gemella_morbillorum",0.000803364,0.000627355,"s11_1"
"Gemella_sanguinis",0.000154614,0.000150804,"s11_1"
"GN02-873_sp003260345",0.004219074,0.002511458,"s11_1"
"Granulicatella_adiacens",0.004520257,0.003624667,"s11_1"
"Granulicatella_elegans",0.008652309,0.003366059,"s11_1"
