Genus,col_2b,col_16S,Group,Color
Abiotrophia,0.001137345,0.00067177,s11_1,shared
Acetatifactor,0,0.00121434,s11_1,16S only
Acinetobacter,0.000140445,0,s11_1,2b only
Actinomyces,0.001650897,0.00062009,s11_1,shared
Aggregatibacter,0.007394373,0.01485635,s11_1,shared
Akkermansia,0,0.00025837,s11_1,16S only
Alistipes,0,5.17E-05,s11_1,16S only
Allisonella,0.000323434,0.0006976,s11_1,shared
Alloprevotella,0.001321697,0,s11_1,2b only
AM07-15,0,0.00012919,s11_1,16S only
Aminipila,0,0.00043923,s11_1,16S only
Aminivibrio,0,0.00142104,s11_1,16S only
Anaeroglobus,0.000115928,0.00010335,s11_1,shared
Anaeromassilibacillus,0,5.17E-05,s11_1,16S only
Anaerosacchariphilus,0,0.00023253,s11_1,16S only
Anaerotignum,0,0.00049091,s11_1,16S only
Arachnia,0.000636272,0,s11_1,2b only
Bacillus_A,1.36E-05,0,s11_1,2b only
Bact-08,0,7.75E-05,s11_1,16S only
Bacteroides,2.99E-05,0.00036172,s11_1,shared
Bacteroides_D,6.70E-05,0,s11_1,2b only
Bariatricus,0,0.00100765,s11_1,16S only
Bergeyella_A,0.000136977,0.00023253,s11_1,shared
Blautia_A,0,0.00072344,s11_1,16S only
Bulleidia,0.000269031,0.0002067,s11_1,shared
Butyricicoccus_A,0,0.00116267,s11_1,16S only
CAG-1024,0,0.00018086,s11_1,16S only
CAG-115,0,0.00012919,s11_1,16S only
CAG-41,0,7.75E-05,s11_1,16S only
CAG-475,0,0.00031005,s11_1,16S only
CAG-488,0,0.00012919,s11_1,16S only
CAG-793,7.53E-05,0,s11_1,2b only
Campylobacter_A,0.00227323,0.00620091,s11_1,shared
Campylobacter_B,4.85E-05,0,s11_1,2b only
Capnocytophaga,0.010689777,0.00757028,s11_1,shared
Cardiobacterium,0.000909254,0.00206697,s11_1,shared
Catonella,8.90E-05,0,s11_1,2b only
Centipeda,0.000186179,0.00121434,s11_1,shared
Clostridium,0,0.00165358,s11_1,16S only
Clostridium_AN,0,0.00046507,s11_1,16S only
Corynebacterium,0.001484527,0.00142104,s11_1,shared
Cutibacterium,8.14E-05,0,s11_1,2b only
Desulfobulbus,9.62E-05,0.00012919,s11_1,shared
Desulfomicrobium,0,7.75E-05,s11_1,16S only
Dialister,0.000378255,0.00152439,s11_1,shared
Draconibacterium,1.47E-05,0,s11_1,2b only
Eggerthia,9.43E-05,0,s11_1,2b only
Eikenella,0.001876163,0.00273874,s11_1,shared
Emergencia,0,0.00049091,s11_1,16S only
Erysipelatoclostridium,0,5.17E-05,s11_1,16S only
Eubacterium_A,2.78E-05,0.00098181,s11_1,shared
Eubacterium_B,0.0002252,0.00041339,s11_1,shared
Eubacterium_M,0.001192284,0.00023253,s11_1,shared
Eubacterium_N,0.005973422,0.00284208,s11_1,shared
Eubacterium_R,0,0.00749277,s11_1,16S only
F0040,0.001313958,0.01235014,s11_1,shared
F0058,0.000832007,0.00124018,s11_1,shared
F0422,0.001018063,0.00152439,s11_1,shared
F0428,1.64E-05,0,s11_1,2b only
Faecalibacterium,0,0.00167941,s11_1,16S only
Filifactor,0.002978159,0,s11_1,2b only
Flexilinea,1.28E-05,0,s11_1,2b only
Fournierella,0,0.00010335,s11_1,16S only
Fretibacterium,0.00017465,0,s11_1,2b only
Fusobacterium,0.004772089,0.0434322,s11_1,shared
Gemella,0.019705426,0.01930033,s11_1,shared
GN02-872,0.000650938,0,s11_1,2b only
GN02-873,0.002694537,0.00072344,s11_1,shared
Granulicatella,0.00809811,0.01072241,s11_1,shared
Haemophilus,0.018026008,0.00852625,s11_1,shared
Haemophilus_A,0.013293268,0.00746693,s11_1,shared
Haemophilus_D,0.048411444,0.01919698,s11_1,shared
Holdemanella,0,0.00043923,s11_1,16S only
HOT-345,0.001473188,0.00023253,s11_1,shared
JABCPE02,0.002723543,0,s11_1,2b only
JABCPG02,1.98E-05,0,s11_1,2b only
JABCPH02,2.04E-05,0,s11_1,2b only
Johnsonella,7.73E-05,0.00031005,s11_1,shared
Kingella,0.000264287,0,s11_1,2b only
Kingella_A,0.001077784,0,s11_1,2b only
Kingella_B,7.04E-05,0.00046507,s11_1,shared
Lachnoanaerobaculum,0.00019261,0.00100765,s11_1,shared
Lachnospira,0,5.17E-05,s11_1,16S only
Lacrimispora,0,0.00046507,s11_1,16S only
Lactobacillus,0,0.00873295,s11_1,16S only
Lancefieldella,0.000144105,0.00028421,s11_1,shared
Lautropia,0.004373449,0,s11_1,2b only
Lawsonella,1.94E-05,0,s11_1,2b only
Lawsonibacter,0,0.00025837,s11_1,16S only
Leptotrichia,0.001536108,0.00927553,s11_1,shared
Leptotrichia_A,0.000515005,0.0013952,s11_1,shared
Limosilactobacillus,0,0.00062009,s11_1,16S only
Macrococcus_B,1.99E-05,0,s11_1,2b only
Megasphaera,0,0.00036172,s11_1,16S only
Mesomycoplasma,0,0.00010335,s11_1,16S only
Metamycoplasma,0.000118424,0.00095597,s11_1,shared
Microbacterium,2.72E-05,0,s11_1,2b only
Mogibacterium,0.000382099,0.00028421,s11_1,shared
Moraxella,0,0.01901612,s11_1,16S only
Moraxella_A,0,0.00025837,s11_1,16S only
Muricomes,0,0.00056842,s11_1,16S only
Neisseria,0.493263422,0.379676524,s11_1,shared
Novosphingobium,0,5.17E-05,s11_1,16S only
NSJ-50,0,0.00012919,s11_1,16S only
Olsenella,2.52E-05,0,s11_1,2b only
Oribacterium,0.000137675,0.00224783,s11_1,shared
Oscillibacter,0,0.00043923,s11_1,16S only
Ottowia,0.000344949,0.001111,s11_1,shared
Parabacteroides,0,0.00031005,s11_1,16S only
Paracoccus,0,0.00012919,s11_1,16S only
Paraeggerthella,0,0.00015502,s11_1,16S only
Paraprevotella,0,0.00124018,s11_1,16S only
Parvimonas,0.000478148,0.00082679,s11_1,shared
Pasteurella,1.93E-05,0,s11_1,2b only
Pauljensenia,0.000637616,0.00077511,s11_1,shared
Peptidiphaga,0.000172065,0,s11_1,2b only
Peptoanaerobacter,0.000252545,0.00043923,s11_1,shared
Peptostreptococcus,0.000324,0.00085263,s11_1,shared
Phascolarctobacterium_A,0,0.00142104,s11_1,16S only
Phocaeicola,3.36E-05,0.00012919,s11_1,shared
Porphyromonas,0.034327704,0.057048371,s11_1,shared
Prevotella,0.025013109,0.089138071,s11_1,shared
Prevotellamassilia,0,0.00268706,s11_1,16S only
Pseudoleptotrichia,0.000134686,0.00170525,s11_1,shared
Ralstonia,1.61E-05,0,s11_1,2b only
RC9,0,0.00157606,s11_1,16S only
RF16,0,0.00041339,s11_1,16S only
Rodentibacter,8.16E-05,0.00033588,s11_1,shared
Romboutsia,0,0.00038756,s11_1,16S only
Roseburia,0,0.00356552,s11_1,16S only
Rothia,0.055170045,0.04420732,s11_1,shared
RQZE01,0,0.0002067,s11_1,16S only
RUG13077,0,0.00036172,s11_1,16S only
RUG13160,0,0.00012919,s11_1,16S only
Ruminococcus_A,0,0.00062009,s11_1,16S only
Ruminococcus_C,0,0.00012919,s11_1,16S only
Ruminococcus_E,0,0.00105932,s11_1,16S only
S5-A14a,0,0.00010335,s11_1,16S only
Saccharimonas,0.000457348,0,s11_1,2b only
Schwartzia,0,0.00018086,s11_1,16S only
SDRK01,2.46E-05,0,s11_1,2b only
SDRW01,0.000462108,0,s11_1,2b only
Selenomonas,5.11E-05,0.00041339,s11_1,shared
Shuttleworthia,7.45E-05,0,s11_1,2b only
Simonsiella,0.000102744,0.00015502,s11_1,shared
SoCistrobi,0,7.75E-05,s11_1,16S only
Sphingomonas,0,5.17E-05,s11_1,16S only
Stenotrophomonas,1.06E-05,0,s11_1,2b only
Streptobacillus,0,0.00136937,s11_1,16S only
Streptococcus,0.204760613,0.145463001,s11_1,shared
Tannerella,0.002919193,0.00307462,s11_1,shared
Terrisporobacter,0,0.00152439,s11_1,16S only
Thermoanaerosceptrum,0,7.75E-05,s11_1,16S only
TM7x,0.000541197,0.00142104,s11_1,shared
Treponema,0.000421773,0.00157606,s11_1,shared
Treponema_B,0.000499634,0.00222199,s11_1,shared
Treponema_C,0.000304358,0.00056842,s11_1,shared
Treponema_D,0.000130339,0.00129186,s11_1,shared
UBA1103,0.000257103,0,s11_1,2b only
UBA1394,0,0.00033588,s11_1,16S only
UBA1417,0,0.00025837,s11_1,16S only
UBA2730,0,0.00010335,s11_1,16S only
UBA2866,7.22E-05,0,s11_1,2b only
UBA4372,0,0.00206697,s11_1,16S only
UBA5446,0,0.00043923,s11_1,16S only
UBA6382,0,7.75E-05,s11_1,16S only
UBA7173,0,0.00043923,s11_1,16S only
UBA8529,0,0.00095597,s11_1,16S only
UMGS1907,0.000864567,0,s11_1,2b only
UMGS363,0,0.00059425,s11_1,16S only
Vallitalea_A,0,0.00105932,s11_1,16S only
Veillonella,0.003326565,0.00550331,s11_1,shared
W11650,0.000282467,0,s11_1,2b only
W5053,0,0.00033588,s11_1,16S only
Abiotrophia,0.000393202,0,s11_11,2b only
Acetatifactor,0,0.00279902,s11_11,16S only
Acidaminococcus,0,0.00058235,s11_11,16S only
Acinetobacter,0.000167088,0,s11_11,2b only
Actinomyces,0.011386754,0.0020476,s11_11,shared
Actinomycetospora,0,7.51E-05,s11_11,16S only
Acutalibacter,0,0.00011271,s11_11,16S only
Adlercreutzia,0,0.00011271,s11_11,16S only
Agathobaculum,0,0.00073263,s11_11,16S only
Aggregatibacter,0.017218835,0.01688802,s11_11,shared
Alcaligenes,3.56E-05,0,s11_11,2b only
Alistipes,0,0.00298687,s11_11,16S only
Alistipes_A,0,0.00041328,s11_11,16S only
Allisonella,0.000442139,0.00018785,s11_11,shared
Alloprevotella,0.005952819,0,s11_11,2b only
AM07-15,0,0.00018785,s11_11,16S only
Amedibacterium,0,0.00037571,s11_11,16S only
Aminipila,0,0.00097684,s11_11,16S only
Aminivibrio,0,0.00176582,s11_11,16S only
Anaerobutyricum,0,0.0030808,s11_11,16S only
Anaeroglobus,0.000626744,9.39E-05,s11_11,shared
Anaeromassilibacillus,0,0.00020664,s11_11,16S only
Anaerosacchariphilus,0,0.00441455,s11_11,16S only
Anaerostipes,0,0.00116469,s11_11,16S only
Anaerotignum,0,0.00356921,s11_11,16S only
Anaerotruncus,0,0.00028178,s11_11,16S only
Ancrocorticia,0,0.00035692,s11_11,16S only
Arachnia,0.002562205,0,s11_11,2b only
Aureimonas_A,0,0.0005072,s11_11,16S only
Bacteroides,0,0.027182391,s11_11,16S only
Bariatricus,0,0.00189732,s11_11,16S only
Barnesiella,0,0.00146526,s11_11,16S only
Basfia,0.000332403,0,s11_11,2b only
Bergeyella_A,0.000226327,0,s11_11,2b only
Bifidobacterium,0.000229044,0.00787106,s11_11,shared
Blautia,0,0.00232938,s11_11,16S only
Blautia_A,0,0.02100201,s11_11,16S only
Bulleidia,0.000895267,0.00048842,s11_11,shared
Butyricicoccus_A,0,0.00349407,s11_11,16S only
Butyricimonas,0,0.00082655,s11_11,16S only
BX7,0,0.0001315,s11_11,16S only
CAG-1000,0,0.00110834,s11_11,16S only
CAG-1024,0,0.00045085,s11_11,16S only
CAG-110,0,0.00093927,s11_11,16S only
CAG-115,0,0.00234817,s11_11,16S only
CAG-127,0,0.00214153,s11_11,16S only
CAG-180,0,0.00118348,s11_11,16S only
CAG-279,0,0.00020664,s11_11,16S only
CAG-302,0,0.00031935,s11_11,16S only
CAG-41,0,0.00056356,s11_11,16S only
CAG-417,0,0.00107076,s11_11,16S only
CAG-475,0,0.0006387,s11_11,16S only
CAG-485,1.05E-05,5.64E-05,s11_11,shared
CAG-488,0,0.00011271,s11_11,16S only
CAG-521,0,0.00110834,s11_11,16S only
CAG-81,0,0.00022542,s11_11,16S only
CAG-873,0,5.64E-05,s11_11,16S only
Campylobacter_A,0.001753884,0.00315594,s11_11,shared
Campylobacter_B,0.000200425,0,s11_11,2b only
Capnocytophaga,0.004559361,0.0015404,s11_11,shared
Cardiobacterium,0.002788417,0.00097684,s11_11,shared
Catenibacterium,0,0.00080777,s11_11,16S only
Catonella,0.000190207,0,s11_11,2b only
Centipeda,0.00074041,0.00069506,s11_11,shared
Cloacibacillus,0,3.76E-05,s11_11,16S only
Clostridium,0,0.00828433,s11_11,16S only
Clostridium_A,0,0.00018785,s11_11,16S only
Clostridium_AN,0,0.0055041,s11_11,16S only
Clostridium_Q,0,5.64E-05,s11_11,16S only
