"Species","col_WMS","col_2b","Group","Color"
"Abiotrophia",0.00176258423773295,0.001137345,"s11_1","shared"
"Acinetobacter",0,0.000140445,"s11_1","2b only"
"Actinomyces",0.00120577613964885,0.001650897,"s11_1","shared"
"Aggregatibacter",0.0107768394567708,0.007394373,"s11_1","shared"
"Allisonella",0.000272631393241618,0.000323434,"s11_1","shared"
"Alloprevotella",0.00487546355945198,0.001321697,"s11_1","shared"
"Anaeroglobus",8.06146318797651e-05,0.000115928,"s11_1","shared"
"Arachnia",0.000542528370577766,0.000636272,"s11_1","shared"
"Bacillus_A",0,1.35853e-05,"s11_1","2b only"
"Bacteroides",0,2.98776e-05,"s11_1","2b only"
"Bacteroides_D",0.000383223325418381,6.69806e-05,"s11_1","shared"
"Bergeyella_A",8.54758157117107e-05,0.000136977,"s11_1","shared"
"Bulleidia",0.000202448051667903,0.000269031,"s11_1","shared"
"CAG-793",7.03858909000462e-05,7.52727e-05,"s11_1","shared"
"CAJPNX01",6.88667709525632e-05,0,"s11_1","WMS only"
"CAJPPJ01",0.000130745590146704,0,"s11_1","WMS only"
"CAJPSE01",0.000273340315883776,0,"s11_1","WMS only"
"Campylobacter_A",0.00292764796278926,0.00227323,"s11_1","shared"
"Campylobacter_B",0.00141349047380136,4.85046e-05,"s11_1","shared"
"Capnocytophaga",0.0105273999613941,0.010689777,"s11_1","shared"
"Cardiobacterium",0.00104110353734169,0.000909254,"s11_1","shared"
"Catonella",0.000109275361555611,8.89587e-05,"s11_1","shared"
"Centipeda",0,0.000186179,"s11_1","2b only"
"Corynebacterium",0.00146149466414182,0.001484527,"s11_1","shared"
"Cryptobacteroides",0.000235666141186198,0,"s11_1","WMS only"
"Cutibacterium",2.06600312857689e-05,8.14314e-05,"s11_1","shared"
"Desulfobulbus",3.59525054237646e-05,9.62042e-05,"s11_1","shared"
"Dialister",0.000315369301097473,0.000378255,"s11_1","shared"
"Draconibacterium",0,1.46923e-05,"s11_1","2b only"
"Eggerthia",0,9.42922e-05,"s11_1","2b only"
"Eikenella",0.000256427447135132,0.001876163,"s11_1","shared"
"Eubacterium_A",0,2.77744e-05,"s11_1","2b only"
"Eubacterium_B",0.000144012571021389,0.0002252,"s11_1","shared"
"Eubacterium_M",0.00140964203660107,0.001192284,"s11_1","shared"
"Eubacterium_N",0.00746920895778447,0.005973422,"s11_1","shared"
"F0040",0,0.001313958,"s11_1","2b only"
"F0058",0.0011683045142776,0.000832007,"s11_1","shared"
"F0422",0.000804019550871175,0.001018063,"s11_1","shared"
"F0428",7.39305041108399e-06,1.6403e-05,"s11_1","shared"
"Filifactor",0.00401989520502954,0.002978159,"s11_1","shared"
"Flexilinea",0,1.27803e-05,"s11_1","2b only"
"Fretibacterium",0.000171356730076084,0.00017465,"s11_1","shared"
"Fusobacterium",0.0112334869129842,0.004772089,"s11_1","shared"
"Gemella",0.0194580023086572,0.019705426,"s11_1","shared"
"GN02-872",0.000254604503198153,0.000650938,"s11_1","shared"
"GN02-873",0.00409007854660326,0.002694537,"s11_1","shared"
"Granulicatella",0.0142256468362099,0.00809811,"s11_1","shared"
"Haemophilus",0.0132197868816498,0.018026008,"s11_1","shared"
"Haemophilus_A",0.0145695755923201,0.013293268,"s11_1","shared"
"Haemophilus_D",0.0396991615875735,0.048411444,"s11_1","shared"
"HOT-345",0.00279994061253752,0.001473188,"s11_1","shared"
"JABCPE02",0.00408805305333995,0.002723543,"s11_1","shared"
"JABCPG02",0,1.98245e-05,"s11_1","2b only"
"JABCPH02",0,2.04283e-05,"s11_1","2b only"
"JABCPO02",0.000267972758736003,0,"s11_1","WMS only"
"Johnsonella",0.000303216341517609,7.72854e-05,"s11_1","shared"
"Kingella",0.000317394794360784,0.000264287,"s11_1","shared"
"Kingella_A",0.00192320585351349,0.001077784,"s11_1","shared"
"Kingella_B",1.72166927381408e-06,7.04424e-05,"s11_1","shared"
"Lachnoanaerobaculum",8.26401251430758e-05,0.00019261,"s11_1","shared"
"Lancefieldella",5.99546005939962e-05,0.000144105,"s11_1","shared"
"Lautropia",0.00837288277721053,0.004373449,"s11_1","shared"
"Lawsonella",0,1.9422e-05,"s11_1","2b only"
"Leptotrichia",0.00159639251547831,0.001536108,"s11_1","shared"
"Leptotrichia_A",0.000702035965063482,0.000515005,"s11_1","shared"
"Macrococcus_B",0,1.99251e-05,"s11_1","2b only"
"Mesocricetibacter",0.000525919325818618,0,"s11_1","WMS only"
"Metamycoplasma",0.00916312897389119,0.000118424,"s11_1","shared"
"Microbacterium",0,2.71565e-05,"s11_1","2b only"
"Mogibacterium",0.000210651299384311,0.000382099,"s11_1","shared"
"Moraxella",0.0166348697982548,0,"s11_1","WMS only"
"Nanogingivalis",0.00162616726644898,0,"s11_1","WMS only"
"Nanoperiomorbus",0.000440240960780577,0,"s11_1","WMS only"
"Nanosynbacter",0.000222601709637844,0,"s11_1","WMS only"
"Neisseria",0.529783258042373,0.493263422,"s11_1","shared"
"Olsenella",0,2.52405e-05,"s11_1","2b only"
"Oribacterium",6.34992138047899e-05,0.000137675,"s11_1","shared"
"Ottowia",0.0005424270959146,0.000344949,"s11_1","shared"
"Parvimonas",0.000393654615724431,0.000478148,"s11_1","shared"
"Pasteurella",0,1.93213e-05,"s11_1","2b only"
"Pauljensenia",0.000308280074675886,0.000637616,"s11_1","shared"
"Peptidiphaga",0.000133581280715339,0.000172065,"s11_1","shared"
"Peptoanaerobacter",6.81578483104044e-05,0.000252545,"s11_1","shared"
"Peptostreptococcus",0.000380590184176077,0.000324,"s11_1","shared"
"Phocaeicola",1.48873754853335e-05,3.36111e-05,"s11_1","shared"
"Porphyromonas",0.0410145169127675,0.034327704,"s11_1","shared"
"Prevotella",0.0238227377417654,0.025013109,"s11_1","shared"
"Pseudoleptotrichia",0.000115554390671874,0.000134686,"s11_1","shared"
"Ralstonia",0,1.61414e-05,"s11_1","2b only"
"Rodentibacter",0,8.16125e-05,"s11_1","2b only"
"Rothia",0.0537959870522369,0.055170045,"s11_1","shared"
"Saccharimonas",0.0006646656143554,0.000457348,"s11_1","shared"
"SDRK01",0,2.45542e-05,"s11_1","2b only"
"SDRW01",0.000313647631823659,0.000462108,"s11_1","shared"
"Selenomonas",6.80565736472389e-05,5.1121e-05,"s11_1","shared"
"Shuttleworthia",5.50934167620505e-05,7.44677e-05,"s11_1","shared"
"Simonsiella",8.27413998062413e-05,0.000102744,"s11_1","shared"
"Stenotrophomonas",0,1.05965e-05,"s11_1","2b only"
"Streptococcus",0.120422765004905,0.204760613,"s11_1","shared"
"Tannerella",0.00247201325320752,0.002919193,"s11_1","shared"
"TM7x",0,0.000541197,"s11_1","2b only"
"Treponema",0.000817792905061688,0.000421773,"s11_1","shared"
"Treponema_B",0.000381096557491905,0.000499634,"s11_1","shared"
"Treponema_C",0.000370158893870027,0.000304358,"s11_1","shared"
"Treponema_D",0.000457964026834545,0.000130339,"s11_1","shared"
"UBA1103",0,0.000257103,"s11_1","2b only"
"UBA2866",0,7.21733e-05,"s11_1","2b only"
"UMGS1907",0,0.000864567,"s11_1","2b only"
"Veillonella",0.00254594375731836,0.003326565,"s11_1","shared"
"W11650",0.000552352012904823,0.000282467,"s11_1","shared"
"Abiotrophia",0,0.000393202,"s11_11","2b only"
"Acinetobacter",0,0.000167088,"s11_11","2b only"
"Actinomyces",0.00717389856522029,0.011386754,"s11_11","shared"
"Aggregatibacter",0.0301616939676612,0.017218835,"s11_11","shared"
"Alcaligenes",0,3.5626e-05,"s11_11","2b only"
"Allisonella",1.54999969000006e-05,0.000442139,"s11_11","shared"
