"Species","col_2b","col_WMS","Group"
"Abiotrophia_defectiva",0.000399971,0.000332869,"s11_1"
"Abiotrophia_sp001815865",0.000737248,0.000603111,"s11_1"
"Actinomyces_dentalis",1.58e-05,2.02208e-05,"s11_1"
"Actinomyces_gerencseriae",2.08e-05,2.86472e-05,"s11_1"
"Actinomyces_graevenitzii",7.98e-05,8.67606e-05,"s11_1"
"Actinomyces_israelii",9.07e-06,1.48924e-05,"s11_1"
"Actinomyces_johnsonii",6.18e-05,7.31074e-05,"s11_1"
"Actinomyces_massiliensis",2.6e-05,3.26811e-05,"s11_1"
"Actinomyces_naeslundii",0.000273487,0.000307969,"s11_1"
"Actinomyces_oris",0.000540886,0.00062588,"s11_1"
"Actinomyces_oris_A",9.39e-05,0.000138076,"s11_1"
"Actinomyces_oris_B",4.37e-05,4.71646e-05,"s11_1"
"Actinomyces_oris_C",6.35e-05,8.40263e-05,"s11_1"
"Actinomyces_oris_D",7.36e-05,8.04102e-05,"s11_1"
"Actinomyces_oris_E",0.000104082,0.000122833,"s11_1"
"Actinomyces_sp000195595",4.51e-05,5.55498e-05,"s11_1"
"Actinomyces_sp000220835",1.76e-05,2.32388e-05,"s11_1"
"Actinomyces_sp001278845",5.09e-06,1.04143e-05,"s11_1"
"Actinomyces_sp002999235",9.96e-06,8.58995e-06,"s11_1"
"Actinomyces_sp900323545",6.15e-05,6.9665e-05,"s11_1"
"Actinomyces_timonensis",9.98e-05,0.000123807,"s11_1"
"Aggregatibacter_aphrophilus",0.0005534,0.000615269,"s11_1"
"Aggregatibacter_kilianii",0.000121893,0.000148459,"s11_1"
"Aggregatibacter_segnis",0.002762841,0.003335197,"s11_1"
"Aggregatibacter_segnis_A",0.001906098,0.002268811,"s11_1"
"Aggregatibacter_sp000466335",0.002034529,0.002357848,"s11_1"
"Allisonella_pneumosintes",0.000323398,0.000367619,"s11_1"
"Alloprevotella_rava",0.000118593,0.000110574,"s11_1"
"Alloprevotella_tannerae",0.001202958,0.001279197,"s11_1"
"Anaeroglobus_geminatus",7.69e-05,6.34874e-05,"s11_1"
"Anaeroglobus_micronuciformis",3.9e-05,2.85293e-05,"s11_1"
"Arachnia_propionica",0.000152965,0.000156572,"s11_1"
"Arachnia_sp013333735",0.000121615,0.000128783,"s11_1"
"Arachnia_sp013333945",0.000338378,0.000308145,"s11_1"
"Arachnia_sp900607225",2.32e-05,3.45274e-05,"s11_1"
"Bacillus_A_bombysepticus",1.36e-05,6.33338e-05,"s11_1"
"Bacteroides_D_periocalifornicus",6.42e-05,7.50303e-05,"s11_1"
"Bergeyella_A_cardium",0.000136962,0.000136666,"s11_1"
"Bifidobacterium_dentium",3.98e-06,4.78694e-06,"s11_1"
"Bulleidia_extructa",9.46e-05,7.69928e-05,"s11_1"
"Bulleidia_moorei",0.000116258,0.000133883,"s11_1"
"Campylobacter_A_curvus",1.46e-05,1.61659e-05,"s11_1"
"Campylobacter_A_rectus",0.001489155,0.001950829,"s11_1"
"Campylobacter_A_showae",6.75e-05,6.79954e-05,"s11_1"
"Campylobacter_A_showae_A",6.05e-05,0.000106783,"s11_1"
"Campylobacter_A_showae_B",5.9e-05,5.96407e-05,"s11_1"
"Campylobacter_A_showae_D",4e-05,6.21154e-05,"s11_1"
"Campylobacter_A_showae_E",6.18e-05,8.00793e-05,"s11_1"
"Campylobacter_A_sp014253065",5.37e-05,8.21043e-05,"s11_1"
"Campylobacter_B_gracilis",2.55e-05,2.86042e-05,"s11_1"
"Campylobacter_B_sp900539505",2.3e-05,3.92901e-05,"s11_1"
"Capnocytophaga_endodontalis",0.000223321,0.000221932,"s11_1"
"Capnocytophaga_gingivalis",0.001172029,0.000957998,"s11_1"
"Capnocytophaga_granulosa",0.000331873,0.000318357,"s11_1"
"Capnocytophaga_leadbetteri",0.002399445,0.002260974,"s11_1"
"Capnocytophaga_ochracea",0.000977071,0.000944425,"s11_1"
"Capnocytophaga_sp000192225",4.59e-05,5.7488e-05,"s11_1"
"Capnocytophaga_sp000318275",0.000456446,0.000410052,"s11_1"
"Capnocytophaga_sp000466425",0.001806181,0.001449872,"s11_1"
"Capnocytophaga_sp002999135",0.000200076,0.000193251,"s11_1"
"Capnocytophaga_sputigena",0.00306732,0.002857895,"s11_1"
"Cardiobacterium_hominis",0.000831977,0.000892672,"s11_1"
"Cardiobacterium_valvarum",7.72e-05,9.018e-05,"s11_1"
"Catonella_morbi",8.89e-05,7.50513e-05,"s11_1"
"Centipeda_artemidis",1.93e-05,1.64555e-05,"s11_1"
"Centipeda_felix",1.08e-05,1.40579e-05,"s11_1"
"Centipeda_infelix",2e-05,2.49222e-05,"s11_1"
"Centipeda_massiliensis",1.86e-05,1.82193e-05,"s11_1"
"Centipeda_noxia",4.23e-05,4.52913e-05,"s11_1"
"Centipeda_periodontii",8.53e-06,1.56694e-05,"s11_1"
"Centipeda_sp000286455",1.25e-05,1.05178e-05,"s11_1"
"Centipeda_sp000318175",1.29e-05,1.47772e-05,"s11_1"
"Centipeda_sp000468035",8.12e-06,6.57612e-06,"s11_1"
"Centipeda_sp001683335",1.78e-05,2.0069e-05,"s11_1"
"Centipeda_sp001717585",9.62e-06,7.60813e-06,"s11_1"
"Cobetia_marina",5.94e-06,7.03357e-06,"s11_1"
"Corynebacterium_argentoratense",0.000104384,0.000100483,"s11_1"
"Corynebacterium_durum",0.000470538,0.000421398,"s11_1"
"Corynebacterium_matruchotii",0.00090613,0.000817122,"s11_1"
"Cutibacterium_acnes",7.92e-05,7.41313e-05,"s11_1"
"Desulfobulbus_oralis",9.62e-05,5.31771e-05,"s11_1"
"Dialister_invisus",0.000364831,0.000460026,"s11_1"
"Eikenella_corrodens",0.001544872,0.001727834,"s11_1"
"Eikenella_corrodens_B",4.98e-05,7.91884e-05,"s11_1"
"Eikenella_exigua",5.03e-05,7.49289e-05,"s11_1"
"Eikenella_halliae",0.000115371,0.000150555,"s11_1"
"Eikenella_shayeganii",0.000110503,4.67797e-05,"s11_1"
"Eubacterium_A_minutum",2.78e-05,2.22543e-05,"s11_1"
"Eubacterium_B_infirmum",0.000194083,0.000164954,"s11_1"
"Eubacterium_B_sulci",3.11e-05,3.16823e-05,"s11_1"
"Eubacterium_M_brachy",0.001192151,0.001198978,"s11_1"
