	S11-1	S11-11	S11-12	S11-14	S11-2	S11-6	S11-7	S11-9	S13-1	S13-11	S13-12	S13-14	S13-2	S13-6	S13-7	S13-9	S17-1	S17-11	S17-12	S17-14	S17-2	S17-6	S17-7	S17-9	S9-1	S9-11	S9-12	S9-14	S9-2	S9-6	S9-7	S9-9
S11-1	0.0	0.41537943646070985	0.5047432007589121	0.41652635664421706	0.352187706350033	0.23163367706138832	0.1522358443577351	0.3439418750307	0.2873019459683114	0.3994400539104086	0.4219878075180492	0.42102375736380115	0.23396700743472118	0.5012077701932433	0.4062563150010104	0.3253593120574899	0.19321743091478893	0.5748523519763763	0.413879006220641	0.4523856323817012	0.35065199610431935	0.5326417052226728	0.2347451075592172	0.32142755142840823	0.13133089101294257	0.4130854960936794	0.436636099861776	0.4806765069082411	0.46296103407376543	0.43221413915426227	0.3039441586310654	0.24776565964250555
S11-11	0.41537943646070985	0.0	0.5489743078358893	0.31547400047584007	0.43552121968339513	0.3984886037581766	0.4056293449006952	0.3286629225860676	0.3388828342212535	0.32910396265663405	0.22048369527739126	0.2890767862522858	0.35087965614074496	0.5243310338929654	0.2420175887228142	0.3512763762042202	0.42444012791042046	0.5503746080599373	0.3037967586074814	0.5071675811468129	0.46905186504829843	0.42424061787849887	0.44340442094470733	0.5014833602373376	0.451913112306098	0.33529200364672057	0.4771942863510858	0.5558609489377518	0.5140424122467859	0.3643457182953149	0.4894530883124941	0.5481731177076988
S11-12	0.5047432007589121	0.5489743078358893	0.0	0.6567302150768344	0.45457857273257163	0.3994341039094566	0.49451738912278226	0.554668668746987	0.5848594735775158	0.4759593261534922	0.5484393377502941	0.6600813056130089	0.43600579976092796	0.601646556263449	0.5738381118140979	0.5579585792733727	0.5520958783353406	0.6132261381161821	0.5452976272476203	0.7007095521135284	0.4887057681929229	0.6695767371322779	0.5840291334446613	0.5777099424335908	0.5106659717065555	0.3584871573579452	0.3549219267875083	0.666679856668777	0.6174432787909246	0.5924569647931144	0.45246271239403396	0.562551900008304
S11-14	0.41652635664421706	0.31547400047584007	0.6567302150768344	0.0	0.39346733295477326	0.41643696662991464	0.43285302925648467	0.28735899597743936	0.3433511649361864	0.4473454515752723	0.2893235362917658	0.1596989755518361	0.45046466207434593	0.5095238915238226	0.22070720531315285	0.3003433680549389	0.523515343762455	0.6195304991248799	0.38033338085334095	0.3501002160160346	0.5213056534089046	0.4646259943401591	0.44706321153011386	0.4810345369655259	0.4451020612163298	0.4727455556392889	0.5595147495223599	0.4024838543974167	0.4996687099469936	0.3583096573295452	0.4302367088378734	0.5078629012580642
S11-2	0.352187706350033	0.43552121968339513	0.45457857273257163	0.39346733295477326	0.0	0.34123668459786954	0.3361803237888518	0.2457913993266239	0.3468899555023929	0.47103727536596407	0.3872582919613267	0.4173642567782811	0.3396260843401735	0.5825043432006949	0.35622990699678514	0.2604959116793459	0.4618344338935094	0.6830039992806399	0.4349078695852591	0.4462600114016018	0.40496813479490157	0.4030918544946967	0.3640447082471533	0.2778667444586791	0.2850346056055369	0.46622004459520716	0.4443103110896498	0.4289450086312014	0.3281126024980164	0.2997156779545085	0.23298246727719477	0.3092869494859119
S11-6	0.23163367706138832	0.3984886037581766	0.3994341039094566	0.41643696662991464	0.34123668459786954	0.0	0.21759860481577678	0.3715505094480815	0.36734609877537583	0.3181660409065665	0.38923690227790436	0.391804162688666	0.20446793271486924	0.40782079525132725	0.3913975326236052	0.3631567581050813	0.29388024702083954	0.5214018534242966	0.383791531406645	0.4164796666367467	0.3047551887608302	0.5121600019456003	0.30743971919035507	0.3482952957272473	0.2902403164384506	0.3480798156927705	0.4103583656573385	0.4839030474244876	0.475940606150497	0.42503104800496766	0.3049359387897502	0.3792096506735441
S11-7	0.1522358443577351	0.4056293449006952	0.49451738912278226	0.43285302925648467	0.3361803237888518	0.21759860481577678	0.0	0.39365834298533486	0.3511472961835674	0.3624121679859469	0.4137197161951546	0.4343836595013855	0.2655363324858132	0.499146449863432	0.3587608674017388	0.39617060338729654	0.2386169981787197	0.5584434093509455	0.4097808055649289	0.414147906263665	0.38094023095043694	0.4741455258632841	0.17809033849445416	0.32645335223253635	0.17163081746093078	0.37460013993602237	0.4346529195444671	0.4412305705968913	0.43949295031887203	0.3974576235932198	0.25674872107979535	0.24824195971871355
S11-9	0.3439418750307	0.3286629225860676	0.554668668746987	0.28735899597743936	0.2457913993266239	0.3715505094480815	0.39365834298533486	0.0	0.1960358013657282	0.43807676009228164	0.2648995723839316	0.28695317591250813	0.3657211485153838	0.5647405203584832	0.2866017058562729	0.1288144806103169	0.43950762032121926	0.6819365491098479	0.32883950261432043	0.4537204725952756	0.45562330289972847	0.36295093807215006	0.3980266336842614	0.25081683013069284	0.28649739583958334	0.414600106336017	0.5033717205394753	0.47458493593358975	0.3641176982588317	0.29372966699674674	0.368565918970547	0.29860849777735965
S13-1	0.2873019459683114	0.3388828342212535	0.5848594735775158	0.3433511649361864	0.3468899555023929	0.36734609877537583	0.3511472961835674	0.1960358013657282	0.0	0.5025160604025697	0.26505766240922596	0.31113630978180956	0.3767610002817601	0.6143703082992493	0.3333178833308613	0.2534978105596497	0.36587388853982217	0.7190112450417993	0.35314264650282345	0.5374499659919946	0.5005650400904064	0.367941868870699	0.3332709033233445	0.3203092612494818	0.2556141708982673	0.4608051037288166	0.5559615789538527	0.5505614780898365	0.45539697286351566	0.32340004174400666	0.38400186144029785	0.2968954675032748
S13-11	0.3994400539104086	0.32910396265663405	0.4759593261534922	0.4473454515752723	0.47103727536596407	0.3181660409065665	0.3624121679859469	0.43807676009228164	0.5025160604025697	0.0	0.3929091828654693	0.39638311342129817	0.26365810218529634	0.3625423980067837	0.38042405086784814	0.45379338260694124	0.3631414981026397	0.3633660781385725	0.4011868541898967	0.4334386993501919	0.30979983956797436	0.5583005093280815	0.43728055996488957	0.5036172605787617	0.4288913486226158	0.24281143884983022	0.45968774355003894	0.5282158045145288	0.5212824534051925	0.49457969913275185	0.43995715039314404	0.5402747564439611
