	S11-1	S11-11	S11-12	S11-14	S11-2	S11-6	S11-7	S11-9	S13-1	S13-11	S13-12	S13-14	S13-2	S13-6	S13-7	S13-9	S17-1	S17-11	S17-12	S17-14	S17-2	S17-6	S17-7	S17-9	S9-1	S9-11	S9-12	S9-14	S9-2	S9-6	S9-7	S9-9
S11-1	0.0	0.5419071875867006	0.6066419434929872	0.5380941215333177	0.34370403181185644	0.392243499491409	0.3876265424267716	0.41228833377203666	0.42140506089967084	0.4783251766965525	0.5595819598341475	0.5684624049584737	0.387386717423414	0.5896581152552136	0.45087548431225677	0.38339253036749543	0.3828761253602658	0.5490897616872567	0.5337819494729473	0.478631210700837	0.3487761848828666	0.7385623283398726	0.514408636201721	0.48492644778897026	0.21976806007675284	0.5793864811114108	0.5266085073725191	0.5258214013614996	0.4629503534813049	0.502228214031195	0.39869508058173114	0.4013884646194385
S11-11	0.5419071875867006	0.0	0.6504298451060179	0.4105697357479763	0.5457751316408519	0.5726943900177215	0.5585530188197423	0.44854565327963913	0.39298976850185674	0.46244253347419545	0.28883693304371705	0.39088613247240583	0.5347316024862424	0.694676994725478	0.3147040874058572	0.47458476864418675	0.5108176641514472	0.5858923262024925	0.4616836734635714	0.681851282545918	0.5850580941908133	0.6124071785737005	0.6217818117049454	0.748114647473605	0.5887620762426691	0.4939630829154832	0.6590919512272874	0.7101300149418203	0.6462949960481299	0.5156986212197807	0.6107197935500771	0.7304843992267815
S11-12	0.6066419434929872	0.6504298451060179	0.0	0.7758619638620675	0.7107267879501751	0.5876338212268735	0.6205703356879847	0.771535642801499	0.7753974728555646	0.578514500099203	0.6578931042105035	0.7853644359951021	0.5688758169642615	0.6778772344902813	0.6871116356195629	0.7478240194695362	0.6524380841341332	0.5182242722551398	0.6671814363405401	0.8001047922014671	0.5416639055832947	0.9127066497778931	0.7771142998796002	0.8282359615953034	0.6659462443232474	0.49806697497293767	0.4023850296333904	0.7860913550052789	0.740938362373137	0.7854099669957395	0.6692086273689208	0.7616791136635076
S11-14	0.5380941215333177	0.4105697357479763	0.7758619638620675	0.0	0.4939355499150977	0.5704965239869514	0.5417057235838801	0.3745310822434352	0.33491324068878536	0.5790919601072875	0.3892880944500333	0.2161299800258197	0.5925385072955391	0.7096982619357757	0.29529065413406913	0.40575161268052257	0.5446266676247733	0.7502905095040672	0.5625462258756472	0.44508727623122185	0.6434118500077659	0.5793799741113196	0.5359291095030075	0.6522999011321986	0.5420175945882463	0.6072939405021152	0.7093296889306157	0.5029394740411527	0.6106479515490714	0.4705609075878527	0.4849164097888297	0.6283204807964867
S11-2	0.34370403181185644	0.5457751316408519	0.7107267879501751	0.4939355499150977	0.0	0.47152836960139716	0.46098510845379154	0.3740368772365163	0.4310297390344163	0.6192096006689344	0.5691250309677505	0.5308548834319684	0.41487639680826954	0.685287426594024	0.46937774957128847	0.3316369916429179	0.5685912449602775	0.6842997895801971	0.642378997993306	0.5397182945560561	0.3475105578651478	0.6714117423997644	0.560616497848631	0.4866239428127352	0.3740560862367852	0.6818612185460571	0.632995073861931	0.5289134094047877	0.3960310785444351	0.4412532931775461	0.45074870331048184	0.42484665394785315
S11-6	0.392243499491409	0.5726943900177215	0.5876338212268735	0.5704965239869514	0.47152836960139716	0.0	0.46595697252339763	0.5166890092336461	0.5137517891925251	0.46013633144190863	0.5504819037067467	0.5929468203012555	0.47102050659428707	0.4859160658028249	0.5512732237178252	0.5225309233154329	0.44991314429878404	0.567588785946243	0.5731805970245284	0.5678589549500254	0.4746621476452701	0.6994290637920069	0.5304451174262317	0.5639532338953452	0.43129904703818667	0.6392973279501626	0.6636763142914684	0.6190102046661429	0.5983722503772115	0.5628081718793144	0.5185495152596932	0.5515335507214697
S11-7	0.3876265424267716	0.5585530188197423	0.6205703356879847	0.5417057235838801	0.46098510845379154	0.46595697252339763	0.0	0.5881673522343429	0.5827325791582562	0.47305968362283557	0.6110574185548039	0.5515235777213301	0.5268129653753815	0.6310111218341558	0.4282949749961297	0.5938371213137197	0.45040199430562794	0.56067071484939	0.5678363749497093	0.449180425288526	0.4922603338916447	0.6361152639056137	0.3818780583462928	0.52561071335855	0.4341793900785115	0.5809298911330185	0.5315550564417708	0.4258317809616449	0.5878685642301599	0.48877430384284026	0.29084679107185507	0.5367766675148733
S11-9	0.41228833377203666	0.44854565327963913	0.771535642801499	0.3745310822434352	0.3740368772365163	0.5166890092336461	0.5881673522343429	0.0	0.2531857005445998	0.595426789335975	0.4222248139111474	0.35761238700657344	0.527379213383309	0.6766539924731559	0.38590503340267046	0.2045872998642222	0.5041907940586711	0.7670906557392692	0.539059431546832	0.5418714385862001	0.5014711650205963	0.5901793132625104	0.5751835350525695	0.43848610113880543	0.40304180164258524	0.6411702449763834	0.7083440619168169	0.5995426533935971	0.5437173906120435	0.4326525570571358	0.5610964708553506	0.4010360216145043
S13-1	0.42140506089967084	0.39298976850185674	0.7753974728555646	0.33491324068878536	0.4310297390344163	0.5137517891925251	0.5827325791582562	0.2531857005445998	0.0	0.621766140704726	0.3563200859884812	0.3467397228543561	0.5711026049954365	0.6906716936694037	0.32869023260166325	0.3148814734083406	0.49211210388956944	0.7444454814222368	0.4888318348436457	0.5816735441434296	0.5952162453330274	0.572340569012768	0.5664667809305349	0.5506332147088651	0.4171856788405995	0.6331391778639485	0.7025923598362931	0.616765646634719	0.5824564571543904	0.3839158353748217	0.5573980768035731	0.5203344382846822
S13-11	0.4783251766965525	0.46244253347419545	0.578514500099203	0.5790919601072875	0.6192096006689344	0.46013633144190863	0.47305968362283557	0.595426789335975	0.621766140704726	0.0	0.43397565407565913	0.5770501300787019	0.3785233852993274	0.6258685057621591	0.4816421147429896	0.6047636574666913	0.42823589699530257	0.3574033380036467	0.5342022034788309	0.5966823003535522	0.5270459433786432	0.701457279820402	0.5632545368855635	0.7168711270361958	0.48637107380919503	0.2979883821718374	0.5637682798927559	0.6247174257460439	0.6266056887724797	0.6310807518351306	0.5252637783536929	0.7020217588283046
S13-12	0.5595819598341475	0.28883693304371705	0.6578931042105035	0.3892880944500333	0.5691250309677505	0.5504819037067467	0.6110574185548039	0.4222248139111474	0.3563200859884812	0.43397565407565913	0.0	0.37904356530660993	0.5327389184583449	0.727730147188222	0.3534178019478492	0.48772613082816585	0.49699388095791436	0.6497515190965213	0.41629466182812525	0.6727122924179721	0.6286278968007906	0.5407373945703235	0.6008783214122965	0.7354021682956303	0.5476605196672473	0.5033019820462278	0.6663769503292774	0.7118298319656177	0.64286071400005	0.4931901059046615	0.6296828238155595	0.7326290872568072
S13-14	0.5684624049584737	0.39088613247240583	0.7853644359951021	0.2161299800258197	0.5308548834319684	0.5929468203012555	0.5515235777213301	0.35761238700657344	0.3467397228543561	0.5770501300787019	0.37904356530660993	0.0	0.6089408165251714	0.7179847320517863	0.3104246913459457	0.40625287268754023	0.4957194009400716	0.7665209577312934	0.5348932014885048	0.4745336726434714	0.6648729633082214	0.5704419819861878	0.5587128718219802	0.6741225214377153	0.5593945398315235	0.6225961217163457	0.7025031848350446	0.5489945916859242	0.6199672236795412	0.46137886145930407	0.5295490194136863	0.6590960192273443
S13-2	0.387386717423414	0.5347316024862424	0.5688758169642615	0.5925385072955391	0.41487639680826954	0.47102050659428707	0.5268129653753815	0.527379213383309	0.5711026049954365	0.3785233852993274	0.5327389184583449	0.6089408165251714	0.0	0.6081320355138485	0.5403998345655977	0.47295925662142957	0.4816880327436325	0.4935723789100133	0.612149499570093	0.6355851168981916	0.31985566047797925	0.7528046985392658	0.6005134504071883	0.6566525421931356	0.3900331144604636	0.43822311013512355	0.5806663231293285	0.6654014143156198	0.4909604868734468	0.6054033484756469	0.545915571642818	0.6061372884859221
S13-6	0.5896581152552136	0.694676994725478	0.6778772344902813	0.7096982619357757	0.685287426594024	0.4859160658028249	0.6310111218341558	0.6766539924731559	0.6906716936694037	0.6258685057621591	0.727730147188222	0.7179847320517863	0.6081320355138485	0.0	0.720318997084466	0.6383403269367646	0.5596555568351778	0.5871324612198544	0.7328256022595584	0.6898119716573676	0.5732728780258203	0.840189570762654	0.7196586310752209	0.6977985397691796	0.6375114539251604	0.7271449711800296	0.7297310532162348	0.762959005681426	0.7437035274118494	0.7400161083602255	0.7000792378011094	0.6895289766534056
S13-7	0.45087548431225677	0.3147040874058572	0.6871116356195629	0.29529065413406913	0.46937774957128847	0.5512732237178252	0.4282949749961297	0.38590503340267046	0.32869023260166325	0.4816421147429896	0.3534178019478492	0.3104246913459457	0.5403998345655977	0.720318997084466	0.0	0.42133261689865664	0.4860174378042441	0.6409184849728587	0.49669730395376227	0.4921198288896776	0.5740717410370044	0.569790852977072	0.5282198863950784	0.6705619583878674	0.4565311243914357	0.5258131873613846	0.6185988886603845	0.5436482416110754	0.5955968013383552	0.432862430060074	0.45114910231608746	0.6509262871129681
S13-9	0.38339253036749543	0.47458476864418675	0.7478240194695362	0.40575161268052257	0.3316369916429179	0.5225309233154329	0.5938371213137197	0.2045872998642222	0.3148814734083406	0.6047636574666913	0.48772613082816585	0.40625287268754023	0.47295925662142957	0.6383403269367646	0.42133261689865664	0.0	0.5160805362251275	0.7334028912676405	0.5845455221836373	0.5314801194407217	0.42798847899183873	0.6433256820065596	0.6024239764339356	0.4745740996440374	0.4449710152295942	0.6469234820569287	0.682825500559557	0.6137123495919728	0.5001719720024076	0.47334121662677703	0.5588168948234365	0.44053438716748144
S17-1	0.3828761253602658	0.5108176641514472	0.6524380841341332	0.5446266676247733	0.5685912449602775	0.44991314429878404	0.45040199430562794	0.5041907940586711	0.49211210388956944	0.42823589699530257	0.49699388095791436	0.4957194009400716	0.4816880327436325	0.5596555568351778	0.4860174378042441	0.5160805362251275	0.0	0.6150648166109074	0.44621591624702284	0.49481781792744944	0.4848488077878833	0.656679143193508	0.4953377279347282	0.5973570193629982	0.4266024219724339	0.5859066672026934	0.6465697560519765	0.6328665098601312	0.6472826570619572	0.5873397552227566	0.5564214937899009	0.6164902916308641
S17-11	0.5490897616872567	0.5858923262024925	0.5182242722551398	0.7502905095040672	0.6842997895801971	0.567588785946243	0.56067071484939	0.7670906557392692	0.7444454814222368	0.3574033380036467	0.6497515190965213	0.7665209577312934	0.4935723789100133	0.5871324612198544	0.6409184849728587	0.7334028912676405	0.6150648166109074	0.0	0.6504942471069195	0.7693446567708252	0.5350786334911009	0.8960248695443481	0.7391499483480993	0.821040213494563	0.6083014825162207	0.3985505865797082	0.4849024657886345	0.7753621938550708	0.7213015950982223	0.7679986137519806	0.6165496266316948	0.7741323998378536
S17-12	0.5337819494729473	0.4616836734635714	0.6671814363405401	0.5625462258756472	0.642378997993306	0.5731805970245284	0.5678363749497093	0.539059431546832	0.4888318348436457	0.5342022034788309	0.41629466182812525	0.5348932014885048	0.612149499570093	0.7328256022595584	0.49669730395376227	0.5845455221836373	0.44621591624702284	0.6504942471069195	0.0	0.6768350204756903	0.6441601020182415	0.6417010939838154	0.5891837202485721	0.7062018798868264	0.5629207008808899	0.5859857212038001	0.6365933969123075	0.7654722927166121	0.7266804881735268	0.6041963824587494	0.6594782602326956	0.7348277302875882
S17-14	0.478631210700837	0.681851282545918	0.8001047922014671	0.44508727623122185	0.5397182945560561	0.5678589549500254	0.449180425288526	0.5418714385862001	0.5816735441434296	0.5966823003535522	0.6727122924179721	0.4745336726434714	0.6355851168981916	0.6898119716573676	0.4921198288896776	0.5314801194407217	0.49481781792744944	0.7693446567708252	0.6768350204756903	0.0	0.6293717338112043	0.6235450107296302	0.4456491492390881	0.4948737489282325	0.48261990975667873	0.7187205280620874	0.7062151858870126	0.30368842725163797	0.5921274182897839	0.5451316566318432	0.4126822617775517	0.5131845181845832
S17-2	0.3487761848828666	0.5850580941908133	0.5416639055832947	0.6434118500077659	0.3475105578651478	0.4746621476452701	0.4922603338916447	0.5014711650205963	0.5952162453330274	0.5270459433786432	0.6286278968007906	0.6648729633082214	0.31985566047797925	0.5732728780258203	0.5740717410370044	0.42798847899183873	0.4848488077878833	0.5350786334911009	0.6441601020182415	0.6293717338112043	0.0	0.8367106907139497	0.6524925941348964	0.5423430245928024	0.4384527581383386	0.5966047983524672	0.5611496028560944	0.6724445234142233	0.48646888881056444	0.6251949557527294	0.532141857449986	0.4942305679192279
S17-6	0.7385623283398726	0.6124071785737005	0.9127066497778931	0.5793799741113196	0.6714117423997644	0.6994290637920069	0.6361152639056137	0.5901793132625104	0.572340569012768	0.701457279820402	0.5407373945703235	0.5704419819861878	0.7528046985392658	0.840189570762654	0.569790852977072	0.6433256820065596	0.656679143193508	0.8960248695443481	0.6417010939838154	0.6235450107296302	0.8367106907139497	0.0	0.4940106779161495	0.6153105556143478	0.7097034559358484	0.8054780062766921	0.8963601725490424	0.660528642247401	0.7457292404402094	0.4100001357400019	0.7107066389498929	0.7496164024946297
S17-7	0.514408636201721	0.6217818117049454	0.7771142998796002	0.5359291095030075	0.560616497848631	0.5304451174262317	0.3818780583462928	0.5751835350525695	0.5664667809305349	0.5632545368855635	0.6008783214122965	0.5587128718219802	0.6005134504071883	0.7196586310752209	0.5282198863950784	0.6024239764339356	0.4953377279347282	0.7391499483480993	0.5891837202485721	0.4456491492390881	0.6524925941348964	0.4940106779161495	0.0	0.4892651268497118	0.5030591910428287	0.7005280758073931	0.7272296161812146	0.4877370988283194	0.6269423587771931	0.5278144793894027	0.46658806353223287	0.5693518199709254
S17-9	0.48492644778897026	0.748114647473605	0.8282359615953034	0.6522999011321986	0.4866239428127352	0.5639532338953452	0.52561071335855	0.43848610113880543	0.5506332147088651	0.7168711270361958	0.7354021682956303	0.6741225214377153	0.6566525421931356	0.6977985397691796	0.6705619583878674	0.4745740996440374	0.5973570193629982	0.821040213494563	0.7062018798868264	0.4948737489282325	0.5423430245928024	0.6153105556143478	0.4892651268497118	0.0	0.5091168951276366	0.8088962543245476	0.7781158848936224	0.5033918990474866	0.6210070806940992	0.576650504073107	0.5676814199475398	0.26733532974269464
S9-1	0.21976806007675284	0.5887620762426691	0.6659462443232474	0.5420175945882463	0.3740560862367852	0.43129904703818667	0.4341793900785115	0.40304180164258524	0.4171856788405995	0.48637107380919503	0.5476605196672473	0.5593945398315235	0.3900331144604636	0.6375114539251604	0.4565311243914357	0.4449710152295942	0.4266024219724339	0.6083014825162207	0.5629207008808899	0.48261990975667873	0.4384527581383386	0.7097034559358484	0.5030591910428287	0.5091168951276366	0.0	0.5874258322239616	0.5487799746829196	0.49838859397744034	0.45041893930586513	0.49607540894505575	0.4261619589662674	0.44727218126181056
S9-11	0.5793864811114108	0.4939630829154832	0.49806697497293767	0.6072939405021152	0.6818612185460571	0.6392973279501626	0.5809298911330185	0.6411702449763834	0.6331391778639485	0.2979883821718374	0.5033019820462278	0.6225961217163457	0.43822311013512355	0.7271449711800296	0.5258131873613846	0.6469234820569287	0.5859066672026934	0.3985505865797082	0.5859857212038001	0.7187205280620874	0.5966047983524672	0.8054780062766921	0.7005280758073931	0.8088962543245476	0.5874258322239616	0.0	0.5057728610808201	0.7098506839379096	0.6791924755086947	0.7055611298778558	0.6099487365392823	0.7750870288512184
S9-12	0.5266085073725191	0.6590919512272874	0.4023850296333904	0.7093296889306157	0.632995073861931	0.6636763142914684	0.5315550564417708	0.7083440619168169	0.7025923598362931	0.5637682798927559	0.6663769503292774	0.7025031848350446	0.5806663231293285	0.7297310532162348	0.6185988886603845	0.682825500559557	0.6465697560519765	0.4849024657886345	0.6365933969123075	0.7062151858870126	0.5611496028560944	0.8963601725490424	0.7272296161812146	0.7781158848936224	0.5487799746829196	0.5057728610808201	0.0	0.6941919177186868	0.6470116360581629	0.7181784450544982	0.5366451505130321	0.7102742429438395
S9-14	0.5258214013614996	0.7101300149418203	0.7860913550052789	0.5029394740411527	0.5289134094047877	0.6190102046661429	0.4258317809616449	0.5995426533935971	0.616765646634719	0.6247174257460439	0.7118298319656177	0.5489945916859242	0.6654014143156198	0.762959005681426	0.5436482416110754	0.6137123495919728	0.6328665098601312	0.7753621938550708	0.7654722927166121	0.30368842725163797	0.6724445234142233	0.660528642247401	0.4877370988283194	0.5033918990474866	0.49838859397744034	0.7098506839379096	0.6941919177186868	0.0	0.4992571489896001	0.5437386576123412	0.3879227984309192	0.48336338276708735
S9-2	0.4629503534813049	0.6462949960481299	0.740938362373137	0.6106479515490714	0.3960310785444351	0.5983722503772115	0.5878685642301599	0.5437173906120435	0.5824564571543904	0.6266056887724797	0.64286071400005	0.6199672236795412	0.4909604868734468	0.7437035274118494	0.5955968013383552	0.5001719720024076	0.6472826570619572	0.7213015950982223	0.7266804881735268	0.5921274182897839	0.48646888881056444	0.7457292404402094	0.6269423587771931	0.6210070806940992	0.45041893930586513	0.6791924755086947	0.6470116360581629	0.4992571489896001	0.0	0.5657978009211692	0.5481631696742844	0.5587614178226599
S9-6	0.502228214031195	0.5156986212197807	0.7854099669957395	0.4705609075878527	0.4412532931775461	0.5628081718793144	0.48877430384284026	0.4326525570571358	0.3839158353748217	0.6310807518351306	0.4931901059046615	0.46137886145930407	0.6054033484756469	0.7400161083602255	0.432862430060074	0.47334121662677703	0.5873397552227566	0.7679986137519806	0.6041963824587494	0.5451316566318432	0.6251949557527294	0.4100001357400019	0.5278144793894027	0.576650504073107	0.49607540894505575	0.7055611298778558	0.7181784450544982	0.5437386576123412	0.5657978009211692	0.0	0.4838298877736184	0.5321273914497835
S9-7	0.39869508058173114	0.6107197935500771	0.6692086273689208	0.4849164097888297	0.45074870331048184	0.5185495152596932	0.29084679107185507	0.5610964708553506	0.5573980768035731	0.5252637783536929	0.6296828238155595	0.5295490194136863	0.545915571642818	0.7000792378011094	0.45114910231608746	0.5588168948234365	0.5564214937899009	0.6165496266316948	0.6594782602326956	0.4126822617775517	0.532141857449986	0.7107066389498929	0.46658806353223287	0.5676814199475398	0.4261619589662674	0.6099487365392823	0.5366451505130321	0.3879227984309192	0.5481631696742844	0.4838298877736184	0.0	0.4858836288023708
S9-9	0.4013884646194385	0.7304843992267815	0.7616791136635076	0.6283204807964867	0.42484665394785315	0.5515335507214697	0.5367766675148733	0.4010360216145043	0.5203344382846822	0.7020217588283046	0.7326290872568072	0.6590960192273443	0.6061372884859221	0.6895289766534056	0.6509262871129681	0.44053438716748144	0.6164902916308641	0.7741323998378536	0.7348277302875882	0.5131845181845832	0.4942305679192279	0.7496164024946297	0.5693518199709254	0.26733532974269464	0.44727218126181056	0.7750870288512184	0.7102742429438395	0.48336338276708735	0.5587614178226599	0.5321273914497835	0.4858836288023708	0.0
