	S11-11	S11-12	S11-14	S11-1	S11-2	S11-6	S11-7	S11-9	S13-11	S13-12	S13-14	S13-1	S13-2	S13-6	S13-7	S13-9	S17-11	S17-12	S17-14	S17-1	S17-2	S17-6	S17-7	S17-9	S9-11	S9-12	S9-14	S9-1	S9-2	S9-6	S9-7	S9-9
S11-11	0.0	0.3105432967956103	0.4410476866241062	0.35428711244858824	0.41519173750995053	0.1991419023107816	0.3105226712271655	0.4933281216214969	0.24731043069826963	0.29582864255224284	0.4551687970247315	0.4883842489179216	0.2337515577698216	0.33763891672132745	0.28634598478623796	0.46557627691732917	0.23238102366684707	0.252243634315885	0.5010309296274749	0.3700205602478167	0.3020453250117652	0.32596993161196886	0.3385505912782864	0.4879641823032302	0.23983389368683397	0.44551430392213126	0.5836748305175684	0.439906256652451	0.4469600796595882	0.5902959755737872	0.5137403152994422	0.5361400497985096
S11-12	0.3105432967956103	0.0	0.5430968585418197	0.5782915764618833	0.40196442364244755	0.38553122428311315	0.445774087063231	0.5195139960956997	0.3356323053166706	0.3043083178933123	0.544489083869478	0.5765924280805891	0.38308106923179397	0.4004481390386758	0.3526548095681957	0.49739995279865046	0.37855289171268824	0.35397812981543836	0.5951569783555186	0.5962515865438692	0.43994971863079874	0.4428401283842533	0.47902587575126004	0.5468964709948949	0.2981919619900249	0.3234445886653465	0.573138325356581	0.4822892430236779	0.39760160918914117	0.5986083021223436	0.43310444571192774	0.5310694259181824
S11-14	0.4410476866241062	0.5430968585418197	0.0	0.5091105924476999	0.393456704022633	0.42527897931185416	0.34020812915085996	0.38363021394795027	0.3606388238135744	0.5884657842196256	0.12078915990413563	0.6352111648822485	0.3875138628519942	0.4220407470999072	0.3249023468596537	0.3736010034864624	0.388885532984999	0.5831742688759427	0.1501493796179956	0.5188904216257508	0.3379534087940078	0.41135148021944395	0.34579507915890456	0.40427449836446544	0.43172740968134476	0.4636931933437572	0.2171950508723176	0.5500435994808582	0.42824889296727164	0.3916415921297797	0.34589132975060866	0.43559999822363604
S11-1	0.35428711244858824	0.5782915764618833	0.5091105924476999	0.0	0.5155392192219952	0.3375871442947459	0.3618458874818159	0.4669460000146983	0.4469510872628904	0.37649326599803473	0.4999699883792075	0.18387759308527513	0.354370170484275	0.4259931471623511	0.4516802520085347	0.4735388836671853	0.4195861853615381	0.36357287732992416	0.5448577634759764	0.09816071856238394	0.356703110128526	0.39966801573753574	0.2933439544278904	0.42171904305291785	0.4797354687455705	0.5359140182469365	0.6453990480591062	0.1769041401861174	0.5424852655357257	0.6416464419350832	0.5732483509866323	0.4153060991465258
S11-2	0.41519173750995053	0.40196442364244755	0.393456704022633	0.5155392192219952	0.0	0.3769545148578939	0.3747337148180204	0.27527905690406507	0.4500488464701612	0.4253809787315554	0.3939312811490255	0.5355574094867662	0.2386537122754746	0.48661533775855575	0.39051496544128617	0.2547577189415914	0.4183313848990797	0.49328482558021625	0.4680832168664189	0.5141446676714049	0.24363092805220202	0.44488987051874546	0.37831414016337883	0.30351801722013844	0.45658848493763143	0.3152226289847492	0.4320323610933725	0.43531272317691644	0.09521558287028144	0.4232068179666469	0.29327002475479624	0.33725445601958665
S11-6	0.1991419023107816	0.38553122428311315	0.42527897931185416	0.3375871442947459	0.3769545148578939	0.0	0.2613262853182945	0.4144173768651385	0.35715029582124974	0.31795705709687067	0.4409701386010115	0.4787597891983127	0.2168402298250811	0.2816663598507094	0.33109800837494685	0.3996562197550039	0.3041331947112487	0.25811131683073285	0.4880361147961212	0.3363537880187783	0.2964401340807426	0.2214463127826712	0.2894932625080774	0.4027795122622512	0.3623552700536423	0.4421755555876779	0.5442737470900694	0.42698422988470364	0.4207735891705331	0.5057148369197114	0.45195854228414106	0.45580437442566074
S11-7	0.3105226712271655	0.445774087063231	0.34020812915085996	0.3618458874818159	0.3747337148180204	0.2613262853182945	0.0	0.31487242945379457	0.3433842837133716	0.3675499889559489	0.3392262443484862	0.457981358216017	0.2782610017266061	0.41609769685212	0.19046305723705806	0.29757500483446314	0.35057024055023334	0.3491408543956749	0.38835624285975806	0.39530182639784234	0.3352648644539424	0.4041758485549753	0.14570939490197493	0.31709797540718265	0.3182294870759478	0.35767034510130596	0.40803886876618317	0.37802102605822413	0.39869440582454274	0.45276334847062966	0.2786601302350681	0.35718671828498166
S11-9	0.4933281216214969	0.5195139960956997	0.38363021394795027	0.4669460000146983	0.27527905690406507	0.4144173768651385	0.31487242945379457	0.0	0.514080729230075	0.4171219499954754	0.41033120478932744	0.4713388946988323	0.3567718253623534	0.5458579659097411	0.43132158615510957	0.08198057339697559	0.5213862781174945	0.4908215043108961	0.43387855313457524	0.47436196493828137	0.3672820057848591	0.518217234516366	0.27833686203785823	0.07331202421315691	0.498880365263485	0.4245490019603084	0.40576536569728294	0.397634810766598	0.29949748966452894	0.38018056121788946	0.34044591591890105	0.11819150120123642
S13-11	0.24731043069826963	0.3356323053166706	0.3606388238135744	0.4469510872628904	0.4500488464701612	0.35715029582124974	0.3433842837133716	0.514080729230075	0.0	0.3354164541469025	0.34047548326895355	0.5559233860666626	0.3152480975482447	0.37719931619041824	0.22968880554049492	0.47176345237499656	0.21995397756380225	0.40853105651410615	0.39313572901849947	0.45675821309428416	0.3059924269524244	0.3851616939058929	0.41106527919791264	0.5304073989236366	0.15213573657718027	0.4003507021896711	0.4912349971155978	0.4660267384137374	0.43674977988337643	0.5677974192330991	0.44095229981425454	0.5663168841399316
S13-12	0.29582864255224284	0.3043083178933123	0.5884657842196256	0.37649326599803473	0.4253809787315554	0.31795705709687067	0.3675499889559489	0.4171219499954754	0.3354164541469025	0.0	0.5753784677252645	0.37173818547217985	0.307823542969167	0.4576701216930429	0.41063909108503055	0.4174304426649181	0.3941236101892385	0.2698855307907821	0.6245920339751111	0.3906589295236725	0.4033285803718731	0.48155271604726985	0.34236041970938597	0.3999314662289823	0.3091413365438639	0.41023015579489214	0.6132622385091381	0.30879803173814546	0.42631001209289004	0.6035941295662053	0.5005928783208037	0.4201497285438564
S13-14	0.4551687970247315	0.544489083869478	0.12078915990413563	0.4999699883792075	0.3939312811490255	0.4409701386010115	0.3392262443484862	0.41033120478932744	0.34047548326895355	0.5753784677252645	0.0	0.620440154844678	0.3927305165531462	0.4263169821854688	0.30972120373664885	0.3735950676802055	0.3677170555458279	0.5700159164943881	0.1790786109200357	0.4820549658122633	0.334624949455074	0.39730085823949207	0.3503137688654095	0.4214234084985299	0.4261405607163853	0.44306844053014766	0.2546402045078638	0.5340215939382346	0.41781961082256247	0.42950291255164497	0.33493022545662715	0.4583501094599937
S13-1	0.4883842489179216	0.5765924280805891	0.6352111648822485	0.18387759308527513	0.5355574094867662	0.4787597891983127	0.457981358216017	0.4713388946988323	0.5559233860666626	0.37173818547217985	0.620440154844678	0.0	0.44722460315223406	0.5854757058517966	0.5415465757689137	0.47904219712493756	0.5600827208102127	0.4456323645543169	0.6661484987224318	0.26223840568571516	0.5111442141754878	0.574943719241051	0.40975771854404064	0.444040578647548	0.5210985197119266	0.5753113640919053	0.6585974220579659	0.14156844684204653	0.5238290767957294	0.6761062986146298	0.5835453387379648	0.41994523479990997
S13-2	0.2337515577698216	0.38308106923179397	0.3875138628519942	0.354370170484275	0.2386537122754746	0.2168402298250811	0.2782610017266061	0.3567718253623534	0.3152480975482447	0.307823542969167	0.3927305165531462	0.44722460315223406	0.0	0.3687241202763863	0.2983309155102068	0.31692794368830485	0.2950496257476307	0.31329092575150913	0.46659966809610154	0.3795338298962436	0.1604768790200529	0.3384132563377721	0.3254952495752319	0.360912259030567	0.30825861599436893	0.3567501824069432	0.4911807506121666	0.3584166825936578	0.2701938008775216	0.5056008834444716	0.4036605499212783	0.40373302748483814
S13-6	0.33763891672132745	0.4004481390386758	0.4220407470999072	0.4259931471623511	0.48661533775855575	0.2816663598507094	0.41609769685212	0.5458579659097411	0.37719931619041824	0.4576701216930429	0.4263169821854688	0.5854757058517966	0.3687241202763863	0.0	0.40245894238832913	0.5159422073257913	0.3311907447564241	0.28329781577902613	0.45414374295707455	0.42498617249135107	0.3376843603475222	0.2343239072666772	0.41860618694618335	0.5264751177389368	0.4547718138818816	0.5042310645715411	0.5638984803957734	0.5304733480003598	0.5306045201082428	0.5348188225211261	0.5285223955867207	0.5902215168895988
S13-7	0.28634598478623796	0.3526548095681957	0.3249023468596537	0.4516802520085347	0.39051496544128617	0.33109800837494685	0.19046305723705806	0.43132158615510957	0.22968880554049492	0.41063909108503055	0.30972120373664885	0.5415465757689137	0.2983309155102068	0.40245894238832913	0.0	0.39083042529801354	0.304724936295569	0.40643688497343083	0.37583304951433055	0.48991567879601405	0.3266359160402464	0.4066402647444668	0.3063352662533382	0.440860007177177	0.21597787034127658	0.3522643363636722	0.4017587793532688	0.44335966618608386	0.39713410595900084	0.49827814304698603	0.2775695165670928	0.4734915709270836
S13-9	0.46557627691732917	0.49739995279865046	0.3736010034864624	0.4735388836671853	0.2547577189415914	0.3996562197550039	0.29757500483446314	0.08198057339697559	0.47176345237499656	0.4174304426649181	0.3735950676802055	0.47904219712493756	0.31692794368830485	0.5159422073257913	0.39083042529801354	0.0	0.4901787297609091	0.4658612455303094	0.41578420345899414	0.4875167545482182	0.3376375121325746	0.5080496125985033	0.3082484341137973	0.11021646899623935	0.45372995634433816	0.40995400447983255	0.3800835997691028	0.4049797498051515	0.2798941008566172	0.4056075785720228	0.31752543292499485	0.17144401446755472
S17-11	0.23238102366684707	0.37855289171268824	0.388885532984999	0.4195861853615381	0.4183313848990797	0.3041331947112487	0.35057024055023334	0.5213862781174945	0.21995397756380225	0.3941236101892385	0.3677170555458279	0.5600827208102127	0.2950496257476307	0.3311907447564241	0.304724936295569	0.4901787297609091	0.0	0.3726587405621207	0.3997230633825548	0.39650353694424256	0.2569385964770879	0.2276890782658787	0.37716462659029615	0.5209929813432832	0.3320321155758531	0.42781720867859874	0.5363799213467992	0.49707254216839736	0.459191584757438	0.547032762992268	0.4942832520802556	0.5656847851702879
S17-12	0.252243634315885	0.35397812981543836	0.5831742688759427	0.36357287732992416	0.49328482558021625	0.25811131683073285	0.3491408543956749	0.4908215043108961	0.40853105651410615	0.2698855307907821	0.5700159164943881	0.4456323645543169	0.31329092575150913	0.28329781577902613	0.40643688497343083	0.4658612455303094	0.3726587405621207	0.0	0.6161765879098168	0.3529171782974612	0.39983776305482344	0.38013355224289924	0.357975195316064	0.46333424622851566	0.404355563127297	0.49365335196272353	0.6507469860444332	0.42669786812118343	0.5088049835973861	0.6267063637793455	0.5736445426447474	0.5363209326270486
S17-14	0.5010309296274749	0.5951569783555186	0.1501493796179956	0.5448577634759764	0.4680832168664189	0.4880361147961212	0.38835624285975806	0.43387855313457524	0.39313572901849947	0.6245920339751111	0.1790786109200357	0.6661484987224318	0.46659966809610154	0.45414374295707455	0.37583304951433055	0.41578420345899414	0.3997230633825548	0.6161765879098168	0.0	0.5205864831746403	0.3861713507595192	0.4217475860695554	0.3797779790266041	0.43906632397973855	0.4879073836707376	0.5314681618442206	0.22487151597141658	0.5860096270555474	0.49811899678381555	0.3539182287088517	0.4205724214641269	0.4854274538084316
S17-1	0.3700205602478167	0.5962515865438692	0.5188904216257508	0.09816071856238394	0.5141446676714049	0.3363537880187783	0.39530182639784234	0.47436196493828137	0.45675821309428416	0.3906589295236725	0.4820549658122633	0.26223840568571516	0.3795338298962436	0.42498617249135107	0.48991567879601405	0.4875167545482182	0.39650353694424256	0.3529171782974612	0.5205864831746403	0.0	0.34448774621084155	0.3595125145320565	0.29634615463859043	0.425341861963539	0.519208350885897	0.5696070177047202	0.6618586595640142	0.2626880776745249	0.5412373145314306	0.626745069894485	0.6067292428080888	0.4219923462542171
S17-2	0.3020453250117652	0.43994971863079874	0.3379534087940078	0.356703110128526	0.24363092805220202	0.2964401340807426	0.3352648644539424	0.3672820057848591	0.3059924269524244	0.4033285803718731	0.334624949455074	0.5111442141754878	0.1604768790200529	0.3376843603475222	0.3266359160402464	0.3376375121325746	0.2569385964770879	0.39983776305482344	0.3861713507595192	0.34448774621084155	0.0	0.2937535685613364	0.3387516370234325	0.3583659859845121	0.364168549579152	0.38697433709362516	0.4812251654369253	0.4167059694997242	0.29418805412523963	0.46500762114863425	0.39605769615850706	0.4153753517458128
S17-6	0.32596993161196886	0.4428401283842533	0.41135148021944395	0.39966801573753574	0.44488987051874546	0.2214463127826712	0.4041758485549753	0.518217234516366	0.3851616939058929	0.48155271604726985	0.39730085823949207	0.574943719241051	0.3384132563377721	0.2343239072666772	0.4066402647444668	0.5080496125985033	0.2276890782658787	0.38013355224289924	0.4217475860695554	0.3595125145320565	0.2937535685613364	0.0	0.3940805172354243	0.5019513406254642	0.4617484007452619	0.5231768230377433	0.5674420607238648	0.5255483867682529	0.487960381528936	0.5063693755839695	0.5082755500787919	0.5644489258403276
S17-7	0.3385505912782864	0.47902587575126004	0.34579507915890456	0.2933439544278904	0.37831414016337883	0.2894932625080774	0.14570939490197493	0.27833686203785823	0.41106527919791264	0.34236041970938597	0.3503137688654095	0.40975771854404064	0.3254952495752319	0.41860618694618335	0.3063352662533382	0.3082484341137973	0.37716462659029615	0.357975195316064	0.3797779790266041	0.29634615463859043	0.3387516370234325	0.3940805172354243	0.0	0.2479878298885312	0.40580984423935657	0.4191539766471091	0.41816750633349475	0.35008071613795444	0.40269675190862664	0.39470920594289355	0.3448406915303882	0.2926960873862634
S17-9	0.4879641823032302	0.5468964709948949	0.40427449836446544	0.42171904305291785	0.30351801722013844	0.4027795122622512	0.31709797540718265	0.07331202421315691	0.5304073989236366	0.3999314662289823	0.4214234084985299	0.444040578647548	0.360912259030567	0.5264751177389368	0.440860007177177	0.11021646899623935	0.5209929813432832	0.46333424622851566	0.43906632397973855	0.425341861963539	0.3583659859845121	0.5019513406254642	0.2479878298885312	0.0	0.5086721003250807	0.46873189371717355	0.4224555146682556	0.38748638670283064	0.3316846582341684	0.3906456594666227	0.38413092298176343	0.13503343644143667
S9-11	0.23983389368683397	0.2981919619900249	0.43172740968134476	0.4797354687455705	0.45658848493763143	0.3623552700536423	0.3182294870759478	0.498880365263485	0.15213573657718027	0.3091413365438639	0.4261405607163853	0.5210985197119266	0.30825861599436893	0.4547718138818816	0.21597787034127658	0.45372995634433816	0.3320321155758531	0.404355563127297	0.4879073836707376	0.519208350885897	0.364168549579152	0.4617484007452619	0.40580984423935657	0.5086721003250807	0.0	0.3778662368591844	0.5026556253357926	0.43351807080480376	0.4368385316380331	0.6050220685811235	0.4103083699102934	0.5377678422677669
S9-12	0.44551430392213126	0.3234445886653465	0.4636931933437572	0.5359140182469365	0.3152226289847492	0.4421755555876779	0.35767034510130596	0.4245490019603084	0.4003507021896711	0.41023015579489214	0.44306844053014766	0.5753113640919053	0.3567501824069432	0.5042310645715411	0.3522643363636722	0.40995400447983255	0.42781720867859874	0.49365335196272353	0.5314681618442206	0.5696070177047202	0.38697433709362516	0.5231768230377433	0.4191539766471091	0.46873189371717355	0.3778662368591844	0.0	0.4786844660363027	0.4872751200549696	0.3034144941581062	0.5557286275422127	0.2794715740640185	0.44093619277166457
