	S11-11	S11-12	S11-14	S11-1	S11-2	S11-6	S11-7	S11-9	S13-11	S13-12	S13-14	S13-1	S13-2	S13-6	S13-7	S13-9	S17-11	S17-12	S17-14	S17-1	S17-2	S17-6	S17-7	S17-9	S9-11	S9-12	S9-14	S9-1	S9-2	S9-6	S9-7	S9-9
S11-11	0.0	0.4224734990269965	0.6241684178592	0.5678141617884691	0.4972452544476598	0.515776262799749	0.5105325027001175	0.6251333058775328	0.35095571466815856	0.4084632157608011	0.6411638701821135	0.6196739317738047	0.42374201305109827	0.5470102833931954	0.4279137841303619	0.5895260352009947	0.3622269708823124	0.4094945447803964	0.6894758161000405	0.6162239967082559	0.4853540252217265	0.560468363648899	0.5437043453303826	0.6301319839725077	0.3958330695208283	0.5284460150404743	0.6813734829460961	0.55990157963813	0.5248111339714115	0.7131982555507669	0.6036700374697307	0.6246922748691532
S11-12	0.4224734990269965	0.0	0.614610789677605	0.6749930898248687	0.5046134395876554	0.5327107671215046	0.5853250381211758	0.6263133618999539	0.4725115969777203	0.35867729881486865	0.6326620950205798	0.6728843857848034	0.5192043308648823	0.5310138990892641	0.5110552277100493	0.584785473110924	0.5069997606329955	0.4435442434273406	0.6619801445776228	0.6956266442169062	0.553741999521098	0.6032935344625772	0.6314333279972333	0.6506701303627325	0.45878330371688275	0.3816814132519469	0.6399176551584355	0.6050771894964666	0.48263095516998816	0.7333891419343938	0.5628168526935202	0.633714523040576
S11-14	0.6241684178592	0.614610789677605	0.0	0.6959904522238186	0.5226206429297923	0.6290616979521723	0.524487473965262	0.5878242581686609	0.5417496532932434	0.6581257835043899	0.18105856044011265	0.7198110156764093	0.5668363777698912	0.6544402714343651	0.479999210119985	0.5545092815356764	0.5806414570321877	0.69354894917743	0.2590621739221813	0.7284495098405407	0.5517693934836185	0.6564199894719798	0.58216789306119	0.606923947531555	0.6085441395623387	0.5628560436942648	0.24844568272046796	0.642396473205533	0.5460897143757045	0.6881644670751249	0.4659985588539726	0.6113255516151854
S11-1	0.5678141617884691	0.6749930898248687	0.6959904522238186	0.0	0.5894535311996171	0.5653441667415392	0.5797918010160442	0.5953289783112505	0.6141887136695856	0.6077874635479618	0.6840227839964329	0.2410888535806882	0.5386277042339264	0.592897525265053	0.590066528211264	0.5857770371297637	0.5713987458565761	0.5381340322245466	0.6939347971847611	0.1876099265645886	0.5019228525365342	0.570767205844577	0.557736687596997	0.5594530406296078	0.7277266498268063	0.7166770806168645	0.7746853757190222	0.3017184597326507	0.629544685961349	0.738693418035175	0.6495465513413845	0.6058506045111615
S11-2	0.4972452544476598	0.5046134395876554	0.5226206429297923	0.5894535311996171	0.0	0.5132349577514642	0.5129048617451923	0.43817361432529867	0.5253466719815868	0.5242555149608548	0.5506936014631785	0.6206363527920907	0.30694042983186814	0.5950402683057651	0.5005269055100112	0.4102708067951453	0.5258997709920956	0.5563126985699413	0.604126053478395	0.6450284982555414	0.31288640594484174	0.5527609595024582	0.5390004932410094	0.4919437213469307	0.5822804840633292	0.49050748031964214	0.5784994129914889	0.5217626039134895	0.2031156108591966	0.6573860664903353	0.4759845950437073	0.4736596159995327
S11-6	0.515776262799749	0.5327107671215046	0.6290616979521723	0.5653441667415392	0.5132349577514642	0.0	0.4821416891606921	0.5358392981809467	0.6118738316256028	0.5830314700775979	0.671876211765648	0.6762584688489109	0.5810530440400078	0.3897304854048792	0.5590878506226692	0.5715083338586583	0.5758385999409334	0.524630317967976	0.6852246190192678	0.6004539904086258	0.5386624652345868	0.26709003907471074	0.4823363001643897	0.5406205322717901	0.7046745013888155	0.6530994574088896	0.7281496748348438	0.6590728615223844	0.611839581624952	0.5586615626145697	0.6028957954550201	0.55499368054488
S11-7	0.5105325027001175	0.5853250381211758	0.524487473965262	0.5797918010160442	0.5129048617451923	0.4821416891606921	0.0	0.5201478878828099	0.5589016136191307	0.5757992529401859	0.5571509495858681	0.6431217982193141	0.577857207979287	0.5983544953687354	0.2846087124075655	0.5440013113360249	0.580139688022654	0.5606633926526045	0.5698542718272311	0.6632578146018985	0.5609890176587914	0.5497227604447325	0.23862932353395716	0.541596896290341	0.6137759506617431	0.5969804533426286	0.5362925771895589	0.5938934342839752	0.5726015508794294	0.5937539802813256	0.3216259411108929	0.5188589698583205
S11-9	0.6251333058775328	0.6263133618999539	0.5878242581686609	0.5953289783112505	0.43817361432529867	0.5358392981809467	0.5201478878828099	0.0	0.6359721370834706	0.6382832851273824	0.6110534246100151	0.6378594151193289	0.5428200143135803	0.6419616751972719	0.5779428239809137	0.21144754401750335	0.6322006020118114	0.6341123210481341	0.6167226707177308	0.6135201666568831	0.48711239125513545	0.5888638571884133	0.5497178694446395	0.18807709257346475	0.7022957913436201	0.6208698517965272	0.5979715893614602	0.5849779771145815	0.5199369968788029	0.6586303065139758	0.517196000826724	0.13477180256066426
S13-11	0.35095571466815856	0.4725115969777203	0.5417496532932434	0.6141887136695856	0.5253466719815868	0.6118738316256028	0.5589016136191307	0.6359721370834706	0.0	0.43476886526060843	0.5624632736868022	0.6522965303936341	0.4103587927968171	0.5985704303728382	0.44634238048050523	0.5786972369952476	0.2799580433192028	0.5390828312425738	0.5777887009779853	0.6477128103065434	0.4478921415099507	0.6301751689733283	0.6089033205691631	0.649791680346042	0.32190529811620067	0.5360947621858004	0.6135940456582869	0.5734350258952655	0.5135232657569421	0.75314000330966	0.560248789644727	0.6576233244948432
S13-12	0.4084632157608011	0.35867729881486865	0.6581257835043899	0.6077874635479618	0.5242555149608548	0.5830314700775979	0.5757992529401859	0.6382832851273824	0.43476886526060843	0.0	0.66296526659634	0.5994233773890442	0.49309216436875114	0.5733311438932918	0.5259848909937129	0.6009461274179764	0.5153393657914479	0.34281372751346084	0.718118999644261	0.6466849532870141	0.5365314541940976	0.6297658619655514	0.6130351716476683	0.6405901641712132	0.4069175677314338	0.4916570373414837	0.6833360309833846	0.5173075998288444	0.4900914073117367	0.7559749973635249	0.6060891925156947	0.6271024029149457
