	S11-11	S11-12	S11-14	S11-1	S11-2	S11-6	S11-7	S11-9	S13-11	S13-12	S13-14	S13-1	S13-2	S13-6	S13-7	S13-9	S17-11	S17-12	S17-14	S17-1	S17-2	S17-6	S17-7	S17-9	S9-11	S9-12	S9-14	S9-1	S9-2	S9-6	S9-7	S9-9
S11-11	0.0	0.7706764311458432	1.3726611016646817	0.8465929413426904	1.3118790537176097	0.4827103620911603	0.8979479031253439	1.5495291918079133	0.621358013072552	0.7966836445921585	1.3848118272668608	1.255854982737521	0.664079206956792	0.7274721610919515	0.8759750816155502	1.4433479064337416	0.6594890117773426	0.6355073407212155	1.5637716807517457	0.870136285986639	0.7876339114369661	0.8299745436450415	0.9465434683481931	1.4811458036640133	0.6021201637770229	1.2800937810904724	1.8893970714350727	1.1518640969289946	1.3731816007377993	1.84007282492517	1.5755438024907218	1.5854475414009204
S11-12	0.7706764311458432	0.0	1.5405179360322812	1.3576559700087196	1.0228965243775991	0.7693074338044641	1.0763410481768731	1.3968506093798163	0.8445915506710299	0.7665760248758985	1.5566808995983057	1.3934276257269749	0.8271940626729911	0.896464958364572	1.0140729098713286	1.3419743048082136	0.9782399071036206	0.8793233065204923	1.73723374746621	1.395986241623774	0.9482432185999379	1.1473544740112982	1.1160002774822118	1.4292949564611868	0.7364945519767985	0.8659336880664149	1.729451686404717	1.0740762808546136	1.018467445791158	1.7262870532033543	1.2193125701091927	1.314535989480515
S11-14	1.3726611016646817	1.5405179360322812	0.0	1.5186710457217407	0.9390081249384523	1.3027253058995798	0.9287649016876607	1.0744218556944998	1.00339959601031	1.7082286347824807	0.30247960154068865	1.9061419240658357	1.0530413066611042	1.1949346096693005	0.8283041108791336	0.9659904334804769	1.139669509753338	1.6986871529778274	0.37557246908693454	1.5397039039555587	0.8811526995229975	1.2100226359943616	0.9511553552784617	1.0917519473050246	1.2294386585371062	1.0464152286255344	0.6895071356167635	1.6356763938767183	0.9901393762443818	0.9733249643675977	0.8575483749764763	1.2329949043956674
S11-1	0.8465929413426904	1.3576559700087196	1.5186710457217407	0.0	1.4828794931754021	0.8548683031682955	1.1133671958271498	1.513829034997724	1.1338590949896166	0.7435206025751793	1.5265827995296193	0.5233058087480961	0.9467851163029881	0.9187539033186248	1.3686018536270235	1.4634741563067237	1.103969319367278	0.7060018633175595	1.6868409865467164	0.24015875582093688	0.9446482793079207	1.0664772069955968	0.877279521167509	1.3785085557463506	1.2555077242813075	1.534290151101175	2.0182596997700504	0.5042659202337113	1.516716657883699	1.911697760002184	1.7207446830525204	1.3648750421435654
S11-2	1.3118790537176097	1.0228965243775991	0.9390081249384523	1.4828794931754021	0.0	1.1103192013508782	0.9557249010389516	0.635519046667673	1.2431758703496967	1.1981140589349806	1.061529638122476	1.5180338182276787	0.7296937067770474	1.2669983805822411	1.0928855200812402	0.5719802140576521	1.2679195080083687	1.4013283870170967	1.0931296255543839	1.4943149350313547	0.7147090852614721	1.2881658461875278	0.8822402961744873	0.6927123761273781	1.2309013923120864	0.6426393103994081	1.0449917252144483	1.2046148752040298	0.22594214134364016	1.038586376161586	0.5913507993098294	0.6962521912656799
S11-6	0.4827103620911603	0.7693074338044641	1.3027253058995798	0.8548683031682955	1.1103192013508782	0.0	0.6924862665157567	1.2982486909991264	0.7150146873497181	0.7893674805382349	1.3343587149366911	1.2550951673051787	0.551067943193387	0.5031032827031615	0.8705076433432439	1.227296377790713	0.6593888705913101	0.6082881886361351	1.4785862828507461	0.8558729347570005	0.6538022797134816	0.5715858702589154	0.7012552758714433	1.2099027843626988	0.7527826743768069	1.1486980604879744	1.742394910499835	1.0488265896369011	1.230620160639397	1.5627100920872727	1.3658618720362503	1.317323995468104
S11-7	0.8979479031253439	1.0763410481768731	0.9287649016876607	1.1133671958271498	0.9557249010389516	0.6924862665157567	0.0	0.9341438455760764	0.7818939028994837	1.0728033719593284	0.9307791911294478	1.3977339993396436	0.5548959090623623	0.9740266392634828	0.4548548438681174	0.8358568910924045	0.9042271050400522	1.036658151832208	1.0644218368902938	1.205309940766461	0.6866597199723239	1.0096998836341184	0.39174299795560297	0.9392133868684384	0.739360045015594	0.8142789202587187	1.2675181021856619	1.1254748343736216	0.9965705338179772	1.233782133922634	0.7858707444585692	1.066366267712304
S11-9	1.5495291918079133	1.3968506093798163	1.0744218556944998	1.513829034997724	0.635519046667673	1.2982486909991264	0.9341438455760764	0.0	1.423221026974519	1.3302893863524676	1.2331527876964266	1.4772694825374535	1.060355180739985	1.5371707716614753	1.2554840539267933	0.2166546300897698	1.5323016695019833	1.5409894424122732	1.1051324130934712	1.5439584395511865	1.058582157437427	1.555837272627468	0.8542691685363133	0.21286510911323486	1.3824411782337032	0.999984364031689	0.9193929885321729	1.2422399832235642	0.7079276388753395	0.8564148194902415	0.8151609707081885	0.34793990116541545
S13-11	0.621358013072552	0.8445915506710299	1.00339959601031	1.1338590949896166	1.2431758703496967	0.7150146873497181	0.7818939028994837	1.423221026974519	0.0	0.9919395481709593	0.9616208318651575	1.528162005931726	0.7465696220726794	0.7948765918477332	0.580710330470194	1.2831429404387562	0.5177383185878228	1.081121436917683	1.1321755665578224	1.1579199569230236	0.7252518030444237	0.803791599969746	0.9942202882409017	1.4415956395217884	0.38185145162485273	1.0042307725649935	1.5491583703196663	1.2271468868011695	1.2390471134413807	1.5993793347368677	1.2505289800620563	1.5809718804289064
S13-12	0.7966836445921585	0.7665760248758985	1.7082286347824807	0.7435206025751793	1.1981140589349806	0.7893674805382349	1.0728033719593284	1.3302893863524676	0.9919395481709593	0.0	1.7076783545616137	0.7702349952322927	0.8045570346308083	1.034847798473446	1.2741137520131842	1.2965519482783823	1.0744306727716213	0.5572818164533604	1.8951590046448918	0.7944805363335206	1.070638663329302	1.2436605980146935	0.9939543622406443	1.2759380229326043	0.9261358640039767	1.1502353964365652	1.8953237507939125	0.5936973630135096	1.217382212332028	1.8263351108829482	1.4648414487713899	1.2389470887906775
