sample_id,depth,BrayCurtis_similarity,way
s11_1,0.1,0.753792907,2b
s11_11,0.1,0.629159503,2b
s11_12,0.1,0.789895293,2b
s11_14,0.1,0.560125154,2b
s11_2,0.1,0.615860289,2b
s11_6,0.1,0.742254638,2b
s11_7,0.1,0.739585857,2b
s11_9,0.1,0.797866809,2b
s13_1,0.1,0.774076104,2b
s13_11,0.1,0.476088712,2b
s13_12,0.1,0.721620903,2b
s13_14,0.1,0.580350808,2b
s13_2,0.1,0.514773784,2b
s13_6,0.1,0.703807887,2b
s13_7,0.1,0.655973859,2b
s13_9,0.1,0.75908716,2b
s17_1,0.1,0.765898274,2b
s17_11,0.1,0.486555497,2b
s17_12,0.1,0.790800766,2b
s17_14,0.1,0.543076538,2b
s17_2,0.1,0.520374084,2b
s17_6,0.1,0.655429732,2b
s17_7,0.1,0.747280778,2b
s17_9,0.1,0.779642691,2b
s9_1,0.1,0.72838094,2b
s9_11,0.1,0.62180685,2b
s9_12,0.1,0.634613668,2b
s9_14,0.1,0.758949599,2b
s9_2,0.1,0.611243893,2b
s9_6,0.1,0.812116428,2b
s9_7,0.1,0.711627684,2b
s9_9,0.1,0.825855246,2b
s11_1,1,0.916525401,2b
s11_11,1,0.877438857,2b
s11_12,1,0.939559398,2b
s11_14,1,0.815739054,2b
s11_2,1,0.867080322,2b
s11_6,1,0.911946441,2b
s11_7,1,0.925082083,2b
s11_9,1,0.930119548,2b
s13_1,1,0.914185772,2b
s13_11,1,0.808161343,2b
s13_12,1,0.90570878,2b
s13_14,1,0.832279565,2b
s13_2,1,0.81443044,2b
s13_6,1,0.895307706,2b
s13_7,1,0.888294842,2b
s13_9,1,0.918419469,2b
s17_1,1,0.92726268,2b
s17_11,1,0.819922397,2b
s17_12,1,0.930242959,2b
s17_14,1,0.816316565,2b
s17_2,1,0.825715174,2b
s17_6,1,0.887291224,2b
s17_7,1,0.912530353,2b
s17_9,1,0.923097956,2b
s9_1,1,0.892585617,2b
s9_11,1,0.885853516,2b
s9_12,1,0.888614473,2b
s9_14,1,0.908052599,2b
s9_2,1,0.88805736,2b
s9_6,1,0.944743181,2b
s9_7,1,0.908612456,2b
s9_9,1,0.93459321,2b
s11_1,2,0.941913341,2b
s11_11,2,0.921526715,2b
s11_12,2,0.95796445,2b
s11_14,2,0.880375462,2b
s11_2,2,0.92364994,2b
s11_6,2,0.943511729,2b
s11_7,2,0.952679166,2b
s11_9,2,0.956879065,2b
s13_1,2,0.940235166,2b
s13_11,2,0.869484029,2b
s13_12,2,0.936642688,2b
s13_14,2,0.879984797,2b
s13_2,2,0.866233288,2b
s13_6,2,0.924144865,2b
s13_7,2,0.927221961,2b
s13_9,2,0.9436022,2b
s17_1,2,0.951050934,2b
s17_11,2,0.892957991,2b
s17_12,2,0.949617125,2b
s17_14,2,0.871025329,2b
s17_2,2,0.906898974,2b
s17_6,2,0.9224194,2b
s17_7,2,0.946739728,2b
s17_9,2,0.952305272,2b
