sample_id,depth,BrayCurtis_similarity,way
s11_1,0.1,0.753792907,2bRAD-M
s11_11,0.1,0.629159503,2bRAD-M
s11_12,0.1,0.789895293,2bRAD-M
s11_14,0.1,0.560125154,2bRAD-M
s11_2,0.1,0.615860289,2bRAD-M
s11_6,0.1,0.742254638,2bRAD-M
s11_7,0.1,0.739585857,2bRAD-M
s11_9,0.1,0.797866809,2bRAD-M
s13_1,0.1,0.774076104,2bRAD-M
s13_11,0.1,0.476088712,2bRAD-M
s13_12,0.1,0.721620903,2bRAD-M
s13_14,0.1,0.580350808,2bRAD-M
s13_2,0.1,0.514773784,2bRAD-M
s13_6,0.1,0.703807887,2bRAD-M
s13_7,0.1,0.655973859,2bRAD-M
s13_9,0.1,0.75908716,2bRAD-M
s17_1,0.1,0.765898274,2bRAD-M
s17_11,0.1,0.486555497,2bRAD-M
s17_12,0.1,0.790800766,2bRAD-M
s17_14,0.1,0.543076538,2bRAD-M
s17_2,0.1,0.520374084,2bRAD-M
s17_6,0.1,0.655429732,2bRAD-M
s17_7,0.1,0.747280778,2bRAD-M
s17_9,0.1,0.779642691,2bRAD-M
s9_1,0.1,0.72838094,2bRAD-M
s9_11,0.1,0.62180685,2bRAD-M
s9_12,0.1,0.634613668,2bRAD-M
s9_14,0.1,0.758949599,2bRAD-M
s9_2,0.1,0.611243893,2bRAD-M
s9_6,0.1,0.812116428,2bRAD-M
s9_7,0.1,0.711627684,2bRAD-M
s9_9,0.1,0.825855246,2bRAD-M
s11_1,1,0.916525401,2bRAD-M
s11_11,1,0.877438857,2bRAD-M
s11_12,1,0.939559398,2bRAD-M
s11_14,1,0.815739054,2bRAD-M
s11_2,1,0.867080322,2bRAD-M
s11_6,1,0.911946441,2bRAD-M
s11_7,1,0.925082083,2bRAD-M
s11_9,1,0.930119548,2bRAD-M
s13_1,1,0.914185772,2bRAD-M
s13_11,1,0.808161343,2bRAD-M
s13_12,1,0.90570878,2bRAD-M
s13_14,1,0.832279565,2bRAD-M
s13_2,1,0.81443044,2bRAD-M
s13_6,1,0.895307706,2bRAD-M
s13_7,1,0.888294842,2bRAD-M
s13_9,1,0.918419469,2bRAD-M
s17_1,1,0.92726268,2bRAD-M
s17_11,1,0.819922397,2bRAD-M
s17_12,1,0.930242959,2bRAD-M
s17_14,1,0.816316565,2bRAD-M
s17_2,1,0.825715174,2bRAD-M
s17_6,1,0.887291224,2bRAD-M
s17_7,1,0.912530353,2bRAD-M
s17_9,1,0.923097956,2bRAD-M
s9_1,1,0.892585617,2bRAD-M
s9_11,1,0.885853516,2bRAD-M
s9_12,1,0.888614473,2bRAD-M
s9_14,1,0.908052599,2bRAD-M
s9_2,1,0.88805736,2bRAD-M
