sample_id,shannon_entropy,depth,way
s11_1,5.049010391,0.1,2bRAD-M
s11_11,5.094981613,0.1,2bRAD-M
s11_12,5.670925663,0.1,2bRAD-M
s11_14,5.144793281,0.1,2bRAD-M
s11_2,4.813040368,0.1,2bRAD-M
s11_6,5.667960777,0.1,2bRAD-M
s11_7,6.161321939,0.1,2bRAD-M
s11_9,5.674179568,0.1,2bRAD-M
s13_1,4.132244908,0.1,2bRAD-M
s13_11,4.566803234,0.1,2bRAD-M
s13_12,4.906822086,0.1,2bRAD-M
s13_14,5.219360305,0.1,2bRAD-M
s13_2,4.273410227,0.1,2bRAD-M
s13_6,5.336347231,0.1,2bRAD-M
s13_7,5.715394213,0.1,2bRAD-M
s13_9,5.812894223,0.1,2bRAD-M
s17_1,5.269532838,0.1,2bRAD-M
s17_11,4.719185235,0.1,2bRAD-M
s17_12,5.327580636,0.1,2bRAD-M
s17_14,5.394221276,0.1,2bRAD-M
s17_2,4.841961757,0.1,2bRAD-M
s17_6,5.516424759,0.1,2bRAD-M
s17_7,5.841206532,0.1,2bRAD-M
s17_9,5.640451266,0.1,2bRAD-M
s9_1,4.482239968,0.1,2bRAD-M
s9_11,4.428438302,0.1,2bRAD-M
s9_12,5.058475255,0.1,2bRAD-M
s9_14,5.725999593,0.1,2bRAD-M
s9_2,4.601505862,0.1,2bRAD-M
s9_6,5.417797573,0.1,2bRAD-M
s9_7,6.040472856,0.1,2bRAD-M
s9_9,5.582073237,0.1,2bRAD-M
s11_1,5.940629162,1,2bRAD-M
s11_11,6.28525445,1,2bRAD-M
s11_12,6.440453795,1,2bRAD-M
s11_14,6.516967484,1,2bRAD-M
s11_2,6.077807166,1,2bRAD-M
s11_6,6.650340941,1,2bRAD-M
s11_7,7.056076618,1,2bRAD-M
s11_9,6.425082598,1,2bRAD-M
s13_1,5.056120787,1,2bRAD-M
s13_11,6.137930585,1,2bRAD-M
s13_12,5.879186594,1,2bRAD-M
s13_14,6.510981116,1,2bRAD-M
s13_2,5.785478461,1,2bRAD-M
s13_6,6.418304026,1,2bRAD-M
