	S11-11	S11-12	S11-14	S11-1	S11-2	S11-6	S11-7	S11-9	S13-11	S13-12	S13-14	S13-1	S13-2	S13-6	S13-7	S13-9	S17-11	S17-12	S17-14	S17-1	S17-2	S17-6	S17-7	S17-9	S9-11	S9-12	S9-14	S9-1	S9-2	S9-6	S9-7	S9-9
S11-11	0.0	0.302718381631029	0.5550417330250398	0.37601082560649535	0.4341392604835563	0.2960372776223666	0.33631310178786106	0.5008776005265603	0.33450180070108043	0.30728038436823063	0.5602431361458817	0.4457416674450005	0.28137566882540127	0.41934555160733095	0.38013442808065684	0.5121514072908444	0.31755599053359435	0.20341102204661324	0.6134501680701009	0.3988417393050436	0.3787670272602164	0.42071135242681146	0.3475551085330651	0.4896450937870563	0.3247605948563569	0.48365239019143413	0.6176466705880024	0.40685384411230646	0.46309717785830673	0.6724559034735421	0.5544676326805796	0.4956966974180185
S11-12	0.302718381631029	0.0	0.6102515661509397	0.5670242402145441	0.4296308577785147	0.4017267410360446	0.4686650811990487	0.5226922136153281	0.34098160458896276	0.33909500345700205	0.586002251601351	0.5602331361398817	0.4072481443488866	0.4271230562738338	0.394428936657362	0.5005249003149402	0.4219365531619319	0.34595490757294456	0.6729968037980822	0.5962453577472147	0.4574745744847447	0.46360467816280687	0.4982823989694394	0.5547415328449197	0.3204425922655554	0.35578241346944806	0.6050705630423379	0.45829347497608497	0.4196749518049711	0.6664304998582999	0.46814718088830853	0.5432725259635156
S11-14	0.5550417330250398	0.6102515661509397	0.0	0.5911786547071928	0.4291246574747945	0.47100658260394956	0.42856785714071427	0.4509531705719023	0.42918505751103453	0.6628046976828186	0.12103097261858357	0.6929290157574095	0.4549536729722038	0.4557387734432641	0.3729845237907143	0.4347337608402565	0.4830070898042539	0.6310990786594471	0.2488881493328896	0.600049560029736	0.40100214060128436	0.45847677508606505	0.44534056720434034	0.4988832993299796	0.5031167018700211	0.5338957203374322	0.22160783296469977	0.6081229648737789	0.43181945909167546	0.49261549556929735	0.38436303061781835	0.4924591954755173
S11-1	0.37601082560649535	0.5670242402145441	0.5911786547071928	0.0	0.5424284254570553	0.4030376418225851	0.3525260115156069	0.4930465958279575	0.4930692958415775	0.35097821058692635	0.5646825388095232	0.1714050028430017	0.4015853409512046	0.5154734092840456	0.47600328560197136	0.5142582085549251	0.4686268811761287	0.32852069711241827	0.6280979768587861	0.09654185792511476	0.43149355889613533	0.48924239354543614	0.32875889725533836	0.46864348118608873	0.4973906984344191	0.5259539155723494	0.6649788989873394	0.25561535336921204	0.5485390291234175	0.7004182202509321	0.588928153356892	0.43630066178039706
S11-2	0.4341392604835563	0.4296308577785147	0.4291246574747945	0.5424284254570553	0.0	0.4106046463627878	0.39937423962454377	0.35785061471036883	0.4357624614574769	0.4994834996900998	0.4044248426549056	0.5703712422227454	0.23155583893350337	0.49628819777291866	0.3514406108643665	0.35311891187134714	0.4400067640040584	0.5079024047414429	0.5181884109130466	0.5513101307860785	0.20037692022615214	0.4734018840411304	0.4201098520659112	0.38382203029321815	0.46606947964168777	0.3174741904845143	0.43627226176335704	0.46239267743560647	0.12865757719454632	0.5258712155227293	0.2920974752584852	0.4068587441152465
S11-6	0.2960372776223666	0.4017267410360446	0.47100658260394956	0.4030376418225851	0.4106046463627878	0.0	0.3461254076752446	0.4678473807084284	0.41353804812282885	0.4605000763000458	0.4818562891137735	0.5593792356275413	0.34159760495856295	0.2710886626531976	0.3811337286802372	0.46406847844108706	0.3866090319654192	0.34003540402124244	0.5248733149239889	0.39374203624522175	0.35633051379830827	0.2160977296586378	0.3654249192549516	0.47503528502117104	0.4444696666818	0.4716638829983298	0.5593695356217214	0.522209113325468	0.4643325785995472	0.5586074351644611	0.4783691870215122	0.49763479858087917
S11-7	0.33631310178786106	0.4686650811990487	0.42856785714071427	0.3525260115156069	0.39937423962454377	0.3461254076752446	0.0	0.3234649940789964	0.4147543488526093	0.37930022758013654	0.4008073404844043	0.4521921713153028	0.3563663138197883	0.44507836704702025	0.22680403608242164	0.34041290424774256	0.43788866273319765	0.3696472217883331	0.47016958210174925	0.38424763054857836	0.3403319041991425	0.4541880725128435	0.15157009094205456	0.325011495006897	0.4214198528519117	0.40654584392750637	0.433259859955916	0.3733666240199744	0.40237084142250484	0.47427668456601074	0.2938182762909658	0.3180023908014345
S11-9	0.5008776005265603	0.5226922136153281	0.4509531705719023	0.4930465958279575	0.35785061471036883	0.4678473807084284	0.3234649940789964	0.0	0.5412388247432949	0.5075099045059427	0.4265776559465936	0.46428157856894714	0.4128071476842886	0.5322172193303316	0.4145342487205492	0.07793634676180805	0.5510687306412384	0.5164373098623859	0.4908190944914567	0.49451729671037803	0.3688556213133728	0.541493224895935	0.3329648997789399	0.08886255331753198	0.5363384218030531	0.4606406763844058	0.4394459636675782	0.40464114278468566	0.36544851926911154	0.47161518296910976	0.35129651077790647	0.10671276402765842
S13-11	0.33450180070108043	0.34098160458896276	0.42918505751103453	0.4930692958415775	0.4357624614574769	0.41353804812282885	0.4147543488526093	0.5412388247432949	0.0	0.358306814984089	0.42070665242399147	0.5690479414287648	0.32823009693805816	0.42682225609335367	0.28188046912828146	0.5050265030159018	0.2827589696553818	0.4230356538213923	0.4922623953574372	0.5089462053677232	0.3630827178496307	0.4614257768554661	0.49283239569943743	0.5759344455606673	0.14672958803775282	0.4150018490011094	0.5093218055930834	0.4613372768023661	0.39821893893136334	0.6324209794525877	0.44484866690920016	0.5808628485177091
S13-12	0.30728038436823063	0.33909500345700205	0.6628046976828186	0.35097821058692635	0.4994834996900998	0.4605000763000458	0.37930022758013654	0.5075099045059427	0.358306814984089	0.0	0.6237004742202845	0.3505812103487262	0.35455011273006765	0.5567862340717404	0.4497308698385219	0.5079212047527228	0.4491797695078617	0.27048556229133736	0.6965391179234708	0.37907842744705644	0.44967046980228187	0.5801504480902688	0.35373261223956737	0.4937036962222177	0.3325611995367197	0.46534557920734754	0.6552827931696759	0.28566507139904285	0.4597788758673255	0.7045331227198737	0.5605225363135218	0.45315077189046316
S13-14	0.5602431361458817	0.586002251601351	0.12103097261858357	0.5646825388095232	0.4044248426549056	0.4818562891137735	0.4008073404844043	0.4265776559465936	0.42070665242399147	0.6237004742202845	0.0	0.6662943997766398	0.4457715674629405	0.4603656762194057	0.34160990496594296	0.40463044277826565	0.48457159074295447	0.5977661586596952	0.2774297664578599	0.58332984999791	0.3933692360215416	0.47883478730087237	0.42531365518819314	0.4708191824915095	0.4896588937953363	0.49207929524757715	0.21987063192237916	0.5712872427723457	0.3819903291941975	0.4964600978760587	0.3452741071644643	0.4713218827931297
S13-1	0.4457416674450005	0.5602331361398817	0.6929290157574095	0.1714050028430017	0.5703712422227454	0.5593792356275413	0.4521921713153028	0.46428157856894714	0.5690479414287648	0.3505812103487262	0.6662943997766398	0.0	0.46397077838246703	0.6506123903674342	0.547295828377497	0.4735663841398305	0.5741758445055067	0.40402284241370545	0.7261324356794614	0.2508971505382903	0.5296731178038707	0.6355366813220088	0.4196448517869111	0.4439996663997998	0.5391654234992541	0.5799377479626487	0.7019130211478127	0.1618851971311183	0.5226753136051882	0.7440340464204278	0.6070043642026185	0.4078252446951468
S13-2	0.28137566882540127	0.4072481443488866	0.4549536729722038	0.4015853409512046	0.23155583893350337	0.34159760495856295	0.3563663138197883	0.4128071476842886	0.32823009693805816	0.35455011273006765	0.4457715674629405	0.46397077838246703	0.0	0.46121017672610604	0.3150178890107334	0.4066401439840864	0.3622630173578104	0.3438689063213438	0.5446204267722561	0.41873275123965076	0.16602729961637977	0.45149727089836256	0.4008219404931643	0.4357822614693569	0.34348800609280367	0.36792782075669245	0.502760401656241	0.3842457305474383	0.23704264222558533	0.605619963371978	0.40232774139664484	0.45675237405142444
S13-6	0.41934555160733095	0.4271230562738338	0.4557387734432641	0.5154734092840456	0.49628819777291866	0.2710886626531976	0.44507836704702025	0.5322172193303316	0.42682225609335367	0.5567862340717404	0.4603656762194057	0.6506123903674342	0.46121017672610604	0.0	0.43572916143749685	0.513922108353265	0.41212494727496835	0.38655863193517914	0.522158313294988	0.4831665898999539	0.43659126195475717	0.22446423467854082	0.46328957797374676	0.5486770292062175	0.4975707985424791	0.5232632139579284	0.5435068261040956	0.605526963316178	0.5319954191972516	0.5628173376904027	0.5190257114154269	0.5679893407936045
S13-7	0.38013442808065684	0.394428936657362	0.3729845237907143	0.47600328560197136	0.3514406108643665	0.3811337286802372	0.22680403608242164	0.4145342487205492	0.28188046912828146	0.4497308698385219	0.34160990496594296	0.547295828377497	0.3150178890107334	0.43572916143749685	0.0	0.3813807288284373	0.37624632574779543	0.41847725108635064	0.4440901664540999	0.5095646057387635	0.3133931880359128	0.46003597602158564	0.3372680023608014	0.4446072667643601	0.28260286956172176	0.35839651503790904	0.40321364192818515	0.438780063268038	0.3256157953694772	0.5244131146478688	0.22490913494548095	0.45806157483694493
S13-9	0.5121514072908444	0.5005249003149402	0.4347337608402565	0.5142582085549251	0.35311891187134714	0.46406847844108706	0.34041290424774256	0.07793634676180805	0.5050265030159018	0.5079212047527228	0.40463044277826565	0.4735663841398305	0.4066401439840864	0.513922108353265	0.3813807288284373	0.0	0.5295289177173507	0.5238624143174486	0.4651763791058275	0.5285719171431503	0.3512966107779665	0.5477573286543972	0.3661989197193518	0.1308496785098071	0.505489103293462	0.44512946707768025	0.4112798467679081	0.4077047446228468	0.3494821096892658	0.48237128942277363	0.3206392923835754	0.15077429046457427
S17-11	0.31755599053359435	0.4219365531619319	0.4830070898042539	0.4686268811761287	0.4400067640040584	0.3866090319654192	0.43788866273319765	0.5510687306412384	0.2827589696553818	0.4491797695078617	0.48457159074295447	0.5741758445055067	0.3622630173578104	0.41212494727496835	0.37624632574779543	0.5295289177173507	0.0	0.4014422408653445	0.46293397776038664	0.4700233820140292	0.34953580972148585	0.4267903560742136	0.46245117747070646	0.572313743388246	0.3781497268898361	0.46561367936820763	0.5807663484598091	0.5151026090615655	0.4741352844811707	0.6536110921666552	0.5382148229288938	0.5840118504071102
S17-12	0.20341102204661324	0.34595490757294456	0.6310990786594471	0.32852069711241827	0.5079024047414429	0.34003540402124244	0.3696472217883331	0.5164373098623859	0.4230356538213923	0.27048556229133736	0.5977661586596952	0.40402284241370545	0.3438689063213438	0.38655863193517914	0.41847725108635064	0.5238624143174486	0.4014422408653445	0.0	0.6592554955532973	0.3288580973148584	0.42172245303347183	0.42813565688139416	0.3408138044882827	0.48099408859645315	0.4244984546990728	0.5039896023937614	0.6736567041940226	0.38033602820161694	0.5043103025861816	0.7002400201440121	0.5957434574460745	0.48345789007473405
S17-14	0.6134501680701009	0.6729968037980822	0.2488881493328896	0.6280979768587861	0.5181884109130466	0.5248733149239889	0.47016958210174925	0.4908190944914567	0.4922623953574372	0.6965391179234708	0.2774297664578599	0.7261324356794614	0.5446204267722561	0.522158313294988	0.4440901664540999	0.4651763791058275	0.46293397776038664	0.6592554955532973	0.0	0.6349733809840286	0.47875758725455236	0.5237315142389085	0.4508924705354823	0.5020180012108008	0.5881143528686117	0.6236018741611244	0.26952136171281704	0.6377945826767496	0.5300552180331308	0.42179435307661184	0.46379287827572696	0.5365784219470532
S17-1	0.3988417393050436	0.5962453577472147	0.600049560029736	0.09654185792511476	0.5513101307860785	0.39374203624522175	0.38424763054857836	0.49451729671037803	0.5089462053677232	0.37907842744705644	0.58332984999791	0.2508971505382903	0.41873275123965076	0.4831665898999539	0.5095646057387635	0.5285719171431503	0.4700233820140292	0.3288580973148584	0.6349733809840286	0.0	0.422318153390892	0.4430736658441995	0.32909519745711846	0.4581481748889049	0.5243994146396488	0.5629050377430227	0.6825147095088258	0.29152337491402497	0.5607542364525419	0.6857697114618269	0.611276666766	0.4363089617853771
