	S11-11	S11-12	S11-14	S11-1	S11-2	S11-6	S11-7	S11-9	S13-11	S13-12	S13-14	S13-1	S13-2	S13-6	S13-7	S13-9	S17-11	S17-12	S17-14	S17-1	S17-2	S17-6	S17-7	S17-9	S9-11	S9-12	S9-14	S9-1	S9-2	S9-6	S9-7	S9-9
S11-11	0.0	0.3999424893855648	0.6706425753312865	0.6024879992244878	0.49594965848336425	0.44697259219012064	0.5102092120625122	0.58962426299569	0.3896816258100881	0.38606470690224143	0.6645578808040281	0.6616341120701621	0.4479397714328826	0.5494684229165742	0.46866973963610464	0.5613622899019348	0.320068414337172	0.32022813737726247	0.749086231020644	0.684672784852869	0.499679677419599	0.5485783296931608	0.5522484246143545	0.6042092356565182	0.42329647124741426	0.5726447207338249	0.6967953898956428	0.5345750391783348	0.5100054470113672	0.751033115509312	0.602624888258847	0.5967937277952257
S11-12	0.3999424893855648	0.0	0.6675724155606763	0.6750802324451384	0.5517727344949563	0.5231397933080881	0.6130563558771454	0.6311838254271401	0.46974123490505	0.3857872518326002	0.652435039761195	0.6506568693148742	0.51998944251735	0.4929724417360829	0.542062817057767	0.5736479579856375	0.4708905621935311	0.4019963889010936	0.7402494228026051	0.7127856309091933	0.5772783758968724	0.5584831011792584	0.656303075732072	0.6614377020208632	0.4936421939041907	0.4273601602674002	0.6700491661823407	0.5947045562708436	0.4835330273667899	0.7682702418358307	0.604206625655863	0.6435777325380109
S11-14	0.6706425753312865	0.6675724155606763	0.0	0.7136766391328364	0.5548632252706696	0.6340784161536824	0.5708496822832703	0.6229927993711927	0.5398573285041894	0.7193762295634336	0.1851599664751516	0.7321523477702393	0.5463213641266624	0.6281003486531875	0.490705510167083	0.5698689120370969	0.5699702710625381	0.6963140837748351	0.2955953581944349	0.7577985882074456	0.5374470418992076	0.670993330419326	0.6160568216302622	0.630031462137897	0.6331672419249778	0.6022906341749492	0.28131468360998557	0.6663727652595641	0.5702957231442265	0.7191394445040006	0.5180181280225501	0.6614879110334657
S11-1	0.6024879992244878	0.6750802324451384	0.7136766391328364	0.0	0.6079110065856627	0.5415206689216879	0.586095462109961	0.5860044030871052	0.6063135511847013	0.6336846640548507	0.6835786915782516	0.23946768710638947	0.536687824708644	0.5885661187300958	0.5627205782428651	0.6057419670412337	0.5497576129891608	0.5539514800418215	0.690870633408529	0.1800444011911447	0.46391660344306745	0.5713693644137104	0.5764868036981877	0.5603684776524879	0.7663198203462749	0.7243928888226151	0.7756727486938599	0.34041642044452153	0.6391924594373073	0.7583497663457913	0.6456391390554239	0.6230839293940663
S11-2	0.49594965848336425	0.5517727344949563	0.5548632252706696	0.6079110065856627	0.0	0.4970082307490659	0.5373991608871894	0.481224521787355	0.5570903498296778	0.5467785662414201	0.5673840174133884	0.6482256087046278	0.28642755789331703	0.5985202452285816	0.48015766751957456	0.4706879971426873	0.5123330685956002	0.5404669656572084	0.6541835962000826	0.6804785758001225	0.255607753157546	0.5471306143297842	0.5690587898337562	0.5179072089947094	0.6388255123452036	0.5195211013997965	0.5973495869347463	0.5494900539220036	0.2258855836972815	0.672247812734201	0.47580047242591855	0.5240682065411199
S11-6	0.44697259219012064	0.5231397933080881	0.6340784161536824	0.5415206689216879	0.4970082307490659	0.0	0.4769025607025427	0.4901224340207309	0.6023884881995105	0.5764511666892428	0.6615253330428585	0.6864121412894475	0.5338349249925661	0.37305119663585035	0.5224422401330022	0.562960633303119	0.5221126750502815	0.42683257713497685	0.7066363213657166	0.5822221011377474	0.4696688158868728	0.25000595875149567	0.46948488784070685	0.4875211613678115	0.7594592156242631	0.6577087110848865	0.7363224588169371	0.6716545255852859	0.5952737944137224	0.5912411064015177	0.6018107950545095	0.521254286834826
S11-7	0.5102092120625122	0.6130563558771454	0.5708496822832703	0.586095462109961	0.5373991608871894	0.4769025607025427	0.0	0.46517587275914407	0.5770137338304472	0.6060774021254279	0.5832952894071176	0.6686365048277627	0.5639337435473696	0.613031864870998	0.3099590227997147	0.5483383486329255	0.5823237521632618	0.5433552433821661	0.615219900420195	0.671019816425974	0.5374478658994143	0.5913027114169805	0.21264030337271614	0.5010259657575175	0.6696401130796684	0.6246516057875531	0.5530175748074113	0.6094431009702184	0.5782768721474949	0.6334292209907345	0.34515455863379424	0.43363862284329435
S11-9	0.58962426299569	0.6311838254271401	0.6229927993711927	0.5860044030871052	0.481224521787355	0.4901224340207309	0.46517587275914407	0.0	0.6477708105904735	0.6338636440997747	0.6230568593872717	0.6501009211753312	0.5493903138969688	0.6312502354438091	0.5293810328746392	0.23063055988827053	0.6431120974211364	0.5616773039810034	0.6546193703094619	0.6307203753108142	0.4760255584824152	0.5780539100915314	0.5181380690526554	0.18158021557663412	0.7336270211403823	0.641911749119849	0.6168885128390167	0.6022519751652458	0.5435636364344727	0.6591610584494256	0.5114203503665079	0.13531136596315285
S13-11	0.3896816258100881	0.46974123490505	0.5398573285041894	0.6063135511847013	0.5570903498296778	0.6023884881995105	0.5770137338304472	0.6477708105904735	0.0	0.4359008144111044	0.5386336291970409	0.625818769080511	0.4242293194815592	0.5609886538081521	0.45810265398376615	0.5900448061012463	0.27505558903895283	0.5111335712945264	0.5891359508731236	0.66568175308612	0.4638351924226333	0.6452824209658876	0.6294780849989994	0.6624217952678706	0.3112635551271523	0.5331244668142412	0.6069660693484834	0.5362928816095133	0.4869123922150104	0.7591619495496493	0.5746739772431683	0.6749838054209352
S13-12	0.38606470690224143	0.3857872518326002	0.7193762295634336	0.6336846640548507	0.5467785662414201	0.5764511666892428	0.6060774021254279	0.6338636440997747	0.4359008144111044	0.0	0.696082824716789	0.621737502056113	0.4902183950448172	0.6454058639968718	0.5326952487065074	0.5807410737660095	0.51250784863947	0.35663031451420896	0.7787653764701095	0.6966003838466963	0.5501840550961978	0.6781737822216194	0.6295950810283654	0.6293248949605487	0.39258723253939537	0.5099357739938792	0.7187597144086884	0.4760970075003489	0.4744376450838489	0.7953176866247393	0.6235017814989472	0.6323926587305574
