	S11-11	S11-12	S11-14	S11-1	S11-2	S11-6	S11-7	S11-9	S13-11	S13-12	S13-14	S13-1	S13-2	S13-6	S13-7	S13-9	S17-11	S17-12	S17-14	S17-1	S17-2	S17-6	S17-7	S17-9	S9-11	S9-12	S9-14	S9-1	S9-2	S9-6	S9-7	S9-9
S11-11	0.0	0.58122430404066	1.614025852074291	0.7902200180644907	1.2118543113380222	0.6417368215722135	0.9094807089936254	1.422169394768968	0.7649230980601305	0.6890748253056636	1.6303555600594735	0.9860236561682112	0.6856355366246026	0.9188777472424774	1.0821084642132888	1.4008937265186432	0.5683393281280092	0.419095480191492	1.8397023435160025	0.8362546319370244	0.8995750845779199	1.0359580382606264	0.9315247343891144	1.3849127658307834	0.7484819248643146	1.276142462741277	1.909688206052564	0.8914532703279936	1.2475288646712106	2.049212581041824	1.5758640449698391	1.4060992660275626
S11-12	0.58122430404066	0.0	1.6241023798020406	1.141545277026885	1.0370647898156033	0.721539469609964	1.0166056271092678	1.3543468755395547	0.7416110388210526	0.789820228143785	1.6248289295224443	1.2080968918290313	0.7735914037329915	0.8842879617309196	1.0660972282989822	1.3048812612313903	0.6603883571743365	0.7305223824452668	1.8601826091723686	1.161935294072864	0.8902377579040086	1.0709098377560333	1.0767089528874494	1.3697390933158369	0.7401596216073882	0.9624805152757585	1.8087269264748986	0.8874632836223031	1.0105193493218225	1.9260771134018466	1.3157763077600264	1.3003196941137403
S11-14	1.614025852074291	1.6241023798020406	0.0	1.672543527181004	0.9716505749188052	1.3544724009596352	1.051582058117757	1.1253616212028266	1.1020732199875447	1.8402900852105342	0.2681826145059027	1.968290352439948	1.2220071553006	1.1583065897802312	0.8328813890716102	1.0456604775150484	1.194071525947183	1.7504815134219753	0.5956315550997695	1.6336647378922116	1.0465990577003859	1.2298557856147667	1.0799066111095748	1.2075147529615884	1.2835656247234715	1.0829999351278656	0.728434866537521	1.691427371689676	0.9876855702474203	1.241046264096734	0.8967563428391683	1.2864934691467673
S11-1	0.7902200180644907	1.141545277026885	1.672543527181004	0.0	1.4109820723551614	0.8487497988467865	0.9840569485173087	1.4265072816176696	1.108318513446514	0.5845235272594946	1.6718958950179736	0.4448788964898457	0.9390129562505516	1.0872559198823104	1.340088025431488	1.4331789146401832	0.9743334998478472	0.5845893432615653	1.864940018248594	0.21833135498257136	1.0726946584882242	1.153351138970276	0.8754465312323746	1.3335477822575459	1.1625815295528492	1.4007090773019528	2.0243645075154877	0.4784117518587595	1.3837284887277586	2.0583975858912558	1.657865241375928	1.2769445624768876
S11-2	1.2118543113380222	1.0370647898156033	0.9716505749188052	1.4109820723551614	0.0	1.0491407830649955	0.82816760442985	0.7748724279134303	1.0235486669758425	1.331837994383208	0.9845348703890636	1.4800986805379395	0.6248350202438553	1.0832408886484195	0.8506368066423416	0.7304016679630476	0.9834055501868504	1.307155931773496	1.2888555475061796	1.4034009049399874	0.4371374529750846	1.1637526677994008	0.8349415017888302	0.8266909717348421	1.1493183943346983	0.6496806053017327	1.2232997389242488	1.1724671087014635	0.2376876088633372	1.421410638965517	0.6791579016686224	0.8525815749782728
S11-6	0.6417368215722135	0.721539469609964	1.3544724009596352	0.8487497988467865	1.0491407830649955	0.0	0.7531061161930998	1.2435294485679118	0.7956821019888223	1.0009700337715481	1.3964973588793328	1.2548621315163366	0.6588345123658159	0.45161931264686683	0.9551468080517136	1.2247409636840387	0.5030049102346192	0.629107620062055	1.5253516784210424	0.8052480699197555	0.6983211792834382	0.4988258027202095	0.7835277842253852	1.2032730626488886	0.9001499080063229	1.1219316149464407	1.7248187982512184	1.063750020493311	1.1643439303283387	1.7007274327470485	1.3241665193459986	1.2496351841429802
S11-7	0.9094807089936254	1.0166056271092678	1.051582058117757	0.9840569485173087	0.82816760442985	0.7531061161930998	0.0	0.7600552107067099	0.7854642318368029	1.0417813713971953	1.0236570993033236	1.2228751107553966	0.680180869399647	0.8614685419374208	0.5325701279591363	0.7593541593955634	0.8365320811122918	0.9785407656531162	1.2110610946497875	1.0386595041177555	0.6324805954283461	0.9820540006897442	0.3686100772196928	0.7596118814863878	0.861247195031084	0.7890390446568519	1.2216121663017225	0.9465450416328252	0.7942965496829164	1.3827944618367902	0.7944189616093601	0.8150512127843066
S11-9	1.422169394768968	1.3543468755395547	1.1253616212028266	1.4265072816176696	0.7748724279134303	1.2435294485679118	0.7600552107067099	0.0	1.2653353024957483	1.4114735484310608	1.10395264719984	1.477508449021281	1.0924484185633296	1.3197783355265296	1.0496526380719302	0.17737597497578772	1.3350138192740473	1.4671901111761965	1.0394511093942251	1.4115980216029103	0.9269302724605167	1.4072048406368536	0.7675203072312703	0.22158137647182422	1.350169908261311	1.0370276695023584	0.9996012433580558	1.2385068755173478	0.7610624750425148	1.049086385972502	0.7956058128676944	0.30441534686786453
S13-11	0.7649230980601305	0.7416110388210526	1.1020732199875447	1.108318513446514	1.0235486669758425	0.7956821019888223	0.7854642318368029	1.2653353024957483	0.0	0.9811030681508817	1.1281178026729288	1.3696020963605533	0.6380460751414433	0.7819581743762558	0.6261248245525053	1.1769842620368904	0.4979785950823573	0.9996097770869725	1.374437428387152	1.1499912585678458	0.8135335985949519	0.8951582706021743	1.0144883355899073	1.3282661975534813	0.2919011722835678	0.8796091527462392	1.5198303414180931	1.057456320974897	0.9265147578779868	1.7687917217228928	1.1565133039120485	1.4022171508753818
S13-12	0.6890748253056636	0.789820228143785	1.8402900852105342	0.5845235272594946	1.331837994383208	1.0009700337715481	1.0417813713971953	1.4114735484310608	0.9811030681508817	0.0	1.8319551513130636	0.5978863769785612	0.8820905051254345	1.2600215866079698	1.3355955935561061	1.3864855051593687	1.0001137441445007	0.5367129821450225	2.0576377339442717	0.6949352363892763	1.1445457843928337	1.40335941301611	0.982756832088438	1.3346971116539614	0.9682857258269293	1.2818062946146238	2.0338102541915304	0.472405386567304	1.2182860408709322	2.110044173768533	1.6027518226966941	1.2666117646558976
