sample_id,depth,distance,way
s11_1,0.1,0.679010105,2b
s11_11,0.1,0.415799986,2b
s11_12,0.1,0.696147079,2b
s11_14,0.1,0.131124203,2b
s11_2,0.1,0.376674008,2b
s11_6,0.1,0.472383657,2b
s11_7,0.1,0.492641266,2b
s11_9,0.1,0.584114063,2b
s13_1,0.1,0.547417784,2b
s13_11,0.1,-0.169886051,2b
s13_12,0.1,0.67886548,2b
s13_14,0.1,0.17762093,2b
s13_2,0.1,0.109783402,2b
s13_6,0.1,0.554326072,2b
s13_7,0.1,0.264840686,2b
s13_9,0.1,0.459311814,2b
s17_1,0.1,0.711777336,2b
s17_11,0.1,0.085015596,2b
s17_12,0.1,0.581165042,2b
s17_14,0.1,-0.119200714,2b
s17_2,0.1,-0.02084276,2b
s17_6,0.1,0.52253516,2b
s17_7,0.1,0.611694659,2b
s17_9,0.1,0.472369351,2b
s9_1,0.1,0.450124585,2b
s9_11,0.1,0.552592315,2b
s9_12,0.1,0.457339802,2b
s9_14,0.1,0.587415844,2b
s9_2,0.1,0.403997965,2b
s9_6,0.1,0.649730916,2b
s9_7,0.1,0.399349111,2b
s9_9,0.1,0.637790122,2b
s11_1,1,0.919498305,2b
s11_11,1,0.855385402,2b
s11_12,1,0.894755974,2b
s11_14,1,0.779079472,2b
s11_2,1,0.776855401,2b
s11_6,1,0.927160839,2b
s11_7,1,0.932590851,2b
s11_9,1,0.907725825,2b
s13_1,1,0.869811336,2b
s13_11,1,0.799768503,2b
s13_12,1,0.819413812,2b
s13_14,1,0.773843377,2b
s13_2,1,0.710023605,2b
s13_6,1,0.934303799,2b
s13_7,1,0.874238244,2b
s13_9,1,0.893357592,2b
s17_1,1,0.891739583,2b
s17_11,1,0.77492537,2b
s17_12,1,0.935368342,2b
s17_14,1,0.738762583,2b
s17_2,1,0.771717668,2b
s17_6,1,0.935054166,2b
s17_7,1,0.887820405,2b
s17_9,1,0.913572633,2b
s9_1,1,0.834343167,2b
s9_11,1,0.860500585,2b
s9_12,1,0.841404208,2b
s9_14,1,0.868998268,2b
s9_2,1,0.847568936,2b
s9_6,1,0.96464247,2b
s9_7,1,0.874642844,2b
s9_9,1,0.925810546,2b
s11_1,2,0.953268771,2b
s11_11,2,0.919504099,2b
s11_12,2,0.938519216,2b
s11_14,2,0.86839151,2b
s11_2,2,0.898344922,2b
s11_6,2,0.96225991,2b
s11_7,2,0.962315934,2b
s11_9,2,0.955417486,2b
s13_1,2,0.906061899,2b
s13_11,2,0.901989477,2b
s13_12,2,0.890983033,2b
s13_14,2,0.856703477,2b
s13_2,2,0.841590176,2b
s13_6,2,0.970246047,2b
s13_7,2,0.930245915,2b
s13_9,2,0.936569957,2b
s17_1,2,0.94211122,2b
s17_11,2,0.901060834,2b
s17_12,2,0.959381276,2b
s17_14,2,0.841097188,2b
s17_2,2,0.877987852,2b
s17_6,2,0.972176148,2b
s17_7,2,0.950058969,2b
s17_9,2,0.968908609,2b
s9_1,2,0.896965943,2b
s9_11,2,0.916022731,2b
s9_12,2,0.879961272,2b
s9_14,2,0.931648226,2b
s9_2,2,0.910993269,2b
s9_6,2,0.974945312,2b
s9_7,2,0.940497477,2b
s9_9,2,0.958095891,2b
s11_1,5,0.989549421,2b
s11_11,5,0.984801316,2b
s11_12,5,0.97600346,2b
s11_14,5,0.959683948,2b
s11_2,5,0.965105183,2b
s11_6,5,0.98893463,2b
s11_7,5,0.98420044,2b
s11_9,5,0.984493629,2b
s13_1,5,0.962129117,2b
s13_11,5,0.963978902,2b
s13_12,5,0.957872787,2b
s13_14,5,0.928003378,2b
s13_2,5,0.971125492,2b
s13_6,5,0.9706531,2b
s13_7,5,0.978395864,2b
s13_9,5,0.979642079,2b
s17_1,5,0.96244956,2b
s17_11,5,0.966399835,2b
s17_12,5,0.970352913,2b
s17_14,5,0.912349902,2b
s17_2,5,0.963330505,2b
s17_6,5,0.974389582,2b
s17_7,5,0.973679188,2b
s17_9,5,0.98547733,2b
s9_1,5,0.953272739,2b
s9_11,5,0.973485585,2b
s9_12,5,0.956705863,2b
s9_14,5,0.977159821,2b
s9_2,5,0.959104582,2b
s9_6,5,0.986419915,2b
s9_7,5,0.978303774,2b
s9_9,5,0.978068805,2b
s11_1,7.5,0.986812396,2b
s11_11,7.5,0.993121351,2b
s11_12,7.5,0.991647975,2b
s11_14,7.5,0.966300345,2b
s11_2,7.5,0.980913408,2b
s11_6,7.5,0.991716655,2b
s11_7,7.5,0.994956621,2b
s11_9,7.5,0.988729288,2b
s13_1,7.5,0.978009231,2b
s13_11,7.5,0.982054471,2b
s13_12,7.5,0.97764005,2b
s13_14,7.5,0.950735011,2b
s13_6,7.5,0.985710415,2b
s13_9,7.5,0.987713058,2b
s17_1,7.5,0.968401568,2b
s17_11,7.5,0.980863231,2b
s17_12,7.5,0.985260751,2b
s17_14,7.5,0.923654138,2b
s17_2,7.5,0.979558563,2b
s17_6,7.5,0.971149193,2b
s17_7,7.5,0.993267306,2b
s17_9,7.5,0.982433715,2b
s9_1,7.5,0.965944154,2b
s9_11,7.5,0.989546584,2b
s9_12,7.5,0.986929556,2b
s9_14,7.5,0.985977586,2b
s9_2,7.5,0.979419603,2b
s9_6,7.5,0.9898695,2b
s9_7,7.5,0.989597337,2b
s9_9,7.5,0.982090798,2b
s11_1,10,0.986250746,2b
s11_14,10,0.975799133,2b
s11_6,10,0.990747085,2b
s11_9,10,0.992029268,2b
s13_1,10,0.981342326,2b
s13_11,10,0.983152359,2b
s13_12,10,0.993938659,2b
s13_14,10,0.962475341,2b
s13_6,10,0.990927067,2b
s13_9,10,0.990961722,2b
s17_1,10,0.971813117,2b
s17_11,10,0.999012491,2b
s17_12,10,0.996446217,2b
s17_14,10,0.931222484,2b
s17_6,10,0.972192906,2b
s17_9,10,0.980887607,2b
s9_1,10,0.975853561,2b
s9_14,10,0.988143165,2b
s9_6,10,0.990118821,2b
s9_9,10,0.985989983,2b
s11_1,12.5,0.990148653,2b
s11_14,12.5,0.982390008,2b
s11_6,12.5,0.993492263,2b
s11_9,12.5,0.991847997,2b
s13_1,12.5,0.99109522,2b
s13_11,12.5,0.989561369,2b
s13_14,12.5,0.966358417,2b
s13_6,12.5,0.991411667,2b
s13_9,12.5,0.990498259,2b
s17_1,12.5,0.978252866,2b
s17_14,12.5,0.93959498,2b
s17_6,12.5,0.976725413,2b
s17_9,12.5,0.981402924,2b
s9_1,12.5,0.982543951,2b
s9_14,12.5,0.990815307,2b
s9_6,12.5,0.993335843,2b
s9_9,12.5,0.985074719,2b
s11_1,15,0.99556516,2b
s11_14,15,0.986930353,2b
s11_6,15,0.995390257,2b
s11_9,15,0.994729058,2b
s13_1,15,0.991716965,2b
s13_14,15,0.976637909,2b
s13_6,15,0.99400027,2b
s13_9,15,0.99263504,2b
s17_1,15,0.984357406,2b
s17_14,15,0.946515667,2b
s17_6,15,0.978602964,2b
s17_9,15,0.980681434,2b
s9_1,15,0.992355202,2b
s9_14,15,0.99191662,2b
s9_6,15,0.995222526,2b
s9_9,15,0.990037522,2b
s11_1,17.5,0.993125374,2b
s11_14,17.5,0.99148695,2b
s11_6,17.5,0.996931942,2b
s11_9,17.5,0.994703103,2b
s13_1,17.5,0.994912329,2b
s13_14,17.5,0.983820227,2b
s13_6,17.5,0.995855113,2b
s13_9,17.5,0.994218441,2b
s17_1,17.5,0.988266165,2b
s17_14,17.5,0.957604088,2b
s17_6,17.5,0.983489325,2b
s17_9,17.5,0.978512517,2b
s9_1,17.5,0.997057833,2b
s9_14,17.5,0.994189701,2b
s9_6,17.5,0.995736094,2b
s9_9,17.5,0.990712348,2b
s11_1,20,0.993529942,2b
s11_14,20,0.992679471,2b
s11_6,20,0.998193257,2b
s11_9,20,0.995504663,2b
s13_1,20,0.995994124,2b
s13_14,20,0.982443242,2b
s13_6,20,0.998724454,2b
s13_9,20,0.996371348,2b
s17_1,20,0.988287804,2b
s17_14,20,0.962700667,2b
s17_6,20,0.990061096,2b
s17_9,20,0.984996038,2b
s9_14,20,0.995489766,2b
s9_6,20,0.996638989,2b
s9_9,20,0.991458821,2b
s11_1,22.5,0.995166338,2b
s11_14,22.5,0.994485352,2b
s11_9,22.5,0.996630844,2b
s13_1,22.5,0.998291186,2b
s13_14,22.5,0.982990289,2b
s13_9,22.5,0.997773671,2b
s17_1,22.5,0.991331058,2b
s17_14,22.5,0.96087955,2b
s17_6,22.5,0.99387718,2b
s17_9,22.5,0.990247939,2b
s9_14,22.5,0.995445196,2b
s9_6,22.5,0.997259932,2b
s9_9,22.5,0.993277574,2b
