index,S9_1,S9_11,S9_12,S9_14,S9_2,S9_6,S9_7,S9_9,S11_1,S11_11,S11_12,S11_14,S11_2,S11_6,S11_7,S11_9,S17_1,S17_11,S17_12,S17_14,S17_2,S17_6,S17_7,S17_9
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__,3624,10185,6470,6034,2549,1773,4504,2853,5630,7120,3092,7927,3713,6790,9484,5337,13477,32464,5587,11636,13902,1918,8088,6899
d__Bacteria;p__Proteobacteria;__;__;__;__;__,1534,2018,5543,1373,5924,1588,2237,878,1702,4981,14380,1900,9114,5959,2889,1088,3535,5804,6413,1306,6391,1204,3661,1246
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;__,11866,6962,6333,3786,7179,5659,13808,12871,13825,6668,6671,3777,9672,8468,20386,10595,26210,3330,7747,2613,8809,8746,18965,16032
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa,696,5201,4933,450,743,491,2044,318,993,2818,9792,423,721,484,2816,771,1726,1655,3660,314,1205,130,1023,434
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia dentocariosa,535,5480,314,190,291,215,229,107,546,1886,1099,158,342,1106,707,306,886,3582,1045,151,1032,87,236,84
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum_J,958,1105,2244,1155,1365,483,4467,280,692,774,841,1283,2229,394,1804,383,310,1216,105,973,935,57,698,135
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__,1068,1392,0,259,3852,583,21,703,338,1488,0,28,542,369,559,1748,1524,5,1596,1200,165,1762,641,2646
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis,704,41,0,246,4462,582,501,743,576,353,3,127,2978,176,255,1368,67,0,8,0,1484,37,33,603
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella melaninogenica,563,36,20,4472,848,1669,2410,1462,481,145,0,1309,1472,619,3164,716,452,15,548,3218,299,5221,7815,5491
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria sp000090875,848,2231,3837,306,1610,236,387,321,516,826,2708,341,805,498,250,401,249,796,590,147,806,41,115,283
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;__,818,1253,7676,464,1407,768,1074,802,818,699,1871,553,2539,916,579,1892,404,831,399,536,748,715,343,1477
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;__,623,158,2748,300,733,358,672,646,700,580,4924,574,1395,1323,874,1028,1705,932,1394,422,1207,236,1197,1322
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;__;__,1093,8659,467,659,1859,491,583,295,717,1001,4508,338,692,816,412,407,490,1254,803,178,349,121,99,135
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__Gemella haemolysans_A,659,144,1489,341,233,236,352,192,656,359,175,625,313,509,333,475,658,1033,1272,1088,193,185,489,578
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;__,815,18,285,37,44,170,99,1685,736,243,29,250,88,76,118,2502,222,42,118,94,64,113,78,3088
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella intermedia,1449,183,984,3338,2146,1007,1386,3660,912,355,242,734,2235,385,694,2180,144,185,221,2017,529,278,489,4008
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp003471165,33,199,0,43,93,521,84,20,22,874,0,1310,209,34,2,823,50,0,1616,33,0,643,146,21
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;__;__;__,270,248,876,995,506,323,921,175,232,235,259,841,591,122,319,387,189,90,49,531,214,50,161,86
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__F0040;s__F0040 sp900095835,405,89,36,700,995,398,487,1013,478,351,44,1545,768,356,376,2191,1552,48,161,2760,1116,555,912,2542
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp000467855,1078,158,562,444,766,905,870,2698,1199,461,238,528,3091,1437,859,4352,872,239,1026,351,1681,562,776,7528
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas endodontalis,508,1214,1057,2607,396,515,2280,401,318,612,368,2039,439,210,929,877,227,275,145,2404,119,110,427,272
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;__,295,352,2306,1082,578,239,1095,298,240,168,636,1122,777,220,388,425,163,156,52,966,422,142,165,228
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter kilianii,230,50,357,469,303,168,500,227,318,97,2524,898,1125,551,531,223,540,119,142,737,1218,62,324,238
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter aphrophilus,162,203,382,157,338,247,374,276,214,802,3005,135,532,2747,333,334,136,1048,167,77,491,144,160,487
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;__,527,52,95,123,389,84,190,216,330,61,693,191,703,110,179,479,1319,318,1826,869,2409,86,285,1532
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;__,73,350,0,14,0,252,146,56,40,896,3,1588,252,137,122,989,380,0,3080,363,0,571,399,195
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;__;__,18,27,41,147,55,23,26,10,47,35,0,114,55,52,28,6,118,2827,70,3448,135,70,93,48
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;__,260,108,205,1617,559,454,1842,315,169,191,119,931,835,346,955,351,468,55,195,1339,121,925,881,507
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis,3,30,0,2,1,1816,0,0,1,545,0,528,0,0,0,501,0,0,0,0,0,1468,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Granulicatella;s__Granulicatella elegans,130,58,18,98,48,49,47,66,175,58,23,193,79,147,123,178,638,24,60,502,110,54,68,276
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Granulicatella;s__Granulicatella sp001058355,354,154,615,251,210,284,527,174,240,304,555,380,335,413,1129,371,342,341,471,285,193,141,775,195
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;__,63,22,0,288,5612,168,14,0,0,29,0,0,0,25,36,84,58,0,42,37,7,211,41,37
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus,0,0,0,0,0,385,0,0,0,627,0,653,415,0,0,458,0,0,0,6,0,391,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei,0,92,0,2,19,1076,0,4,0,1020,0,1063,802,0,0,955,4,0,470,0,0,927,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;__,1576,320,70,4748,1847,1672,4059,1317,934,856,68,1323,1757,936,2446,1133,501,69,1086,4617,218,1771,2580,2090
