Genus,col_16S,col_WMS,Group,Color,Set
Acetatifactor_intestinalis,0.004840757,0,tumor1,16S only,16SWMS
Aggregatibacter_aphrophilus,0.072375218,0.097790458,tumor1,shared,16SWMS
Aggregatibacter_segnis,0,0.020026881,tumor1,WMS only,16SWMS
Aggregatibacter_segnis_A,0,0.011793028,tumor1,WMS only,16SWMS
Alistipes_sp910575495,0.005224475,0,tumor1,16S only,16SWMS
Allisonella_pneumosinta,0.002597479,0,tumor1,16S only,16SWMS
Alloprevotella_sp002933955,0.000295168,0,tumor1,16S only,16SWMS
Alloprevotella_sp900095835,0.079046017,0,tumor1,16S only,16SWMS
Anaerococcus_marasmi,0.000678887,0,tumor1,16S only,16SWMS
Bacillus_A_bombysepticus,0,0.00591076,tumor1,WMS only,16SWMS
Bacteroides_sp014750685,0.006169013,0,tumor1,16S only,16SWMS
Bacteroides_thetaiotaomicron,0.014492754,0,tumor1,16S only,16SWMS
Bacteroides_uniformis,0.010301367,0,tumor1,16S only,16SWMS
Bordetella_pertussis,0.000944538,0.006909424,tumor1,shared,16SWMS
Caccovicinus_sp910575565,0.015614392,0,tumor1,16S only,16SWMS
CAG-273_sp022797215,0.014817439,0,tumor1,16S only,16SWMS
CAG-557_sp948527295,0.000265651,0,tumor1,16S only,16SWMS
CAG-873_sp019415705,0.011600106,0,tumor1,16S only,16SWMS
CALKXV01_sp938005545,0.000118067,0,tumor1,16S only,16SWMS
Capnocytophaga_gingivalis,0.000767437,0,tumor1,16S only,16SWMS
Catenibacterium_faecis,0.003099265,0,tumor1,16S only,16SWMS
Catenibacterium_mitsuokai,0.016617964,0,tumor1,16S only,16SWMS
Catonella_sp916438525,0.003276366,0,tumor1,16S only,16SWMS
Clostridium_neonatale,0.007703887,0,tumor1,16S only,16SWMS
Cutibacterium_acnes,0,0.028473349,tumor1,WMS only,16SWMS
Dialister_invisus,0.002331828,0,tumor1,16S only,16SWMS
Duncaniella_dubosii,0.020897901,0,tumor1,16S only,16SWMS
Duncaniella_muris,0.007644854,0,tumor1,16S only,16SWMS
Eikenella_corrodens,0.000796954,0,tumor1,16S only,16SWMS
Eubacterium_N_saphenum,0.00064937,0,tumor1,16S only,16SWMS
F0040_sp000318095,0,0.143243655,tumor1,WMS only,16SWMS
F0040_sp900095835,0,0.005088365,tumor1,WMS only,16SWMS
Fenollaria_massiliensis,0.000206618,0,tumor1,16S only,16SWMS
Filifactor_alocis,0.008559875,0,tumor1,16S only,16SWMS
Flavimobilis_hominis,0,0.00104698,tumor1,WMS only,16SWMS
Fusicatenibacter_saccharivorans,0.009002627,0,tumor1,16S only,16SWMS
Fusobacterium_nucleatum_J,0.017267334,0,tumor1,16S only,16SWMS
Gallintestinimicrobium_propionicum,0.01304643,0,tumor1,16S only,16SWMS
Halomonas_titanicae,0,0.002420025,tumor1,WMS only,16SWMS
Helicobacter_D_sp000765695,0.014610821,0,tumor1,16S only,16SWMS
Hornefia_nodata,0.001033088,0,tumor1,16S only,16SWMS
Hydrogenophaga_palleronii,0.000177101,0,tumor1,16S only,16SWMS
JAEWXG01_sp023396095,0.000974055,0,tumor1,16S only,16SWMS
KA00274_sp902373515,5.9e-05,0,tumor1,16S only,16SWMS
Klebsiella_pneumoniae,0,0.006354718,tumor1,WMS only,16SWMS
Lachnospira_pectinoschiza_A,0.007910505,0,tumor1,16S only,16SWMS
Lactobacillus_iners,0.001771009,0,tumor1,16S only,16SWMS
Lepagella_sp900547755,0.000560819,0,tumor1,16S only,16SWMS
Leptotrichia_sp013394795,0.00268603,0,tumor1,16S only,16SWMS
Megasphaera_C_lornae,0.016972166,0,tumor1,16S only,16SWMS
Metamycoplasma_hyosynoviae,0.000442752,0,tumor1,16S only,16SWMS
Methylobacterium_hispanicum,0.020396116,0,tumor1,16S only,16SWMS
Muribaculum_faecis,0.007290652,0,tumor1,16S only,16SWMS
Muribaculum_intestinale,0.017090233,0,tumor1,16S only,16SWMS
Muribaculum_sp003150235,0.006050946,0,tumor1,16S only,16SWMS
Mycobacterium_tuberculosis,0,0.013566779,tumor1,WMS only,16SWMS
Odoribacter_laneus,0.008766493,0,tumor1,16S only,16SWMS
Otoolea_fessa,0.007231618,0,tumor1,16S only,16SWMS
Parabacteroides_distasonis,0.029280675,0,tumor1,16S only,16SWMS
Parabacteroides_goldsteinii,0.011983825,0,tumor1,16S only,16SWMS
Parabacteroides_johnsonii,0.007084034,0,tumor1,16S only,16SWMS
Parabacteroides_merdae,0.012160926,0,tumor1,16S only,16SWMS
Paramuribaculum_intestinale,0.000206618,0,tumor1,16S only,16SWMS
Paraprevotella_clara,0.002449895,0,tumor1,16S only,16SWMS
Parvimonas_micra,0.024233301,0.12685003,tumor1,shared,16SWMS
Pauljensenia_cardiffensis,0.001239706,0.004590428,tumor1,shared,16SWMS
Pediococcus_pentosaceus,0.000855987,0,tumor1,16S only,16SWMS
Pelethenecus_sp029051735,0.006257564,0,tumor1,16S only,16SWMS
Pelethenecus_sp910577745,0.012928363,0,tumor1,16S only,16SWMS
Pelethomonas_sp014237695,0.010065232,0,tumor1,16S only,16SWMS
Peptoanaerobacter_margaretiae,0.000442752,0,tumor1,16S only,16SWMS
Peptoanaerobacter_stomatis,0.016795065,0.057476345,tumor1,shared,16SWMS
Peptostreptococcus_stomatis,0.113137932,0.162151297,tumor1,shared,16SWMS
Phocaeicola_dorei,0.004958824,0,tumor1,16S only,16SWMS
Phocaeicola_vulgatus,0.019067859,0,tumor1,16S only,16SWMS
Porphyromonas_endodontalis,0.003453467,0.017408144,tumor1,shared,16SWMS
Porphyromonas_gingivalis,0.004338971,0.005629105,tumor1,shared,16SWMS
Porphyromonas_sp927910985,0.013105464,0,tumor1,16S only,16SWMS
Prevotella_bivia,0.000324685,0,tumor1,16S only,16SWMS
Prevotella_caecicola,0.008530358,0,tumor1,16S only,16SWMS
Prevotella_disiens,0.000413235,0,tumor1,16S only,16SWMS
Prevotella_hominis,0.006316597,0,tumor1,16S only,16SWMS
Prevotella_illustrans,0.010862186,0,tumor1,16S only,16SWMS
Prevotella_intermedia,0.010065232,0.045145882,tumor1,shared,16SWMS
Prevotella_intestinalis,0.008618908,0,tumor1,16S only,16SWMS
Prevotella_oris,0.002213761,0.007084428,tumor1,shared,16SWMS
Prevotella_rodentium,0.007408719,0,tumor1,16S only,16SWMS
Prevotella_sp002265625,0.007703887,0,tumor1,16S only,16SWMS
Prevotella_sp002933775,0.01590956,0,tumor1,16S only,16SWMS
Prevotella_sp003043925,0,0.004011285,tumor1,WMS only,16SWMS
Prevotella_sp900546535,0.00693645,0,tumor1,16S only,16SWMS
Prevotella_stercorea,0.007821955,0,tumor1,16S only,16SWMS
Prevotella_timonensis_A,0.00619853,0,tumor1,16S only,16SWMS
Pseudomonas_aeruginosa,0,0.015900386,tumor1,WMS only,16SWMS
Roseburia_B_sp003612565,0.008117123,0,tumor1,16S only,16SWMS
Rothia_aeria,0.001033088,0.004989567,tumor1,shared,16SWMS
Rubellimicrobium_rubrum,0.002863131,0,tumor1,16S only,16SWMS
RUG708_sp028724585,0.000531303,0,tumor1,16S only,16SWMS
Sarcina_massiliamazoniense,0.009032144,0,tumor1,16S only,16SWMS
Selenomonas_sputigena,0,0.00690833,tumor1,WMS only,16SWMS
Slackia_exigua,0.000324685,0,tumor1,16S only,16SWMS
Streptococcus_constellatus,0.054753682,0.103439988,tumor1,shared,16SWMS
Suilimivivens_sp000403495,0.002213761,0,tumor1,16S only,16SWMS
Sulfotelmatobacter_sp030041215,5.9e-05,0,tumor1,16S only,16SWMS
Taurinivorans_muris,0.000265651,0,tumor1,16S only,16SWMS
Treponema_B_denticola,0,0.056759121,tumor1,WMS only,16SWMS
Treponema_C_maltophilum,0.002095693,0,tumor1,16S only,16SWMS
Treponema_D_sp900541945,0.001711975,0,tumor1,16S only,16SWMS
Treponema_medium,0.003010715,0.022580075,tumor1,shared,16SWMS
Treponema_vincentii,0.003394433,0.005663539,tumor1,shared,16SWMS
Turicimonas_muris,8.86e-05,0,tumor1,16S only,16SWMS
UBA10518_sp023544645,0.000767437,0,tumor1,16S only,16SWMS
UBA3282_sp003612405,0.008559875,0,tumor1,16S only,16SWMS
UBA6345_sp948806215,0.01508309,0,tumor1,16S only,16SWMS
UBA7173_sp002491305,0.006021429,0,tumor1,16S only,16SWMS
UBA7173_sp013316675,0.020278048,0,tumor1,16S only,16SWMS
W11650_sp002999035,0.001151156,0.010787626,tumor1,shared,16SWMS
Actinomyces_graevenitzii,0.002025943,0.001086271,tumor2,shared,16SWMS
Actinomyces_oris,0,0.00038771,tumor2,WMS only,16SWMS
Alloprevotella_rava,0,0.000403428,tumor2,WMS only,16SWMS
Alloprevotella_sp900095835,0.005946273,0,tumor2,16S only,16SWMS
Alloprevotella_timonensis,0.001078749,0,tumor2,16S only,16SWMS
Anaerococcus_vaginimassiliensis,0.000184177,0,tumor2,16S only,16SWMS
Anaeroglobus_micronuciformis,0.000315731,0.018072358,tumor2,shared,16SWMS
Anaerotruncus_sp000403395,5.26e-05,0,tumor2,16S only,16SWMS
Bacteroides_caecimuris,0.00110506,0,tumor2,16S only,16SWMS
Bacteroides_cellulosilyticus,0.000999816,0,tumor2,16S only,16SWMS
Bacteroides_sp900765785,0.001657589,0,tumor2,16S only,16SWMS
Bordetella_pertussis,0,0.000186611,tumor2,WMS only,16SWMS
Bulleidia_moorei,0,0.007983267,tumor2,WMS only,16SWMS
Bulleidia_sp900554555,0,0.012073983,tumor2,WMS only,16SWMS
CAG-557_sp948527295,0.000210488,0,tumor2,16S only,16SWMS
CAG-873_sp910578095,0.001131371,0,tumor2,16S only,16SWMS
CAG-873_sp937989585,0.001552346,0,tumor2,16S only,16SWMS
CALZIL01_sp945787495,0.000342042,0,tumor2,16S only,16SWMS
Campylobacter_A_concisus_T,0,0.012239379,tumor2,WMS only,16SWMS
Campylobacter_A_curvus,0,0.003098587,tumor2,WMS only,16SWMS
Catonella_sp916439065,0.004078196,0,tumor2,16S only,16SWMS
Centipeda_artemidis,0,0.001317057,tumor2,WMS only,16SWMS
Corynebacterium_striatum,0,0.000360494,tumor2,WMS only,16SWMS
Curvibacter_gracilis,0.000263109,0,tumor2,16S only,16SWMS
Cutibacterium_acnes,0,0.001795888,tumor2,WMS only,16SWMS
Dialister_invisus,0.015418212,0.013468444,tumor2,shared,16SWMS
Duncaniella_dubosii,0.001499724,0,tumor2,16S only,16SWMS
Duncaniella_freteri,0.001657589,0,tumor2,16S only,16SWMS
Duncaniella_muricolitica,0.000868261,0,tumor2,16S only,16SWMS
Duncaniella_muris,0.000342042,0,tumor2,16S only,16SWMS
Eikenella_corrodens,0,0.000221767,tumor2,WMS only,16SWMS
Eikenella_longinqua,0,0.000158578,tumor2,WMS only,16SWMS
Enterocloster_sp000431375,0.001026127,0,tumor2,16S only,16SWMS
Eubacterium_B_infirmum,0.007130265,0.010460335,tumor2,shared,16SWMS
Eubacterium_M_brachy,0,0.038317433,tumor2,WMS only,16SWMS
F0040_sp003639005,0,0.000255533,tumor2,WMS only,16SWMS
Faecalimonas_phoceensis,0.00055253,0,tumor2,16S only,16SWMS
Fimimonas_sp948938605,0.00278896,0,tumor2,16S only,16SWMS
Fusicatenibacter_saccharivorans,0.001604968,0,tumor2,16S only,16SWMS
Fusobacterium_animalis,0.059962638,0.178899353,tumor2,shared,16SWMS
Fusobacterium_B_sp900554355,0.00110506,0,tumor2,16S only,16SWMS
Gallibacter_brachus,0.027679112,0,tumor2,16S only,16SWMS
Gallimonas_sp910586655,0.002289052,0,tumor2,16S only,16SWMS
Helicobacter_C_typhlonius,0.001289236,0,tumor2,16S only,16SWMS
Hominicoprocola_sp900317525,0.000105244,0,tumor2,16S only,16SWMS
JABCPH02_sp013333235,0.142210645,0.023698403,tumor2,shared,16SWMS
JABDCD01_sp028873525,7.89e-05,0,tumor2,16S only,16SWMS
Klebsiella_pneumoniae,0,0.000710533,tumor2,WMS only,16SWMS
Lachnoanaerobaculum_orale,0.028047465,0.010613237,tumor2,shared,16SWMS
Lachnospira_pectinoschiza_A,0.000631463,0,tumor2,16S only,16SWMS
Lactobacillus_iners,0.001341858,0,tumor2,16S only,16SWMS
Lancefieldella_sp000564995,0,0.004268101,tumor2,WMS only,16SWMS
Lancefieldella_sp900555335,0,0.000978972,tumor2,WMS only,16SWMS
Lepagella_sp029051525,0.00110506,0,tumor2,16S only,16SWMS
Lepagella_sp900547755,0.002315363,0,tumor2,16S only,16SWMS
Leptotrichia_shahii,0.003104691,0,tumor2,16S only,16SWMS
Leptotrichia_wadei,0.008209014,0.007303769,tumor2,shared,16SWMS
Leptotrichia_wadei_A,0,0.003989663,tumor2,WMS only,16SWMS
MAG-121220-bin8_sp902559035,0.000236798,0,tumor2,16S only,16SWMS
Malassezia_globosa,0,2.67e-05,tumor2,WMS only,16SWMS
Megasphaera_C_lornae,0.000420975,0,tumor2,16S only,16SWMS
Mogibacterium_diversum,0,0.016388011,tumor2,WMS only,16SWMS
Moryella_longum,0.028126398,0,tumor2,16S only,16SWMS
Muribaculum_faecis,0.00139448,0,tumor2,16S only,16SWMS
Muribaculum_gordoncarteri,0.000763017,0,tumor2,16S only,16SWMS
Muribaculum_intestinale,0.00139448,0,tumor2,16S only,16SWMS
Mycobacterium_tuberculosis,0,0.000460845,tumor2,WMS only,16SWMS
Nanosynbacter_sp015257705,0.002341674,0,tumor2,16S only,16SWMS
Nocardioides_litoris,0.000420975,0,tumor2,16S only,16SWMS
Oribacterium_asaccharolyticum,0.000342042,0.000407446,tumor2,shared,16SWMS
Parabacteroides_distasonis,0.001262925,0,tumor2,16S only,16SWMS
Paramuribaculum_sp001689565,0.001420791,0,tumor2,16S only,16SWMS
Parvimonas_micra,0.105296393,0.107815947,tumor2,shared,16SWMS
Pauljensenia_odontolytica_B,0,0.00030274,tumor2,WMS only,16SWMS
