Genus,col_WMS,col_2b,Group,Color,Set
Aggregatibacter_aphrophilus,0.097790458,0.129001696,tumor1,shared,2bWMS
Aggregatibacter_segnis,0.020026881,0.019212223,tumor1,shared,2bWMS
Aggregatibacter_segnis_A,0.011793028,0,tumor1,WMS(2bRAD-M) only,2bWMS
Alloprevotella_tannerae,0,0.003424673,tumor1,2bRAD-M only,2bWMS
Bacillus_A_bombysepticus,0.00591076,0,tumor1,WMS(2bRAD-M) only,2bWMS
Bordetella_pertussis,0.006909424,0.007890279,tumor1,shared,2bWMS
Capnocytophaga_gingivalis,0,0.008079945,tumor1,2bRAD-M only,2bWMS
Cardiobacterium_hominis,0,0.001399888,tumor1,2bRAD-M only,2bWMS
Centipeda_infelix,0,0.004464166,tumor1,2bRAD-M only,2bWMS
Cutibacterium_acnes,0.028473349,0.019261273,tumor1,shared,2bWMS
F0040_sp000318095,0.143243655,0.164042248,tumor1,shared,2bWMS
F0040_sp900095835,0.005088365,0.006139313,tumor1,shared,2bWMS
Flavimobilis_hominis,0.00104698,0,tumor1,WMS(2bRAD-M) only,2bWMS
Halomonas_titanicae,0.002420025,0,tumor1,WMS(2bRAD-M) only,2bWMS
Klebsiella_pneumoniae,0.006354718,0,tumor1,WMS(2bRAD-M) only,2bWMS
Mycobacterium_tuberculosis,0.013566779,0,tumor1,WMS(2bRAD-M) only,2bWMS
Parvimonas_micra,0.12685003,0.065168555,tumor1,shared,2bWMS
Pauljensenia_cardiffensis,0.004590428,0.006091263,tumor1,shared,2bWMS
Peptoanaerobacter_stomatis,0.057476345,0.056488685,tumor1,shared,2bWMS
Peptostreptococcus_stomatis,0.162151297,0.153289454,tumor1,shared,2bWMS
Porphyromonas_endodontalis,0.017408144,0.036169956,tumor1,shared,2bWMS
Porphyromonas_gingivalis,0.005629105,0.004950951,tumor1,shared,2bWMS
Prevotella_intermedia,0.045145882,0.050732612,tumor1,shared,2bWMS
Prevotella_oris,0.007084428,0.010912472,tumor1,shared,2bWMS
Prevotella_sp003043925,0.004011285,0.005734329,tumor1,shared,2bWMS
Pseudomonas_aeruginosa,0.015900386,0.006757325,tumor1,shared,2bWMS
Ralstonia_mannitolilytica,0,0.002242902,tumor1,2bRAD-M only,2bWMS
Rothia_aeria,0.004989567,0.00535243,tumor1,shared,2bWMS
Selenomonas_sputigena,0.00690833,0.007497052,tumor1,shared,2bWMS
Slackia_exigua,0,0.005421795,tumor1,2bRAD-M only,2bWMS
Sphingobium_yanoikuyae,0,0.00097527,tumor1,2bRAD-M only,2bWMS
Streptococcus_constellatus,0.103439988,0.102473217,tumor1,shared,2bWMS
Treponema_B_denticola,0.056759121,0.063390667,tumor1,shared,2bWMS
Treponema_D_pectinovorum,0,0.003840503,tumor1,2bRAD-M only,2bWMS
Treponema_medium,0.022580075,0.036056754,tumor1,shared,2bWMS
Treponema_vincentii,0.005663539,0.005398995,tumor1,shared,2bWMS
W11650_sp002999035,0.010787626,0.008139108,tumor1,shared,2bWMS
Actinomyces_graevenitzii,0.001086271,0.001974292,tumor2,shared,2bWMS
Actinomyces_oris,0.00038771,0.000640498,tumor2,shared,2bWMS
Alloprevotella_rava,0.000403428,0.000833744,tumor2,shared,2bWMS
Anaeroglobus_micronuciformis,0.018072358,0.019969017,tumor2,shared,2bWMS
Bordetella_pertussis,0.000186611,0.000261049,tumor2,shared,2bWMS
Bulleidia_moorei,0.007983267,0.008113743,tumor2,shared,2bWMS
Bulleidia_sp900554555,0.012073983,0.017530453,tumor2,shared,2bWMS
Campylobacter_A_concisus_T,0.012239379,0.012839104,tumor2,shared,2bWMS
Campylobacter_A_curvus,0.003098587,0.004703046,tumor2,shared,2bWMS
Centipeda_artemidis,0.001317057,0.002212447,tumor2,shared,2bWMS
Comamonas_terrigena,0,6.79e-05,tumor2,2bRAD-M only,2bWMS
Corynebacterium_striatum,0.000360494,0.000611828,tumor2,shared,2bWMS
Cutibacterium_acnes,0.001795888,0.001507804,tumor2,shared,2bWMS
Dialister_invisus,0.013468444,0.022454782,tumor2,shared,2bWMS
Eikenella_corrodens,0.000221767,0,tumor2,WMS(2bRAD-M) only,2bWMS
Eikenella_longinqua,0.000158578,0,tumor2,WMS(2bRAD-M) only,2bWMS
Eubacterium_B_infirmum,0.010460335,0.011076326,tumor2,shared,2bWMS
Eubacterium_M_brachy,0.038317433,0.040556193,tumor2,shared,2bWMS
F0040_sp003639005,0.000255533,0.0001687,tumor2,shared,2bWMS
Fusobacterium_animalis,0.178899353,0.094962598,tumor2,shared,2bWMS
JABCPH02_sp013333235,0.023698403,0.022871646,tumor2,shared,2bWMS
Klebsiella_pneumoniae,0.000710533,0.000168338,tumor2,shared,2bWMS
Lachnoanaerobaculum_orale,0.010613237,0.013695624,tumor2,shared,2bWMS
Lancefieldella_sp000564995,0.004268101,0.006834383,tumor2,shared,2bWMS
Lancefieldella_sp900555335,0.000978972,0,tumor2,WMS(2bRAD-M) only,2bWMS
Leptotrichia_wadei,0.007303769,0.006952405,tumor2,shared,2bWMS
Leptotrichia_wadei_A,0.003989663,0.004695113,tumor2,shared,2bWMS
Malassezia_globosa,2.67e-05,2.18e-05,tumor2,shared,2bWMS
Mogibacterium_diversum,0.016388011,0.018921822,tumor2,shared,2bWMS
Mycobacterium_tuberculosis,0.000460845,0,tumor2,WMS(2bRAD-M) only,2bWMS
Neorhizobium_sp000757525,0,2.99e-05,tumor2,2bRAD-M only,2bWMS
Oribacterium_asaccharolyticum,0.000407446,0.000662568,tumor2,shared,2bWMS
Parvimonas_micra,0.107815947,0.063443394,tumor2,shared,2bWMS
Pauljensenia_marseillensis,0,0.000419904,tumor2,2bRAD-M only,2bWMS
Pauljensenia_meyeri,0,0.000171068,tumor2,2bRAD-M only,2bWMS
Pauljensenia_odontolytica_B,0.00030274,0.000500278,tumor2,shared,2bWMS
Pauljensenia_sp000411415,0.001248108,0.001758524,tumor2,shared,2bWMS
Pauljensenia_sp000466265,0.000326255,0.000566368,tumor2,shared,2bWMS
Pauljensenia_sp000758755,0,0.000205024,tumor2,2bRAD-M only,2bWMS
