id,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
Neisseria_subflava_C,37800614,58815398,45230426,113768874,114652582,43695125,146499020,258861793,161383571,80918816,39372090,133084168,142906344,165762722,282473221,193803459,63819817,193090669,16073258,100364329,130798418,104733485,328125401,196749930
Haemophilus_D_parainfluenzae,22571509,56619233,15860681,28032451,67602653,64801160,17399949,20100341,119359697,149329086,22224142,40951217,93642632,114923989,35587698,23184546,96431184,180133233,15704499,53834975,59539789,150234990,67497164,24995559
Rothia_mucilaginosa,60821369,58864884,5958103,17549996,16484572,13340756,23419548,6046465,82428058,128718254,5242725,33135389,12582399,30756099,29566685,9289923,23734683,70589243,1928618,31406597,20798311,12433677,16279337,6573759
Rothia_aeria,88458526,1058098,1181890,24977336,11633487,1867951,1542555,3722216,74473876,8312634,1975898,21943760,10637888,13991986,12354368,3697533,64745242,14405120,1175319,13805404,23868810,11443285,5548870,1581597
Neisseria_sicca_B,80585139,5410548,6184254,62948148,12669054,2034231,467350,38562915,71380387,15272535,2946025,14910925,6808023,3433373,1043138,23355941,50879574,65822872,2105416,7312321,20186877,4730283,958314,36337470
Neisseria_sp000090875,52223514,107728319,10902240,46391076,56108218,2192231,5247569,11382025,39068379,54510420,19444308,6965765,21503466,10057095,2758823,8337083,35296373,37732935,8690433,1154593,22100731,3125040,1751830,9113065
Haemophilus_A_parahaemolyticus,324797,0,288208,9351199,0,23300,0,426682,36608167,0,3149903,13557533,3735066,0,296066,1342968,56704446,3825154,9458527,13777563,48831296,0,2078504,2844550
Streptococcus_sanguinis,110941639,4184784,23945712,3796414,22268466,476207,1368482,1742198,31379557,12853226,19097056,3679388,13200885,4975630,6908891,972228,13811500,34386228,6957845,1826248,4652084,2143010,1198362,575385
Aggregatibacter_sp000466335,3857824,9753289,795360,2983890,5584498,12487271,8287708,13906066,30536706,52678980,3979722,6150909,7462364,85918848,11980457,11337976,24915610,3024639,1458269,4998633,9080731,47252049,9933298,12161229
Lautropia_dentalis,59081333,401315,0,3793631,21640326,77600,774935,1301328,30069468,38879700,0,237144,4101071,1621659,2489419,603509,22501690,19357003,0,49800,1935683,649113,1029285,213457
Streptococcus_infantis,7327859,4557702,3555242,919806,1692130,4892910,3633040,667178,23606196,1501492,3775729,1548331,3707402,11236353,12655467,818555,11944326,3650971,3010731,1239165,3201791,19876344,13345009,1349759
Lautropia_mirabilis,95370836,7978170,13882530,100322784,54584000,398256,13622099,3311350,21396662,62401745,6981143,8399808,14699912,4602898,7973873,2252038,20944928,32713482,3367654,2363928,8502881,1763188,3499902,1159901
Streptococcus_xiaochunlingii,2804461,15394876,1253294,235377,1243490,2243794,1068535,182116,19496426,5076385,3012773,462483,2140920,7064484,6078834,473030,1914787,1778045,1281965,212581,574282,9263670,1357420,208358
Streptococcus_symci,4038609,2146158,12610428,41912125,2676536,35386618,6401527,7801222,19325831,3864633,56212971,108298233,7877100,66382197,20703329,20656683,137526458,61728048,101666899,134572575,86893543,174513492,54364232,39380534
Porphyromonas_endodontalis,38571482,26133600,90447000,19044056,9547486,2025067,56365432,16089948,18665421,9063278,67373968,6253289,11212432,1828414,22619140,22478985,26227381,3882810,72842174,2627064,6593749,1156187,10898292,10705216
