index,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,10460,6557,6034,3656,2555,2068,4578,2865,7184,3203,8060,5630,3727,6831,9510,5392,32607,5700,11661,13542,13917,2131,8162,6949
d__Bacteria;p__Proteobacteria;__;__;__;__,2018,5543,1373,1534,5924,1588,2237,878,4981,14380,1900,1702,9114,5959,2889,1088,5804,6413,1306,3535,6391,1204,3661,1246
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria,9193,10176,4092,14117,8789,5974,14248,13277,7523,9386,4146,14695,10477,9008,20690,11094,4150,8341,2760,26941,9615,8787,19080,16343
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia,11374,5251,777,1302,1179,905,2686,441,5032,10899,726,1711,1280,2483,4269,1099,5324,4744,535,3157,2458,667,1402,541
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium,2684,11817,1756,1964,2859,1308,6055,1250,1599,3985,2062,1681,4951,1513,2548,2779,2401,594,1757,791,1744,784,1123,2000
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,1392,0,322,1068,4779,611,21,703,1488,0,28,338,542,369,559,1748,5,1607,1206,1524,165,1938,641,2666
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas,1413,1644,3365,2295,5667,2011,3698,3884,1440,650,2874,2208,6781,1944,2053,6682,514,1196,2876,1571,3519,748,1261,8659
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella,1574,1688,21567,5348,8506,6292,11587,7997,2506,644,5879,3450,7587,3252,8676,6573,480,5119,15856,2610,1511,9306,14162,13891
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D,158,2808,300,709,733,358,704,646,581,5154,576,743,1395,1323,897,1032,932,1486,422,1816,1257,236,1240,1322
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;__,8659,467,659,1093,1859,491,583,295,1001,4508,338,717,692,816,412,407,1254,803,178,490,349,121,99,135
