sample_id,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S13_11,S13_12,S13_14,S13_1,S13_2,S13_6,S13_7,S13_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
ActinomyceS,397253,160190,101962,66600,122557,9790,702846,25400,241761,130508,189237,15800,87500,360231,246658,21000,427647,128218,84700,35500,55000,517085,460080,159242,496394,13900,117232,6120,44900,84600,195724,58200
ActinomyceS,0,0,0,13300,0,0,0,0,0,0,0,2590,0,4370,0,1290,0,0,0,0,0,4040,0,2580,0,0,0,1870,0,0,0,0
ActinomyceS,612146,500102,195120,64400,62500,24400,327200,76200,300956,328970,211804,20800,75500,1066023,83800,54800,770790,141705,79700,23600,23300,397954,68200,114437,374794,46500,188637,13300,16900,61800,64700,157999
ActinomyceS,208627,162148,2259535,164836,450987,2544363,2714277,56600,798391,101582,1436704,79800,587264,888403,3143189,88700,127418,44100,1556985,81600,238122,914890,1970789,171237,66600,15800,1214613,58200,244798,618508,1260583,184098
ActinomyceS,21600,21900,105617,31500,10400,1380,40900,4080,18200,31600,114677,9070,13800,25900,16000,3240,22000,14000,80400,19500,0,48300,18800,12300,14900,5310,78700,1410,0,7290,5700,7810
ActinomyceS,182437,127705,164808,76700,48800,13300,227297,21600,182809,375740,297862,61800,172302,207635,176566,25000,164764,91000,133137,59200,160330,298877,110467,49800,137067,42700,277798,25100,43500,145260,131373,25800
ActinomyceS,1849760,181699,129383,60600,173109,19000,458213,14700,960534,361533,375122,26000,105579,993046,179292,15500,940149,81300,247028,40400,133239,661571,329376,60800,649681,53000,252899,13200,52600,259069,98900,12700
ActinomyceS,1417709,4812600,472986,615429,343513,76100,1005970,51800,1495848,3924223,744761,273487,336256,1156236,844293,46600,727182,901889,316196,243600,338173,613173,494330,113118,771216,532473,591105,92800,183141,607327,408446,77200
ActinomyceS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890,0,0,0,0,0,0,0,0,0,0,0,0
ActinomyceS,3111572,1031693,621753,553093,280257,322215,1034541,61800,4387283,936204,1210306,540886,636497,1283496,1298267,100278,5756810,469319,1222899,305249,986120,1094567,1159206,211043,8130905,278490,1196798,444581,669954,1951872,3383876,412251
ActinomyceS,932679,513113,277906,73900,131235,282711,453145,37900,648835,351729,326090,93900,368993,1321085,876443,45400,710353,168536,354625,61500,402136,780587,685529,85400,1224586,65300,414735,64500,205594,1468337,2186748,150736
ActinomyceS,252158,890192,15300,165081,156591,21300,21800,10100,176253,248831,35500,43700,218456,102117,24700,9330,253679,166045,23500,56400,67500,59900,14300,16500,260063,104180,25800,20900,69700,86800,35300,20600
ActinomyceS,692908,143252,217897,178997,99400,41900,437228,36500,270290,206078,287421,63500,119765,144482,283371,55600,760662,44400,135448,60600,97400,124472,149846,44400,771466,23000,217733,38700,34400,182887,369599,79500
ActinomyceS,33300,0,271784,54600,96000,10100,0,7380,28400,18400,329131,73600,147251,107196,6970,3790,23600,0,109943,53600,188452,49500,0,8560,28300,0,285274,30500,79200,214846,9060,7970
ActinomyceS,813178,64800,36500,104815,157647,218848,52700,24800,1113564,78700,67100,104082,369089,2147472,78300,31900,812916,30300,34600,59000,342546,1176362,96300,82200,1086839,14400,57700,42500,170557,4301359,103569,73100
ActinomyceS,0,0,0,0,0,0,0,0,0,0,0,0,0,6490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ActinomyceS,561143,19600,84200,32500,0,7630,704617,1780,436278,14800,199767,45100,0,67600,610875,1280,392170,9990,200613,32000,0,99000,993340,2040,222473,0,275182,21900,0,90100,841080,3030
ActinomyceS,160234,0,175786,44000,0,1010,2756902,18800,175403,35600,531580,17600,0,15200,1339262,19900,231551,18500,137221,7100,0,13500,715116,54000,207795,6350,235788,6290,0,6840,1327986,55400
ActinomyceS,96900,39900,48900,19200,82200,3550,326918,12300,50200,34300,74100,5090,15500,185350,97800,7920,87000,38600,31000,16800,34700,335620,131528,70800,95500,5600,67100,3030,0,32000,118816,23800
ActinomyceS,39900,0,189207,46000,39600,2640,0,18300,0,14700,189892,9960,0,143636,0,14400,21500,0,110277,7980,0,72600,0,89800,0,0,108815,3470,0,29000,0,28200
ActinomyceS,0,0,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1710
ActinomyceS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510,0,0,0,0,0,0,0,844
ActinomyceS,0,0,0,0,0,0,0,0,0,8800,0,1080,0,2000,0,0,0,0,4040,0,0,0,0,0,0,0,1880,1020,0,1720,7870,1180
ActinomyceS,138623,222598,12400,45800,106300,5680,88000,16900,101459,395053,35300,61500,87400,52900,161916,11300,154322,226162,19700,44500,251886,38400,294516,22100,233440,158960,64600,25300,124268,97500,188499,15900
ActinomyceS,0,0,0,618176,61700,9930,0,9340,0,56500,0,99800,55600,123239,0,45600,23000,21200,0,116357,0,129511,0,92300,0,3970,0,59200,62000,37700,0,42100
ActinomyceS,0,0,3150,0,0,2160,0,0,0,9980,0,1740,0,9630,4690,0,0,0,0,0,0,7940,0,0,20700,0,3570,1170,0,15100,0,1070
MobiluncuS,0,0,0,0,0,9720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PauljenSenia,0,75000,19200,0,0,121288,22200,2410,68800,49600,8970,978,28200,22400,61200,4050,0,24000,12900,2070,38200,30800,49400,6030,19700,5530,33400,1640,0,24800,61200,3500
PauljenSenia,0,365476,32700,34600,13000,10200,0,70100,6460,405377,49300,6690,12000,98200,0,208508,0,200931,19000,10300,31300,72200,0,238781,15800,22900,26400,3030,39100,37600,0,139796
PauljenSenia,0,0,0,0,0,12900,0,0,0,0,0,0,0,3180,0,1960,0,0,0,0,0,0,0,2350,0,0,0,0,0,3010,0,1860
PauljenSenia,759465,618301,11100,22800,0,15000,14100,2430,156453,227501,0,14600,45000,81400,9080,5020,313893,198771,10100,18200,0,61000,0,5960,181973,20500,14300,7070,20800,45100,0,5230
PauljenSenia,872283,182351,111450,102626,67800,26100,932143,15500,467060,133673,296612,31200,148600,321458,640770,17600,298962,75900,127266,31500,63200,243664,420562,42500,212035,24500,166211,23600,87200,184759,341551,22300
PauljenSenia,0,49400,47900,22000,75200,130232,59100,10300,21800,41400,20900,13300,66500,12600,162466,20500,0,0,18700,19100,0,9560,41900,0,0,12000,13400,16200,51700,14800,92700,9160
