sample_id,s9_11,s9_12,s9_14,s9_1,s9_2,s9_6,s9_7,s9_9,s11_11,s11_12,s11_14,s11_1,s11_2,s11_6,s11_7,s11_9,s17_11,s17_12,s17_14,s17_1,s17_2,s17_6,s17_7,s17_9
Neisseria,16.74664,17.23322,6.31923,43.14904,18.20629,4.47635,15.98925,31.5359,27.24289,15.6003,5.73493,52.31153,18.15626,19.06562,28.09469,23.05821,13.76003,30.25439,3.73575,47.95871,19.33846,12.04086,32.81827,25.20407
Haemophilus_D,2.20366,5.42328,1.40827,2.51888,6.18405,5.86903,1.65341,1.72841,11.78939,14.59584,1.95776,3.91995,8.80125,11.21701,3.39341,1.94924,7.79744,17.80822,1.27379,5.1434,5.6732,14.7339,6.56616,2.10778
Rothia,14.89321,5.83624,0.72113,3.83875,2.57214,1.86224,3.03241,0.91177,16.37793,14.70195,0.88259,5.31189,2.20037,6.83908,5.66531,1.19634,8.36434,10.16587,0.5333,4.35489,4.39782,4.36733,2.95212,0.73979
Haemophilus_A,0.12406,0.52462,0.75903,0.91494,1.69128,0.13888,0.52081,0.04379,4.24999,0.64948,2.54564,1.43862,3.54174,1.79787,0.56826,0.12208,6.58483,0.95504,1.8225,1.41632,7.65,1.14264,0.93472,0.25671
Streptococcus,12.87329,3.49923,7.19072,4.55256,2.71857,5.14877,2.29203,2.5306,10.06446,2.91778,12.70431,11.89071,2.87288,11.02766,8.20314,3.94707,14.07122,10.5356,11.59594,13.70801,9.51462,23.16801,8.9339,4.74343
Aggregatibacter,0.37664,1.10908,1.49337,0.49248,0.8911,1.26243,1.1165,1.74726,3.01617,6.07573,3.25096,1.06412,2.47192,9.38565,1.52726,1.56997,2.05116,0.95061,1.80687,1.21055,2.622,5.59842,1.50263,1.57419
Lautropia,15.07919,0.80263,1.23263,9.35547,6.97273,0.0431,1.3382,0.39664,5.08341,9.89953,0.61498,0.82675,1.76706,0.60754,0.97718,0.24008,3.5131,5.14776,0.27315,0.23061,0.99463,0.23658,0.43396,0.11581
Porphyromonas,4.0302,3.29068,9.12493,4.25909,13.1638,10.86347,7.95363,12.01947,2.6153,1.77224,7.42011,4.04983,14.93167,6.50481,4.47362,13.67619,3.42386,2.27956,6.79872,4.71772,11.47027,7.59055,3.43003,14.71507
Fusobacterium,7.51957,9.98212,3.00465,2.7512,9.3303,1.95582,10.2659,2.18728,2.79422,2.86295,4.63316,1.10921,9.67578,2.49982,3.7976,3.24406,4.33416,2.52709,3.15419,0.63401,7.20002,1.85824,2.61747,2.73232
Veillonella,0.72172,0.51853,2.56621,0.47449,1.54375,8.10679,3.57181,0.77985,1.40671,0.53732,1.98858,0.25139,2.21333,2.62386,3.24889,0.83716,0.49316,0.28203,2.268,0.12733,0.47682,2.24375,3.01991,0.90955
Alloprevotella,1.60632,0.42803,4.10767,0.32895,3.93807,13.76348,5.07524,4.6629,0.84959,0.497,4.58158,0.48141,3.23905,2.17307,3.63791,4.84132,1.21526,0.53851,7.91068,1.36684,4.10675,4.08675,4.99866,6.94542
Corynebacterium,0.34639,0.26069,0.12125,0.06397,0.05556,0.08634,0.67697,0.18911,0.83685,0.28815,0.4199,0.14431,0.06026,1.6615,0.45223,0.15274,0.57408,0.05166,0.31038,0.1104,0.1119,1.64534,0.1759,0.09292
Prevotella,2.96083,6.1082,25.85114,4.89815,7.16929,22.3651,11.638,11.82657,2.28441,4.99356,13.41718,2.35229,6.63585,2.22102,11.02411,12.18763,4.59425,1.53944,19.53486,1.53536,5.48027,2.60888,14.6703,10.5526
Gemella,0.30813,0.5832,1.10253,1.29032,0.32503,0.59987,0.23858,0.34764,1.37694,0.16214,3.22063,1.92131,0.73548,2.59166,0.91118,0.63332,1.52317,1.73832,1.60728,1.93703,0.36388,3.11757,0.79226,0.41068
Hornefia,0.44553,0.36143,2.5221,0,0.54274,0.01245,0,0.30442,0.63651,0.1906,3.62446,0,0.79822,0.01808,0.00508,0.45155,0.54877,0.05306,1.90361,0,0.60288,0.01403,0,0.16489
Eubacterium_M,1.51511,1.32777,1.17188,0.28704,0.21664,0.01733,0.04318,0.07695,0.5978,0.42113,1.78212,0.13919,0.62879,0.07397,0.04885,0.12084,0.43627,0.1558,0.93683,0.05401,0.41579,0.04748,0.02291,0.05953
F0058,2.17553,4.69245,0.73807,0.12345,0.30476,0.0535,1.31677,0.63707,0.55578,1.33501,0.69158,0.11536,0.36036,0.33298,0.45714,0.45472,0.66313,0.38962,0.7197,0.0429,0.13666,0.10463,0.12135,0.25099
Filifactor,0.95231,2.6847,3.89971,1.2351,2.44798,0.06027,2.60776,0.58004,0.5479,0.85661,3.79491,0.39693,2.1849,0.11901,0.81662,0.87648,0.61418,0.30263,2.30095,0.14951,1.41602,0.06724,0.27103,0.36414
Actinomyces,0.40522,0.35133,0.20302,0.09118,0.01579,0.29699,0.53011,0.02142,0.71739,0.36194,0.14629,0.11906,0.03261,0.52855,0.59521,0.02191,0.74633,0.06294,0.11134,0.0675,0,0.30852,0.63637,0.08086
Parvimonas,1.55991,0.46621,0.35086,0.06329,0.29506,0.45877,0.29324,0.16769,0.46924,0.56612,0.69448,0.03887,0.38423,0.44524,0.24026,0.33509,0.3023,0.21644,0.24772,0.02659,0.37107,0.49146,0.09762,0.1627
Metamycoplasma,0.62829,0.728,4.92431,2.45302,4.77627,0.03176,1.76671,0.74352,0.41297,0.43968,5.28006,0.90478,2.8962,0.03321,0.68058,0.89957,0.56309,0.17174,2.74454,0.40678,1.94915,0.02982,0.29423,0.45635
Granulicatella,0.07301,0.15066,0.31567,0.32079,0.16527,0.69067,0.26283,0.34785,0.71937,0.22196,1.23723,1.40466,0.19954,1.91693,1.40769,0.51771,0.17491,0.86197,1.4401,2.11669,0.5538,2.31484,1.30317,0.66286
Mogibacterium,0.29938,0.40536,0.58222,0.00695,0.31508,0.11135,0.16576,0.03699,0.34874,0.43805,0.68377,0.0208,0.42911,0.03624,0.27939,0.07449,0.3344,0.07334,0.48818,0.01488,0.38417,0.04268,0.1761,0.03212
Tannerella,1.55374,4.4869,1.6268,0.56404,2.28286,0.22561,2.75171,0.71739,0.48917,2.16517,1.63292,0.24409,2.22576,0.34509,0.90381,0.80512,0.72208,0.42793,1.42759,0.10424,1.40527,0.07493,0.42636,0.44123
Nanosynbacter,0.16673,0.2037,0.00424,0.02365,0.01777,2.26431,2.06646,0.02953,0.30538,0.07796,0,0.02198,0.04215,0.08174,4.32384,0.05454,0,0.02345,0,0.01041,0,0.08528,2.53882,0.04797
Treponema,0.9924,0.90065,0.39452,0.29205,0.18076,0.02309,0.50259,0.24871,0.29766,0.38628,0.11285,0.08075,0.02616,0.02797,0.11878,0.33186,0.25891,0.09314,0.17641,0.03677,0.04034,0.00996,0.08621,0.18625
Campylobacter_A,0.92818,3.21654,1.93509,1.01261,2.08168,0.55743,1.33399,0.46831,0.26455,0.78903,1.51785,0.28908,2.42397,0.19758,0.62583,0.35828,0.2643,0.18505,0.50795,0.09687,1.90076,0.12062,0.46009,0.28229
Cardiobacterium,0.37632,2.52857,0.09268,0.02316,0.11306,0.01157,0.33124,0.16851,0.25713,1.40746,0.14127,0.1028,0.11491,0.21003,0.17954,0.19074,0.29767,0.31131,0.04799,0.07183,0.16905,0.0995,0.06774,0.15032
Leptotrichia,0.6843,0.15702,1.66866,0.31908,0.20016,0.31023,2.36391,0.36019,0.4332,0.23008,4.34452,0.15763,0.00822,1.00132,0.93821,0.45778,0.10787,0.2249,1.51937,0.06979,0.12088,0.349,0.46267,0.24883
Bacteroides_D,0.64776,1.04427,0.33917,0.11518,0.03498,0.0032,1.31231,0.0607,0.19176,0.71285,0.2159,0.03784,0,0.02329,0.43962,0.0546,0.07794,0.11999,0.16466,0.00754,0,0.00153,0.16881,0.05819
Nanoperiomorbus,0.58141,0.04264,0.40066,0.06828,0.26435,0.01277,0.63226,0.06666,0.17514,0.12647,0.05851,0.04347,0.20593,0.10265,0.1826,0.05675,0.13747,0.00716,0.12869,0.02213,0.0401,0.03512,0.12928,0.05022
