sample_id,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
ActinomyceS_dentaliS,397253,160190,101962,66600,122557,9790,702846,25400,241761,130508,189237,15800,87500,360231,246658,21000,496394,13900,117232,6120,44900,84600,195724,58200
ActinomyceS_denticolenS,0,0,0,13300,0,0,0,0,0,0,0,2590,0,4370,0,1290,0,0,0,1870,0,0,0,0
ActinomyceS_gerencSeriae,612146,500102,195120,64400,62500,24400,327200,76200,300956,328970,211804,20800,75500,1066023,83800,54800,374794,46500,188637,13300,16900,61800,64700,157999
ActinomyceS_graevenitzii,208627,162148,2259535,164836,450987,2544363,2714277,56600,798391,101582,1436704,79800,587264,888403,3143189,88700,66600,15800,1214613,58200,244798,618508,1260583,184098
ActinomyceS_iSraelii,21600,21900,105617,31500,10400,1380,40900,4080,18200,31600,114677,9070,13800,25900,16000,3240,14900,5310,78700,1410,0,7290,5700,7810
ActinomyceS_johnSonii,182437,127705,164808,76700,48800,13300,227297,21600,182809,375740,297862,61800,172302,207635,176566,25000,137067,42700,277798,25100,43500,145260,131373,25800
ActinomyceS_maSSilienSiS,1849760,181699,129383,60600,173109,19000,458213,14700,960534,361533,375122,26000,105579,993046,179292,15500,649681,53000,252899,13200,52600,259069,98900,12700
ActinomyceS_naeSlundii,1417709,4812600,472986,615429,343513,76100,1005970,51800,1495848,3924223,744761,273487,336256,1156236,844293,46600,771216,532473,591105,92800,183141,607327,408446,77200
ActinomyceS_oriS,3111572,1031693,621753,553093,280257,322215,1034541,61800,4387283,936204,1210306,540886,636497,1283496,1298267,100278,8130905,278490,1196798,444581,669954,1951872,3383876,412251
ActinomyceS_oriS_A,932679,513113,277906,73900,131235,282711,453145,37900,648835,351729,326090,93900,368993,1321085,876443,45400,1224586,65300,414735,64500,205594,1468337,2186748,150736
ActinomyceS_oriS_B,252158,890192,15300,165081,156591,21300,21800,10100,176253,248831,35500,43700,218456,102117,24700,9330,260063,104180,25800,20900,69700,86800,35300,20600
ActinomyceS_oriS_C,692908,143252,217897,178997,99400,41900,437228,36500,270290,206078,287421,63500,119765,144482,283371,55600,771466,23000,217733,38700,34400,182887,369599,79500
ActinomyceS_oriS_D,33300,0,271784,54600,96000,10100,0,7380,28400,18400,329131,73600,147251,107196,6970,3790,28300,0,285274,30500,79200,214846,9060,7970
ActinomyceS_oriS_E,813178,64800,36500,104815,157647,218848,52700,24800,1113564,78700,67100,104082,369089,2147472,78300,31900,1086839,14400,57700,42500,170557,4301359,103569,73100
ActinomyceS_ruminicola,0,0,0,0,0,0,0,0,0,0,0,0,0,6490,0,0,0,0,0,0,0,0,0,0
ActinomyceS_Sp000195595,561143,19600,84200,32500,0,7630,704617,1780,436278,14800,199767,45100,0,67600,610875,1280,222473,0,275182,21900,0,90100,841080,3030
ActinomyceS_Sp000220835,160234,0,175786,44000,0,1010,2756902,18800,175403,35600,531580,17600,0,15200,1339262,19900,207795,6350,235788,6290,0,6840,1327986,55400
ActinomyceS_Sp001278845,96900,39900,48900,19200,82200,3550,326918,12300,50200,34300,74100,5090,15500,185350,97800,7920,95500,5600,67100,3030,0,32000,118816,23800
ActinomyceS_Sp002999235,39900,0,189207,46000,39600,2640,0,18300,0,14700,189892,9960,0,143636,0,14400,0,0,108815,3470,0,29000,0,28200
ActinomyceS_Sp004010955,0,0,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1710
ActinomyceS_Sp011751985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844
ActinomyceS_Sp011752065,0,0,0,0,0,0,0,0,0,8800,0,1080,0,2000,0,0,0,0,1880,1020,0,1720,7870,1180
ActinomyceS_Sp900323545,138623,222598,12400,45800,106300,5680,88000,16900,101459,395053,35300,61500,87400,52900,161916,11300,233440,158960,64600,25300,124268,97500,188499,15900
ActinomyceS_timonenSiS,0,0,0,618176,61700,9930,0,9340,0,56500,0,99800,55600,123239,0,45600,0,3970,0,59200,62000,37700,0,42100
ActinomyceS_viScoSuS,0,0,3150,0,0,2160,0,0,0,9980,0,1740,0,9630,4690,0,20700,0,3570,1170,0,15100,0,1070
MobiluncuS_curtiSii,0,0,0,0,0,9720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PauljenSenia_boucheSdurhonenSiS,0,75000,19200,0,0,121288,22200,2410,68800,49600,8970,978,28200,22400,61200,4050,19700,5530,33400,1640,0,24800,61200,3500
PauljenSenia_cardiffenSiS,0,365476,32700,34600,13000,10200,0,70100,6460,405377,49300,6690,12000,98200,0,208508,15800,22900,26400,3030,39100,37600,0,139796
PauljenSenia_culturomici,0,0,0,0,0,12900,0,0,0,0,0,0,0,3180,0,1960,0,0,0,0,0,3010,0,1860
PauljenSenia_georgiae,759465,618301,11100,22800,0,15000,14100,2430,156453,227501,0,14600,45000,81400,9080,5020,181973,20500,14300,7070,20800,45100,0,5230
PauljenSenia_hongkongenSiS,872283,182351,111450,102626,67800,26100,932143,15500,467060,133673,296612,31200,148600,321458,640770,17600,212035,24500,166211,23600,87200,184759,341551,22300
PauljenSenia_marSeillenSiS,0,49400,47900,22000,75200,130232,59100,10300,21800,41400,20900,13300,66500,12600,162466,20500,0,12000,13400,16200,51700,14800,92700,9160
PauljenSenia_mediterranea,0,0,0,0,0,966,0,1070,0,0,0,0,0,0,0,2370,0,0,3350,436,0,1280,0,2280
