	s__Gemella_haemolysans_A	s__Granulicatella_sp001058355	s__Prevotella_melaninogenica	s__Rothia_mucilaginosa_A	s__Granulicatella_elegans	s__Porphyromonas_sp000467855	s__Rothia_dentocariosa	s__Rothia_mucilaginosa	s__Abiotrophia_sp001815865	s__Prevotella_sp000257925	s__F0040_sp900095835	s__Lancefieldella_sp000564995	s__Leptotrichia_wadei_A	s__Aggregatibacter_aphrophilus	s__Prevotella_sp000163055	s__Neisseria_sp000090875	s__Fusobacterium_polymorphum	s__Leptotrichia_buccalis	s__Aggregatibacter_kilianii	s__Oribacterium_asaccharolyticum	s__Streptococcus_mutans	s__Capnocytophaga_sputigena	s__Leptotrichia_hongkongensis	s__Leptotrichia_sp002240055	s__Cardiobacterium_hominis	s__Actinomyces_vulturis	s__Fusobacterium_C_gonidiaformans	s__Prevotella_shahii	s__Porphyromonas_sp000768875	s__Corynebacterium_matruchotii	s__Veillonella_rogosae	s__SDRW01_sp007845485	s__Kingella_B_oralis	s__Gemella_morbillorum	s__Capnocytophaga_granulosa	s__Capnocytophaga_sp000318275	s__Prevotella_scopos	s__Haemophilus_D_pittmaniae	s__Fusobacterium_nucleatum_J	s__Capnocytophaga_leadbetteri	s__Leptotrichia_shahii	s__Pauljensenia_odontolytica_C	s__Streptobacillus_notomytis	s__Neisseria_sp002237445	s__Leptotrichia_A_sp001274535	s__Fusobacterium_animalis	s__Peptostreptococcus_canis	s__Anaeroglobus_micronuciformis	s__Lachnoanaerobaculum_orale	s__Pseudoleptotrichia_goodfellowii	s__F0428_sp003043955	s__Mogibacterium_diversum	s__UBA2866_sp004138405	s__Aureimonas_A_sp001425485	s__Prevotella_oulorum	s__Centipeda_sp001717585	s__Prevotella_oris	s__Eubacterium_B_infirmum	s__Prevotella_conceptionensis	s__Pauljensenia_pyogenes_A	s__Paraprevotella_clara	s__Prevotella_sp000599605	s__Streptococcus_intermedius	s__Pauljensenia_sp000185285	s__Dialister_sp900543165	s__Ottowia_sp001262075	s__HOT-345_sp013333605	s__Porphyromonas_endodontalis	s__Actinomyces_massiliensis	s__Porphyromonas_catoniae	s__Fusobacterium_nucleatum	s__Prevotella_sp900540375	s__Prevotella_intermedia	s__Prevotellamassilia_sp002933955	s__GN02-872_sp002761215	s__F0058_sp000163695	s__RZZT01_sp010014525	s__Prevotella_micans	s__GN02-873_sp003260345	s__Suttonella_indologenes	s__Fructilactobacillus_lindneri	s__Simonsiella_muelleri	s__Veillonella_atypica	s__Prevotella_saccharolytica	s__SZUA-359_sp003246575	s__Bergeyella_A_cardium	s__Centipeda_massiliensis	s__Capnocytophaga_endodontalis	s__Capnocytophaga_stomatis	s__Prevotella_nigrescens	s__Treponema_medium	s__Ancrocorticia_sp014041995	s__UBA2866_sp007845165	s__Scardovia_wiggsiae	s__UBA1103_sp013333515	s__Neisseria_bacilliformis	s__Selenomonas_sputigena	s__Arachnia_propionica	s__Corynebacterium_argentoratense	s__Pauljensenia_odontolytica	s__Capnocytophaga_ochracea	s__UBA8529_sp013141385	s__Aminipila_butyrica	s__Metamycoplasma_orale	s__Actinomyces_sp001278845	s__Tannerella_sp002890585	s__Eikenella_corrodens	s__Treponema_D_sp002393835	s__Haemophilus_aegyptius	s__Tannerella_sp003033925	s__Allisonella_pneumosintes	s__Streptococcus_constellatus	s__Peptoanaerobacter_yurii	s__Prevotella_pleuritidis	s__Centipeda_sp000315545	s__Limosilactobacillus_fermentum	s__Treponema_sp000775995	s__Eubacterium_N_saphenum	s__Leptotrichia_sp013394795	s__Eubacterium_M_brachy	s__Parvimonas_micra	s__Treponema_vincentii	s__Lancefieldella_rimae	s__Treponema_C_lecithinolyticum	s__Parvimonas_sp000214475	s__Weissella_hellenica_B	s__Johnsonella_sp900766185	s__Parascardovia_denticolens	s__Mogibacterium_timidum	s__Treponema_D_sp000619925	s__Moraxella_catarrhalis	s__Propionibacterium_cyclohexanicum	s__Treponema_B_denticola	s__Rodentibacter_sp901420285	s__Porphyromonas_gingivalis	s__Oribacterium_sp000160135	s__UBA1191_sp900066305	s__Vallitalea_A_okinawensis	s__Prevotella_oralis	s__Anaeroglobus_geminatus	s__Agathobaculum_sp900291975	s__Naumannella_cuiyingiana	s__Kroppenstedtia_eburnea	s__Akkermansia_muciniphila	s__Reyranella_sp001557035	s__Bordetella_pertussis
S_0313206	0.059037239	0.095532987	0.22013046	0.12897366	0.016348774	0.141854512	0.021715796	0.00181653	0.019981835	0.016101065	0.02650483	0.001651391	0.008091817	0.007100983	0.130625052	0.002394517	0.008834943	0.005862439	0.006275287	0.001321113	0.001403683	0.004706465	0	0.003550491	0.00198167	0.008174387	0.00198167	0	0	0.002146809	0.001568822	0.001155974	0.000743126	0.003055074	0.015935926	0.002972504	0.003467922	0.001073404	0	0.006440426	0.004045909	0	0	0	0.003137643	0	0.001321113	0	0	0	0	0.000660557	0.000743126	0.000330278	0	0	0	0.000412848	0	0	0.002807365	0.002972504	0	0	0	0.000743126	0	0.000990835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000908265	0	0	0	0	0	0	0	0.000412848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_0313207	0.095214481	0.105504587	0.040540541	0.072402678	0.020084304	0.167121249	0.029010662	0.110587652	0.034341681	0.011157947	0.028266799	0.001487726	0.00309943	0.013265559	0.011281924	0.01586908	0.005950905	0	0.006570791	0.002231589	0	0.00483511	0.003223407	0.001363749	0.001611703	0.015497149	0.136994793	0.005702951	0	0.005207042	0.005950905	0.002355567	0.004959088	0.004215224	0.006942723	0	0.001735681	0	0	0.002355567	0	0	0.001363749	0	0	0	0.00086784	0	0	0	0.000991818	0.001115795	0.000495909	0	0	0	0	0.000991818	0.007190677	0.003347384	0	0	0	0	0.000247954	0.002603521	0	0	0	0	0	0	0	0	0	0.000495909	0	0	0	0	0	0.001239772	0	0	0	0	0	0.000247954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001115795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000743863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_0313216	0.102074517	0.091650325	0.043244917	0.024976778	0.023119001	0.242955929	0.080606874	0.061409846	0.085767365	0.008566416	0.019713077	0.002580246	0.008876045	0.018990608	0.022706162	0.00619259	0.014242956	0.002477036	0.011353081	0.001960987	0.010527402	0.012591599	0.004231603	0	0.004334813	0.008566416	0.001548147	0.002064197	0	0.004541232	0	0	0.002889875	0.010011353	0.020641965	0.001754567	0	0	0	0.005263701	0.000928888	0	0	0.003921973	0.007843947	0	0.001135308	0	0	0.003302714	0	0.000516049	0	0	0	0	0.003199505	0	0	0	0.001444938	0	0.001960987	0	0.000619259	0.001135308	0	0	0	0	0	0.005263701	0.000722469	0	0	0.001135308	0	0	0	0	0	0	0	0	0	0	0.000619259	0.001135308	0	0	0	0	0	0.000412839	0	0	0	0	0	0	0	0	0	0	0	0.001857777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000412839	0	0	0	0	0	0
S_0313218	0.07601524	0.063098225	0.066350711	0.236316328	0.027042096	0.147755786	0.030201654	0.005018121	0.014589722	0.046835796	0.066815352	0.003345414	0.005296905	0.009478673	0.046092371	0.002880773	0.011708949	0.016076573	0.005018121	0.000929282	0.001208066	0.003717127	0	0.006412043	0.002694917	0.017563423	0.001115138	0.003345414	0	0.006969612	0	0.011708949	0.001765635	0.002880773	0.012917015	0.002973701	0	0	0	0	0.006504972	0	0.004460552	0	0.005761546	0	0.001672707	0.000836353	0.001300994	0	0.001115138	0.001579779	0.000650497	0	0	0.003159558	0	0.003252486	0	0.002230276	0.002880773	0.001300994	0	0	0.000371713	0.002787845	0	0	0	0	0	0	0	0.000743425	0	0	0	0	0.000278784	0.000464641	0	0.000557569	0	0	0	0.000836353	0.000464641	0.000650497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_0313222	0.098532227	0.114613912	0.133248245	0.161582642	0.017230377	0.149968092	0.022463306	0	0.017613274	0.013656669	0.022080408	0.004594767	0.002807913	0.007019783	0.096234844	0.006381621	0.011231653	0.00740268	0.004722399	0.002169751	0	0.00319081	0.007530313	0.003318443	0.007019783	0.004977664	0	0.010210593	0	0.002935546	0	0	0.001403957	0.001403957	0.016975112	0	0.000893427	0	0	0.001914486	0	0.009061902	0	0.014932993	0.002935546	0	0.002042119	0.00051053	0	0.002042119	0.000765795	0.00051053	0	0	0	0	0	0.001021059	0	0	0	0	0	0	0	0.003318443	0.000893427	0.000255265	0	0.001276324	0	0	0	0	0.00051053	0.000382897	0	0	0.003573708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000638162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1211209	0.327788461	0.070865385	0.02125	0.090961538	0.043557692	0.095769231	0.075192308	0.003365385	0.039807692	0.003557692	0.006634615	0.007403846	0.007788462	0.061442308	0.007596154	0.018076923	0.008461538	0.012692308	0.014423077	0.002211538	0.000961538	0.006057692	0.002596154	0.003269231	0.003076923	0.004230769	0.000865385	0	0	0.003557692	0.001730769	0.001826923	0.003173077	0.004519231	0.001826923	0.002115385	0	0	0	0.002019231	0.004711538	0	0	0.001634615	0.003942308	0.003076923	0.000288462	0.00125	0	0	0	0.000865385	0	0	0	0.002211538	0.002788462	0.00125	0	0	0	0	0	0	0	0.000673077	0	0.00625	0	0	0	0	0	0	0.000288462	0.00125	0	0.000576923	0	0.003365385	0	0.002884615	0	0	0	0	0	0.000673077	0	0	0	0	0	0	0	0	0.000865385	0	0	0	0	0.000192308	0.000288462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1211212	0.109885687	0.107551119	0.139108034	0.04620834	0.036145548	0.089438094	0.035984544	0.00378361	0.022460151	0.066816938	0.032039929	0.007164708	0.022138142	0.020850105	0.028175817	0.001690549	0.025036226	0.004749638	0.010143294	0.002254065	0	0.015214941	0.003703107	0.007808726	0.004025117	0.013363388	0.001288037	0.004427628	0	0.001610047	0	0.00136854	0.004266624	0.005715666	0.022540654	0.003220093	0.025358235	0	0	0.004991145	0.003542103	0	0.004266624	0	0.009418773	0.002495572	0.001771051	0.003139591	0.00136854	0.002576075	0.002978586	0.002334568	0	0.000402512	0	0	0.000483014	0.001127033	0.000805023	0	0.006923201	0.000805023	0	0.000805023	0.000885526	0.000966028	0.000885526	0.001449042	0	0.002012558	0	0.000966028	0	0.002334568	0.000402512	0.001932056	0	0.000322009	0.000241507	0.001529544	0	0	0	0	0	0.000805023	0.001610047	0.000563516	0.001207535	0	0	0	0.001851554	0	0.000966028	0	0	0.000483014	0	0	0	0	0	0	0	0	0.000805023	0	0	0.001127033	0	0	0	0.000885526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1212203	0.228709572	0.031061133	0.014981136	0.042122999	0.075821398	0.092633969	0.039412476	0.004798359	0.018277719	0.010292663	0.12153401	0.002124464	0.005164646	0.032746053	0.016885828	0.001465148	0.020292297	0.017325373	0.003296583	0.001904692	0.000732574	0.010695579	0.002637266	0.016153254	0.013222959	0.00505476	0	0.005970477	0	0.00307681	0.000586059	0.010768836	0.003772756	0.011245009	0.026445918	0.004578587	0	0	0.002197722	0.004175671	0.014395077	0.000439544	0.009376946	0.001721549	0.015933482	0.002637266	0.000622688	0.000622688	0.000732574	0	0.000732574	0.000586059	0.000366287	0	0.000622688	0.001758177	0.004285557	0.00054943	0.003662869	0	0.004871616	0	0.000695945	0.000476173	0.000402916	0.001025603	0.004285557	0.001904692	0.000476173	0.004102414	0	0.00113549	0	0	0.004395443	0.002087836	0	0.002380865	0.001428519	0	0	0	0	0.001355262	0	0.001282004	0.001062232	0.000476173	0.00029303	0.00029303	0	0	0	0	0	0	0	0.000219772	0	0	0.000622688	0.000659317	0	0	0	7.33E-05	0.000622688	0	0	0	0	0	7.33E-05	0.00054943	0	0	0	0	0.000512802	0	0	0.000329658	0	0	0	0	0.00029303	0	0	0	0.000256401	0	0	0	0	0	0	0	0	0.000146515	0	0	0	0	0	0
S_1213209	0.040963038	0.070261105	0.066937945	0.16269922	0.009562564	0.121871821	0.026653103	0.010308579	0.008273991	0.013224822	0.056290268	0.00847745	0.016344524	0.00508647	0.019532045	0.00332316	0.00684978	0.013360461	0.005289929	0.004883011	0	0.021837911	0	0.00339098	0.006510682	0.134147169	0	0.001220753	0	0.004883011	0.017226178	0.005832486	0.001017294	0.001017294	0.015123771	0	0	0.001356392	0	0.00332316	0.007256697	0.024889793	0.001356392	0.00678196	0.039199729	0	0.001152933	0.00162767	0.000746016	0	0.001220753	0.001017294	0	0	0	0.003526619	0.000135639	0.000813835	0	0	0.00176331	0.001356392	0	0.000542557	0	0.004476094	0.001017294	0	0.000406918	0.002170227	0	0	0.004136996	0	0.000271278	0.001356392	0	0.000406918	0.000542557	0	0	0.00176331	0	0.000678196	0	0	0.000949474	0.000271278	0	0	0	0	0	0	0.000135639	0	0.000610376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000339098	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1213211	0.122593848	0.041823879	0.054805909	0.08377566	0.056724436	0.100019185	0.038690286	0.004604464	0.012214619	0.009464731	0.019057364	0.008313615	0.075589947	0.005883481	0.0108077	0.010360043	0.024940845	0.063311377	0.007546205	0.049881691	0	0.006970647	0.012790177	0.016179574	0.006139285	0.018353904	0	0	0	0.013237833	0.010615847	0.00940078	0.004092857	0.002494085	0.001598772	0.000383705	0.00147087	0.019888725	0	0.003325446	0.002366183	0.008505468	0	0.004156808	0.010615847	0.002366183	0.000767411	0.001406919	0.001662723	0	0.003261495	0.000383705	0	0	0	0.00505212	0.001023214	0.00070346	0.006650892	0.004220758	0	0	0	0.001023214	0.000319754	0.001151116	0	0	0.001726674	0.001534821	0	0	0	0.000959263	0.000319754	0.000831362	0	0	0.000511607	0	0	0.000831362	0	0.000895312	0	0.002813839	0.001918527	0.001406919	0.000767411	0	0	0.000831362	0	0	0.000319754	0	0	0	0	0	0.00070346	0	0	0	0.000639509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
