	s__Streptococcus_vestibularis	s__Rothia_mucilaginosa_B	s__Granulicatella_sp001071995	s__Neisseria_subflava_C	s__Lautropia_mirabilis	s__Rothia_sp001808955	s__Rothia_aeria	s__TM7x_sp007845355	s__Veillonella_parvula	s__Prevotella_melaninogenica_A	s__Fusobacterium_pseudoperiodonticum	s__Akkermansia_muciniphila_B	s__Abiotrophia_defectiva	s__Streptococcus_koreensis	s__Prevotella_histicola	s__Streptococcus_parasanguinis_C	s__Haemophilus_D_sp001815355	s__Haemophilus_D_parainfluenzae	s__Peptostreptococcus_stomatis	s__Porphyromonas_sp000769075	s__UMGS1907_sp004151455	s__Haemophilus_sp002998595	s__Fusobacterium_C_necrophorum	s__Streptococcus_parasanguinis_A	s__Mogibacterium_pumilum	s__Leptotrichia_wadei	s__Bulleidia_extructa	s__Aggregatibacter_segnis	s__Leptotrichia_massiliensis	s__CAG-354_sp900552655	s__Haemophilus_A_sputorum	s__COE1_sp000403215	s__Streptococcus_ratti	s__Duncaniella_dubosii	s__Cutibacterium_sp009696315	s__Capnocytophaga_sp002999135	s__CAG-485_sp002493045	s__Fusobacterium_nucleatum_E	s__Prevotella_sp000467895	s__Capnocytophaga_gingivalis	s__Fusobacterium_nucleatum_D	s__Neisseria_elongata	s__Kingella_A_denitrificans	s__Oribacterium_parvum	s__Neisseria_bergeri	s__Prevotella_pallens	s__CAG-873_sp011959565	s__Eubacterium_B_sulci	s__Leptotrichia_sp001553645	s__Aggregatibacter_segnis_A	s__Parabacteroides_merdae	s__F0040_sp003639005	s__UBA5532_sp002426885	s__Streptococcus_peroris	s__Cardiobacterium_valvarum	s__F0422_sp003999875	s__Fusobacterium_vincentii	s__Prevotella_salivae	s__Leptotrichia_A_sp000469505	s__GN02-872_sp003260325	s__Catonella_morbi	s__Campylobacter_B_gracilis	s__Lachnoanaerobaculum_sp000209465	s__Streptococcus_sp004166885	s__UBA2866_sp003979185	s__HOT-345_sp003260355	s__Lancefieldella_parvula	s__Campylobacter_A_showae	s__Desulfovibrio_desulfuricans	s__JABCPE02_sp013333255	s__Parabacteroides_distasonis	s__Actinomyces_oris	s__Phocaeicola_sartorii	s__Bacteroides_acidifaciens	s__Prevotella_marshii	s__Arachnia_sp900607225	s__Actinomyces_graevenitzii	s__Corynebacterium_durum	s__Bacillus_H_clausii	s__Helicobacter_C_hepaticus	s__Longibaculum_muris	s__Parabacteroides_goldsteinii	s__Peptoanaerobacter_margaretiae	s__Porphyromonas_gingivicanis	s__Leptotrichia_hofstadii	s__Fannyhessea_vaginae	s__Parvimonas_sp000223315	s__Alloprevotella_tannerae	s__Gemella_haemolysans_B	s__Fructilactobacillus_fructivorans	s__Prevotella_copri	s__UBA1103_sp004136275	s__Treponema_B_putidum	s__F0040_sp003859795	s__Dolosigranulum_pigrum	s__Streptococcus_constellatus_A	s__Granulicatella_adiacens	s__Sphingomicrobium_sp003097155	s__CAG-317_sp011960265	s__Bacteroides_stercoris	s__Paraprevotella_sp003477995	s__Alloprevotella_rava	s__Ottowia_sp003859965	s__Capnocytophaga_sp000192225	s__Ruminiclostridium_E_siraeum	s__Dialister_invisus	s__Flavisolibacter_ginsengisoli	s__Paraflavitalea_soli	s__NM07-P-09_sp004793925	s__DTNO01_sp011358525	s__Odoribacter_splanchnicus	s__Pedosphaera_parvula	s__Lachnoanaerobaculum_gingivalis	s__Treponema_sp010365865	s__Bacteroides_ovatus	s__Limosilactobacillus_sp014145545	s__Lactobacillus_taiwanensis	s__Helicobacter_A_muridarum	s__UBA1067_sp004551905	s__CAJARJ01_sp013335325	s__Peptidiphaga_sp000466165	s__Neisseria_denitrificans	s__DUUS01_sp012841465	s__Ruminococcus_E_sp003438075	s__ETA-A8_sp007747655	s__Peptidiphaga_gingivicola	s__Duncaniella_sp001689575	s__Streptobacillus_hongkongensis	s__Phocaeicola_coprocola	s__UBA7182_sp009774135	s__Centipeda_felix	s__Koribacter_versatilis	s__UBA8199_sp003527065	s__Faecalibacillus_sp003480255	s__UBA2658_sp002841545	s__UBA3282_sp003612405	s__Flavisolibacter_sp013327885	s__Sphingomicrobium_sp014352855	s__ASTD01_sp009830285	s__Metamycoplasma_hyosynoviae	s__Fretibacterium_sp003860125	s__Prevotella_aurantiaca	s__UBA9145_sp902531515	s__Thermomonas_carbonis	s__Povalibacter_uvarum	s__SHUZ01_sp009694415	s__Treponema_C_maltophilum	s__Acinetobacter_guillouiae	s__Erysipelatoclostridium_sp000508865	s__Dialister_sp900538805	s__Capnocytophaga_haemolytica	s__Turicibacter_sp001543345	s__Bacteroides_fragilis	s__UBA1820_sp003150615	s__Clostridium_disporicum_A	s__Zag111_sp002102825	s__Ferruginibacter_sp001898465	s__Agathobacter_rectalis	s__Dehalobacterium_formicoaceticum	s__Weizmannia_ginsengihumi	s__Prevotella_denticola	s__Actinomyces_sp000195595	s__Haloferula_sp000739615	s__Gemmiger_qucibialis	s__Tannerella_forsythia	s__Dorea_A_longicatena	s__Tidjanibacter_inops_A	s__Sinomonas_atrocyanea	s__2-12-FULL-35-15_sp001769385	s__UBA2475_sp013288385	s__JAAFHV01_sp013297655	s__66-474_sp001899805	s__Nitrospira_F_nitrificans	s__3-1-20CM-4-69-9_sp013816245	s__Palsa-89_sp003166865	s__Treponema_B_denticola_A	s__WHTF01_sp009379725	s__Gp6-AA56_sp003222395	s__OLB14_sp013112685	s__GCA-2746885_sp002746885	s__Dysosmobacter_welbionis	s__Niastella_vici	s__Capnocytophaga_sp000466425	s__JACDET01_sp013816255	s__Aminipila_sp010120715	s__2-02-FULL-62-14_sp001805245	s__Niastella_populi	s__Dokdonella_A_fugitiva	s__Flaviaesturariibacter_sp004343705	s__Bacillus_H_patagoniensis	s__Treponema_D_socranskii
S_0313206	0.044994376	0.529808774	0.100112486	0.068616423	0	0	0	0	0.007874016	0.089988751	0	0	0.006749156	0	0	0	0	0	0.012373453	0.016872891	0	0	0	0.106861642	0	0	0	0	0.006749156	0.004499438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004499438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_0313207	0.040394089	0.201970443	0.065024631	0.189162562	0.010837438	0.055172414	0	0.001970443	0.036453202	0.058128079	0.009852217	0	0.044334975	0	0.016748768	0	0	0	0.002955665	0.091625616	0	0	0.144827586	0	0.002955665	0	0.006896552	0	0.003940887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014778325	0	0	0	0	0	0	0	0	0	0	0	0	0.001970443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_0313216	0.004454343	0.025612472	0.056792873	0.322939867	0.012249443	0	0.074610245	0.005567929	0.046770601	0.063474388	0.03674833	0	0.062360802	0	0	0	0.055679287	0	0	0.083518931	0	0.021158129	0	0	0	0	0	0.024498886	0	0.002227171	0	0	0	0	0	0.024498886	0	0.012249443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023385301	0.002227171	0.014476615	0	0	0.0077951	0	0	0	0	0	0	0	0.008908686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002227171	0	0	0	0	0	0.002227171	0	0	0	0	0	0	0	0	0.003340757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_0313218	0.053401144	0	0.082644628	0.108073744	0	0.153846154	0	0.020979021	0.024157661	0.128417038	0.004450095	0.001907184	0.006993007	0	0.033693579	0	0	0	0.070565798	0.165289256	0.017800381	0	0	0	0.017164654	0	0.025429116	0	0.015893198	0.017800381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019707565	0	0.008900191	0	0	0	0	0	0	0	0.007628735	0	0.007628735	0	0	0	0	0	0	0	0	0.002542912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003814367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001271456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_0313222	0.016307207	0.539189899	0.106785902	0.026301946	0	0.017885324	0	0.02472383	0	0.098369279	0	0	0.014203051	0	0.007890584	0.042609153	0	0	0.015781168	0.028406102	0.004208311	0	0	0	0	0	0.00473435	0	0.00999474	0.007890584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006838506	0	0	0	0	0	0	0.022093635	0	0	0	0	0	0	0.002630195	0	0	0	0	0.001052078	0.002104156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1211209	0.00831793	0.054528651	0.01663586	0.387245841	0.116913124	0	0.019408503	0	0.005083179	0	0.003696858	0.020332717	0.026802218	0	0.001386322	0	0.012939002	0.023567468	0	0.013401109	0.000924214	0.035582255	0	0	0	0	0	0.124768946	0.000924214	0.010166359	0.019408503	0	0	0	0	0.006469501	0	0.005545287	0	0	0.002772643	0.018946396	0.011090573	0	0	0	0.000924214	0	0	0	0.002310536	0	0	0	0.029574861	0	0	0	0	0	0	0.00831793	0	0	0	0	0	0	0	0.002310536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001848429	0	0	0	0	0	0	0	0.001386322	0.001386322	0.001386322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000924214	0.000924214	0.000924214	0.000924214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1211212	0.167922497	0.013455328	0.059741658	0.074273412	0.020452099	0.005920344	0.023143165	0.021528525	0.066738428	0.121097955	0.028525296	0.003229279	0.017761033	0	0.061356297	0.005382131	0	0.016146394	0.007534984	0.067814855	0.027987083	0.003767492	0	0	0.002152853	0.017761033	0.005920344	0.003229279	0.01022605	0.022604952	0	0	0	0	0	0.009687836	0	0	0.022066738	0.001076426	0	0	0.002152853	0.004305705	0	0.016146394	0	0	0.002152853	0	0	0	0	0	0.001076426	0	0	0.015608181	0.002691066	0.007534984	0	0.001076426	0.006458558	0	0.003229279	0	0.003229279	0.001614639	0	0.003229279	0	0	0	0	0.007534984	0.001614639	0	0	0	0	0	0	0	0	0	0	0.003229279	0.001614639	0	0	0	0.002152853	0	0	0	0	0	0	0	0	0	0.002691066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001076426	0	0	0	0	0.001076426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1212203	0.016863406	0.044688027	0.055649241	0.171163575	0.002529511	0.006745363	0.044688027	0.048060708	0.013490725	0	0.02613828	0	0.056492411	0	0	0	0	0.021079258	0	0.075885329	0.034569983	0.005902192	0	0	0	0.004215852	0	0	0.005059022	0.02613828	0.006745363	0	0	0	0	0.029510961	0	0	0	0.069139966	0.027824621	0	0.005059022	0.002529511	0	0.008431703	0	0.002529511	0	0.024451939	0	0.022765599	0.015177066	0	0	0.007588533	0.003372681	0.009274874	0.027824621	0.006745363	0	0	0	0	0	0.017706577	0	0.005059022	0	0.010961214	0	0.007588533	0	0	0.010961214	0.007588533	0	0.005059022	0	0	0	0	0	0	0.004215852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002529511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1213209	0.159046503	0.256350137	0.034388433	0.244626807	0.017584994	0	0.003907776	0.008987886	0.015631106	0.084017194	0.014849551	0.002735444	0	0.029699101	0	0	0	0	0.004689332	0.029699101	0.002344666	0	0	0	0.001172333	0.006252442	0.00664322	0	0	0	0.000781555	0	0	0	0	0.019538882	0	0	0	0.007033998	0	0.000781555	0	0.008987886	0	0.007033998	0	0.002344666	0	0	0	0	0	0	0	0	0	0	0.012114107	0	0.002344666	0	0	0	0	0	0.002344666	0	0	0.002735444	0	0	0	0.001953888	0	0	0.004298554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002344666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001563111	0	0	0	0	0	0	0	0	0	0.001172333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S_1213211	0.037197232	0.051903114	0.049307958	0.243944636	0.025951557	0	0.028546713	0.029411765	0.059688581	0.025086505	0.025951557	0.016435986	0.006055363	0.014705882	0.001730104	0.016435986	0	0.023356401	0	0.038062284	0.003460208	0.041522491	0	0	0	0.033737024	0	0.00432526	0.020761246	0.00432526	0.008650519	0	0	0.003460208	0	0.015570934	0	0	0	0.016435986	0.010380623	0	0.009515571	0.044117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001730104	0.003460208	0	0.015570934	0	0.010380623	0	0.00432526	0	0	0.01384083	0	0	0.002595156	0.010380623	0	0.001730104	0	0	0	0	0	0	0	0	0	0	0	0	0.001730104	0	0	0	0	0	0	0.003460208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003460208	0	0	0	0	0	0	0	0	0	0.002595156	0.002595156	0	0	0	0.001730104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001730104	0.001730104	0.001730104	0.001730104	0.001730104	0.001730104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
