PC1	PC2
S_8123220	0.030584474	0.154004611
S_0313206	-0.18343547	-0.152633403
S_8123213	-0.111785558	-0.053675727
S_1411224	0.10548992	-0.07540857
S_1313229	-0.090566377	-0.043712109
S_8123225	-0.06959515	-0.120159797
S_1413229	0.194671105	-0.106347122
S_8123218	-0.028205121	0.238505931
S_8221232	0.15437585	-0.056744448
S_1413216	0.171689586	0.002574875
S_1413230	-0.018591358	0.1402783
S_0313216	0.084122431	-0.129245632
S_8221227	0.12459894	0.142996081
S_1211212	-0.075277015	0.119275588
S_1313218	0.020769495	-0.0798072
S_1313221	0.236877923	-0.070611933
S_1313202	-0.211321625	0.341656508
S_8123214	-0.063158802	-0.087405824
S_8123227	0.022232978	0.17786816
S_0313222	-0.172096304	-0.266685698
S_1213209	-0.208411128	-0.308126417
S_0313218	-0.232180269	-0.06495937
S_8221222	0.112791178	0.011317036
S_1213218	-0.047248946	0.121582072
S_1211209	0.213611625	-0.117057742
S_1213211	0.096638097	-0.058530662
S_1313223	-0.219215518	0.210530058
S_1413233	-0.166221474	-0.116721606
S_1413221	0.27987744	0.051640923
S_8221213	0.020266564	0.065883487
S_8222219	-0.257303113	-0.002213814
S_8123226	-0.187346116	0.102601186
S_1413231	0.310018173	0.088299663
S_1311202	0.055173106	0.032059584
S_8123202	-0.007751731	-0.016588007
S_0313207	-0.064214735	-0.11911821
S_8221231	-0.042608005	0.108919405
S_1212203	0.222744929	-0.064240178
