PC1	PC2
S_8123220	-0.012499973	-0.097068269
S_0313206	0.114980618	-0.002818211
S_8123213	-0.048644366	0.02884966
S_1411224	-0.052686961	-0.030755152
S_1313229	0.054254689	0.062067437
S_8123225	0.233811023	0.03720264
S_1413229	-0.049930386	0.063239092
S_8123218	-0.041644313	-0.022711791
S_8221232	-0.102372082	0.038650622
S_1413216	-0.043546955	-0.073476235
S_1413230	-0.093141118	0.026785379
S_0313216	-0.096015818	-0.069009413
S_8221227	-0.072650125	-0.061643691
S_1211212	-0.108365657	0.078936751
S_1313218	-0.10188393	0.082346049
S_1313221	0.037418468	-0.078438573
S_1313202	0.03824419	0.064594585
S_8123214	0.003075414	-0.019699175
S_8123227	-0.134525067	0.034630421
S_0313222	0.081638733	0.08706149
S_1213209	0.223379217	0.039940362
S_0313218	-0.042849161	0.02214305
S_8221222	0.001521034	-0.039192366
S_1213218	0.115023794	-0.120226176
S_1211209	-0.076422507	0.004672281
S_1213211	0.162030239	-0.001383973
S_1313223	0.021300432	0.090730521
S_1413233	0.045257134	0.042061011
S_1413221	-0.049071004	0.056719504
S_8221213	-0.060828868	-0.120530073
S_8222219	0.204361294	0.023755186
S_8123226	-0.013225973	0.023724142
S_1413231	-0.066914827	-0.065467978
S_1311202	-0.003612815	0.00556716
S_8123202	-0.072007746	0.026869891
S_0313207	-0.001278151	7.72e-05
S_8221231	0.079107916	-0.14960195
S_1212203	-0.071286391	0.011398559
