PC1	PC2
S_8123220	0.117310115	-0.072623311
S_0313206	-0.171489419	-0.059004993
S_8123213	0.044052911	0.03951806
S_1411224	0.073920573	0.013059331
S_1313229	-0.015411398	-0.04215096
S_8123225	-0.013181099	-0.048148863
S_1413229	-0.100266115	0.138395118
S_8123218	0.054805667	0.017586826
S_8221232	0.084820263	0.063119634
S_1413216	0.054713517	-0.077729838
S_1413230	0.047316531	0.014907719
S_0313216	0.145290921	0.063750632
S_8221227	0.075826661	-0.016261504
S_1211212	-0.147331344	0.141371674
S_1313218	0.018244405	0.084520326
S_1313221	0.057595429	-0.054838289
S_1313202	-0.104950752	-0.014675197
S_8123214	-0.000556778	0.015198546
S_8123227	0.066459301	0.109316794
S_0313222	-0.164044937	-0.060214186
S_1213209	-0.187851186	-0.107947317
S_0313218	0.026006909	0.040475143
S_8221222	0.070163029	-0.048866559
S_1213218	0.038590331	-0.052139806
S_1211209	0.053238371	-0.001496483
S_1213211	-0.162804284	0.006527475
S_1313223	-0.180967002	0.087873344
S_1413233	-0.071082196	-0.060459562
S_1413221	-0.052957113	-0.001397863
S_8221213	0.160460716	0.021519832
S_8222219	-0.01122324	-0.121263366
S_8123226	-0.007642879	0.011048781
S_1413231	0.083222852	0.000815027
S_1311202	0.011185798	-0.047910596
S_8123202	0.03402926	0.083628311
S_0313207	-0.027933791	0.026964876
S_8221231	0.071957223	-0.132494928
S_1212203	0.030482751	0.04002617
