PC1	PC2
S_8123220	-0.088862492	-0.099463749
S_0313206	0.637605689	0.119246519
S_8123213	0.255616298	0.138075614
S_1411224	-0.007562982	-0.258647613
S_1313229	0.264479301	0.25851259
S_8123225	0.471014299	-0.112599683
S_1413229	-0.006352193	-0.257223007
S_8123218	-0.438115548	0.302236825
S_8221232	0.550355628	-0.395537952
S_1413216	-0.733580481	-0.366050977
S_1413230	-0.09361012	0.505438367
S_0313216	0.173257652	-0.24889117
S_8221227	-0.214452243	-0.102460424
S_1211212	-0.298016581	0.395554413
S_1313218	-0.067744778	0.094893434
S_1313221	-0.421578904	-0.439820091
S_1313202	-0.520413237	0.788637991
S_8123214	0.236840403	-0.016106601
S_8123227	-0.411072539	0.2469187
S_0313222	0.914591542	-0.155416609
S_1213209	1.064440425	-0.374696065
S_0313218	0.63043494	0.38350822
S_8221222	-0.221193275	-0.201449439
S_1213218	-0.197133978	0.119781294
S_1211209	-0.221958174	-0.490804905
S_1213211	-0.227551992	-0.096949944
S_1313223	-0.252932439	0.455354679
S_1413233	0.401337307	0.100407968
S_1413221	-0.915726236	-0.309259611
S_8221213	0.079174913	-0.184631148
S_8222219	0.215061511	0.391056111
S_8123226	0.233209908	0.636400084
S_1413231	-0.556364465	-0.342692392
S_1311202	0.037004349	-0.15698186
S_8123202	-0.462317292	-0.065682193
S_0313207	0.34715869	-0.14287878
S_8221231	-0.032028815	0.071543299
S_1212203	-0.123014091	-0.189321899
