PC1	PC2
S_0313206	-0.145803576	-0.410681692
S_0313207	0.072028832	-0.211378534
S_0313216	0.327998253	0.014188839
S_0313218	-0.019658142	-0.087696871
S_0313222	-0.19738306	-0.438487414
S_1211209	0.362135154	0.060184613
S_1211212	-0.066890432	0.102481374
S_1212203	0.305763693	-0.051636924
S_1213209	-0.004797148	-0.131909597
S_1213211	0.257480233	0.049529538
S_1213218	-0.151201684	0.338414241
S_1311202	0.198609471	0.041829612
S_1313202	-0.474289398	0.281466151
S_1313218	0.276816941	0.024577484
S_1313221	0.36423467	0.077443705
S_1313223	-0.406439888	0.185884137
S_1313229	-0.023323951	-0.207623695
S_1411224	0.262111293	0.103752691
S_1413216	0.039328956	0.110179432
S_1413221	0.040729292	-0.152055331
S_1413229	0.227595445	-0.049714538
S_1413230	-0.240407757	-0.324446309
S_1413231	0.076491878	-0.060501471
S_1413233	-0.279254995	-0.210304261
S_8123202	-0.096811445	0.034455144
S_8123213	-0.185196048	-0.242905121
S_8123214	0.208413255	0.09695324
S_8123218	-0.191968486	0.263641953
S_8123220	-0.226839421	0.2927552
S_8123225	0.159896917	0.09232125
S_8123226	-0.307162412	-0.097806563
S_8123227	-0.336491212	0.053182192
S_8221213	-0.312571501	0.061609196
S_8221222	0.13352006	0.070827406
S_8221227	-0.059705492	0.284106562
S_8221231	0.061390448	0.157417194
S_8221232	0.234281224	-0.21161023
S_8222219	0.117370032	0.091557393
