PC1	PC2
S_0313206	-0.285212587	0.099288619
S_0313207	-0.208996181	-0.124955025
S_0313216	0.057535158	0.177410296
S_0313218	-0.158647905	-0.205128076
S_0313222	-0.251645494	-0.137982393
S_1211209	0.155206958	0.231531257
S_1211212	0.219286408	-0.171077292
S_1212203	0.283466278	0.005990287
S_1213209	0.10875782	-0.233639266
S_1213211	0.262547508	-0.010039198
S_1213218	0.197161946	0.090432016
S_1311202	0.220864152	-0.051065471
S_1313202	-0.255094538	-0.135708796
S_1313218	0.128513311	-0.036509732
S_1313221	0.141353726	0.125357315
S_1313223	-0.349024885	0.205197453
S_1313229	-0.250867276	0.057961089
S_1411224	0.162379804	0.057911109
S_1413216	0.013976906	0.204972552
S_1413221	0.041653603	-0.010813914
S_1413229	0.238973449	0.019391421
S_1413230	-0.248657117	-0.212619354
S_1413231	0.06645626	0.144159507
S_1413233	-0.163773426	-0.249480753
S_8123202	0.013606345	0.02592099
S_8123213	0.046454812	-0.25010704
S_8123214	0.281104585	-0.047682248
S_8123218	-0.036528739	0.085104797
S_8123220	-0.123766068	0.108842298
S_8123225	0.349862743	0.04838168
S_8123226	-0.19996947	-0.240698819
S_8123227	-0.24881176	0.073423313
S_8221213	-0.248449491	0.188193467
S_8221222	-0.034938313	0.068828094
S_8221227	-0.181903518	0.098763211
S_8221231	0.158892139	-0.035274232
S_8221232	-0.133537431	0.208671365
S_8222219	0.231770284	-0.172950529
