PC1	PC2
S_0313206	-0.281848689	0.031509588
S_0313207	-0.135687002	-0.164817072
S_0313216	-0.002048374	0.138103289
S_0313218	-0.006142346	-0.210890154
S_0313222	-0.10529317	-0.195420916
S_1211209	0.118248461	0.21304081
S_1211212	0.248132732	-0.090153386
S_1212203	0.152419564	0.035030794
S_1213209	0.122095106	-0.129123625
S_1213211	0.255921095	0.128846364
S_1213218	0.075685676	0.155257233
S_1311202	0.07777877	-0.004717491
S_1313202	-0.110220628	-0.166901415
S_1313218	0.103110385	0.00035143
S_1313221	0.053451624	0.099975297
S_1313223	-0.324038	0.144895081
S_1313229	-0.147171937	-0.050128543
S_1411224	0.010016264	0.029053839
S_1413216	-0.105593035	0.137645228
S_1413221	0.108442644	-0.041240786
S_1413229	0.237293466	0.036572908
S_1413230	-0.098976058	-0.325290844
S_1413231	0.018106821	0.10707033
S_1413233	-0.040796963	-0.232183722
S_8123202	0.055001518	0.046823904
S_8123213	0.074511605	-0.19430941
S_8123214	0.306376202	0.041237701
S_8123218	-0.21173768	0.174578471
S_8123220	-0.186706278	0.075781705
S_8123225	0.368102048	0.086763381
S_8123226	-0.111351835	-0.251569405
S_8123227	-0.14408214	0.044666678
S_8221213	-0.22005568	0.169908438
S_8221222	-0.070221393	-0.004071538
S_8221227	-0.28523854	0.151024981
S_8221231	0.188925794	0.049794857
S_8221232	-0.178652428	0.0399606
S_8222219	0.192242402	-0.077074598
