PC1	PC2	
S_0313206	0.562688728	-0.36315354
S_0313207	-0.229724209	-0.404985261
S_0313216	-0.827825649	0.087040068
S_0313218	-0.006476382	-0.830802338
S_0313222	0.427015966	-0.717687069
S_1211209	-1.263222003	0.973460367
S_1211212	0.140615542	-0.530987171
S_1212203	-0.608988216	-0.307876874
S_1213209	-0.04577656	-0.112835046
S_1213211	-0.684415356	0.238458834
S_1213218	0.574636761	0.667162184
S_1311202	-0.754149707	-0.144684748
S_1313202	1.404521071	0.225920096
S_1313218	-0.66628761	-0.450035688
S_1313221	-0.492210053	0.31860768
S_1313223	1.516404464	1.096650174
S_1313229	-0.01239321	-0.718661115
S_1411224	-0.588002966	0.280192658
S_1413216	-0.017956038	0.622056209
S_1413221	0.003274535	-0.27829338
S_1413229	-0.662911431	0.384596105
S_1413230	0.745372949	-0.755199384
S_1413231	-0.290075908	-0.821174528
S_1413233	1.202829906	0.52033461
S_8123202	0.294462362	0.138831047
S_8123213	0.598411921	-0.314462708
S_8123214	-0.635390972	0.05469453
S_8123218	0.259591464	0.144231332
S_8123220	0.485100127	-0.367887843
S_8123225	-0.671377917	0.347656724
S_8123226	0.776617211	-0.512529709
S_8123227	0.904380561	0.200998607
S_8221213	0.727141749	0.641709805
S_8221222	-0.563770112	0.353718287
S_8221227	-0.024852606	0.009274646
S_8221231	-0.401320119	0.004837644
S_8221232	-0.698395025	0.334212245
S_8222219	-0.477543268	-0.013387451
		
Biplot	0	0
		
Site constraints	0	0
