PC1	PC2
S_0313206	-0.167245083	-0.019106782
S_0313207	0.014018242	-0.023927357
S_0313216	0.071453353	-0.0538412
S_0313218	-0.051488781	-0.07366587
S_0313222	-0.101022778	-0.065999937
S_1211209	0.176072469	-0.059695818
S_1211212	-0.055214699	0.057745066
S_1212203	0.275633393	0.045869492
S_1213209	-0.086168756	-0.08965053
S_1213211	0.065208867	-0.050259725
S_1213218	0.040625161	-0.063894536
S_1311202	0.02762036	-0.021930407
S_1313202	-0.348517941	0.28607362
S_1313218	0.08494667	-0.0585412
S_1313221	0.174550175	-0.039268498
S_1313223	-0.167699012	0.021574913
S_1313229	-0.011062068	-0.128431082
S_1411224	0.023631676	-0.16695648
S_1413216	0.129065421	0.021713633
S_1413221	0.077345955	0.110073706
S_1413229	0.288292572	0.155107117
S_1413230	0.041712629	0.230571786
S_1413231	0.306747035	0.2202378
S_1413233	-0.079658501	0.091835958
S_8123202	0.098347897	0.154392762
S_8123213	-0.107467345	0.093366235
S_8123214	-0.123638393	-0.091808486
S_8123218	-0.139740414	0.116473233
S_8123220	-0.066080312	-0.085025901
S_8123225	0.069725513	-0.131042781
S_8123226	-0.32267412	0.041567365
S_8123227	-0.06501096	-0.045186372
S_8221213	0.064365451	0.014087514
S_8221222	-0.004505566	-0.060525186
S_8221227	0.048322893	-0.097389426
S_8221231	-0.110424851	0.111308149
S_8221232	-0.028250797	-0.203446052
S_8222219	-0.041815355	-0.142404722
