PC1	PC2
S_0313206	-0.086983072	-0.084724313
S_0313207	-0.136984934	-0.011592201
S_0313216	-0.122680645	0.143001459
S_0313218	-0.024536314	-0.057961298
S_0313222	-0.170522505	-0.025286718
S_1211209	-0.045451117	0.012748354
S_1211212	0.12279333	0.021485222
S_1212203	0.19861491	0.097791718
S_1213209	0.053954962	-0.064108743
S_1213211	0.135798447	0.010293511
S_1213218	0.153417472	-0.089090676
S_1311202	-0.152963044	0.06046646
S_1313202	0.061306121	-0.041430742
S_1313218	0.156566137	-0.012950827
S_1313221	-0.096614022	0.136438563
S_1313223	-0.088598536	-0.044820707
S_1313229	-0.064267576	0.11782451
S_1411224	0.062258883	0.133158487
S_1413216	-0.203777681	0.188917551
S_1413221	-0.194613522	-0.043060764
S_1413229	-0.233030057	0.104934949
S_1413230	-0.015747029	-0.061225799
S_1413231	-0.190144903	-0.043398071
S_1413233	-0.217753969	-0.176937442
S_8123202	-0.101769406	-0.243739903
S_8123213	0.172885743	0.011598226
S_8123214	-0.021887307	0.013582809
S_8123218	0.112150429	-0.002624715
S_8123220	0.048438639	0.013577724
S_8123225	0.225742803	-0.042364216
S_8123226	0.123390255	-0.100237194
S_8123227	0.189283863	0.099140784
S_8221213	0.080955105	0.003600128
S_8221222	-0.022315303	0.101288067
S_8221227	0.15505293	-0.002844724
S_8221231	0.055683759	-0.080766186
S_8221232	0.093773124	0.085228446
S_8222219	-0.011425972	-0.12591173
