PC1	PC2
S_0313206	-0.035933649	-0.093153158
S_0313207	-0.087037466	0.003909842
S_0313216	-0.174159415	-0.009029467
S_0313218	-0.006943247	-0.024890182
S_0313222	-0.054690667	0.205422196
S_1211209	-0.049938508	0.053087618
S_1211212	0.145149655	0.011764136
S_1212203	0.158023766	0.080515601
S_1213209	0.089035598	0.151706121
S_1213211	0.036993664	0.032436647
S_1213218	0.100524436	-0.071882842
S_1311202	-0.065497704	0.039393581
S_1313202	0.004610406	-0.005722071
S_1313218	0.120082891	0.096549106
S_1313221	-0.040274551	0.077626973
S_1313223	-0.113477228	0.077467621
S_1313229	-0.046638407	-0.019213316
S_1411224	0.030073346	-0.013013201
S_1413216	-0.252755302	-0.036883883
S_1413221	-0.13145492	-0.037883487
S_1413229	-0.211021372	0.034830903
S_1413230	-0.03186595	0.047103785
S_1413231	-0.047208396	0.169841351
S_1413233	-0.061334376	0.023545166
S_8123202	-0.060408861	-0.057529309
S_8123213	0.115268148	-0.031814093
S_8123214	-0.033511606	-0.09749089
S_8123218	0.124512059	0.016307307
S_8123220	-0.008347078	-0.145348025
S_8123225	0.233620699	0.041015746
S_8123226	0.05363261	-0.04908082
S_8123227	0.079023005	-0.049042716
S_8221213	0.069665129	-0.085475715
S_8221222	-0.081175591	-0.078878821
S_8221227	0.064387301	-0.134453158
S_8221231	0.06889287	-0.108122663
S_8221232	0.039892279	-0.036393327
S_8222219	0.060286435	0.022777446
