PC1	PC2	
S_0313206	0.658151299	-0.222230527
S_0313207	-0.266042468	-0.028523594
S_0313216	0.073143727	0.189021388
S_0313218	0.103179793	-0.361818673
S_0313222	0.301264529	-0.080632236
S_1211209	-0.584720591	0.637822942
S_1211212	0.424696006	0.102127807
S_1212203	-0.008744359	0.51275523
S_1213209	-0.182985008	-0.46523802
S_1213211	-0.378041004	0.093665019
S_1213218	-0.209875841	0.058298461
S_1311202	-0.061506527	0.113679652
S_1313202	0.994012178	-0.423582136
S_1313218	0.257123632	0.01658398
S_1313221	-0.186542889	0.321770188
S_1313223	0.113608633	-0.241757043
S_1313229	0.042918168	-0.267824005
S_1411224	-0.652545325	-0.162090501
S_1413216	-0.18345784	0.370244839
S_1413221	-0.198421406	0.443072629
S_1413229	0.448636514	0.454805806
S_1413230	0.727754408	0.34907262
S_1413231	0.590684574	0.514023843
S_1413233	0.499418714	-0.238607167
S_8123202	0.133544104	0.412155495
S_8123213	0.356756692	-0.004778572
S_8123214	0.003114776	-0.36896738
S_8123218	0.126978811	-0.208004706
S_8123220	-0.410072561	0.078284027
S_8123225	-0.491023656	0.074141931
S_8123226	0.409316794	-0.476929068
S_8123227	-0.208736677	-0.07556046
S_8221213	-0.089416852	0.021073985
S_8221222	-0.167381017	0.124813186
S_8221227	-0.290952606	-0.14782918
S_8221231	-0.407998566	-0.462285711
S_8221232	-0.757632212	-0.361432343
S_8222219	-0.528205948	-0.289321706
		
Biplot	0	0
		
Site constraints	0	0
