1bin,depth,microbial_reads,type
s11_1_1_1bin,0.1,12743,2b
s11_1_10_1bin,1,122533,2b
s11_1_100_1bin,10,1180871,2b
s11_1_125_1bin,12.5,1475551,2b
s11_1_150_1bin,15,1770214,2b
s11_1_175_1bin,17.5,2060144,2b
s11_1_20_1bin,2,243862,2b
s11_1_200_1bin,20,2355174,2b
s11_1_225_1bin,22.5,2649804,2b
s11_1_50_1bin,5,593990,2b
s11_1_75_1bin,7.5,886723,2b
s11_11_1_1bin,0.1,5240,2b
s11_11_10_1bin,1,52104,2b
s11_11_100_1bin,10,437403,2b
s11_11_125_1bin,12.5,437403,2b
s11_11_150_1bin,15,437403,2b
s11_11_175_1bin,17.5,437403,2b
s11_11_20_1bin,2,102663,2b
s11_11_200_1bin,20,437403,2b
s11_11_225_1bin,22.5,437403,2b
s11_11_50_1bin,5,250246,2b
s11_11_75_1bin,7.5,373753,2b
s11_12_1_1bin,0.1,9073,2b
s11_12_10_1bin,1,91022,2b
s11_12_100_1bin,10,847650,2b
s11_12_125_1bin,12.5,847650,2b
s11_12_150_1bin,15,847650,2b
s11_12_175_1bin,17.5,847650,2b
s11_12_20_1bin,2,181374,2b
s11_12_200_1bin,20,847650,2b
s11_12_225_1bin,22.5,847650,2b
s11_12_50_1bin,5,452489,2b
s11_12_75_1bin,7.5,672523,2b
s11_14_1_1bin,0.1,4515,2b
s11_14_10_1bin,1,47787,2b
s11_14_100_1bin,10,445619,2b
s11_14_125_1bin,12.5,555856,2b
s11_14_150_1bin,15,665953,2b
s11_14_175_1bin,17.5,775796,2b
s11_14_20_1bin,2,92782,2b
s11_14_200_1bin,20,885454,2b
s11_14_225_1bin,22.5,994902,2b
s11_14_50_1bin,5,225712,2b
s11_14_75_1bin,7.5,334997,2b
s11_2_1_1bin,0.1,4164,2b
s11_2_10_1bin,1,40822,2b
s11_2_100_1bin,10,370958,2b
s11_2_125_1bin,12.5,370958,2b
s11_2_150_1bin,15,370958,2b
s11_2_175_1bin,17.5,370958,2b
s11_2_20_1bin,2,81179,2b
s11_2_200_1bin,20,370958,2b
s11_2_225_1bin,22.5,370958,2b
s11_2_50_1bin,5,191154,2b
s11_2_75_1bin,7.5,284706,2b
s11_6_1_1bin,0.1,17319,2b
s11_6_10_1bin,1,167785,2b
s11_6_100_1bin,10,1630577,2b
s11_6_125_1bin,12.5,2035545,2b
s11_6_150_1bin,15,2441688,2b
s11_6_175_1bin,17.5,2845948,2b
s11_6_20_1bin,2,332271,2b
s11_6_200_1bin,20,3250102,2b
s11_6_225_1bin,22.5,3568946,2b
s11_6_50_1bin,5,818707,2b
s11_6_75_1bin,7.5,1223647,2b
s11_7_1_1bin,0.1,16567,2b
s11_7_10_1bin,1,162640,2b
s11_7_100_1bin,10,1289747,2b
s11_7_125_1bin,12.5,1289747,2b
s11_7_150_1bin,15,1289747,2b
s11_7_175_1bin,17.5,1289747,2b
s11_7_20_1bin,2,320946,2b
s11_7_200_1bin,20,1289747,2b
s11_7_225_1bin,22.5,1289747,2b
s11_7_50_1bin,5,786494,2b
s11_7_75_1bin,7.5,1176220,2b
s11_9_1_1bin,0.1,29034,2b
s11_9_10_1bin,1,270230,2b
s11_9_100_1bin,10,2667411,2b
s11_9_125_1bin,12.5,3332663,2b
s11_9_150_1bin,15,3996793,2b
s11_9_175_1bin,17.5,4662228,2b
s11_9_20_1bin,2,537290,2b
s11_9_200_1bin,20,5328050,2b
s11_9_225_1bin,22.5,5991048,2b
s11_9_50_1bin,5,1339298,2b
s11_9_75_1bin,7.5,2002345,2b
s13_1_1_1bin,0.1,9435,2b
s13_1_10_1bin,1,92567,2b
s13_1_100_1bin,10,898632,2b
s13_1_125_1bin,12.5,1123572,2b
s13_1_150_1bin,15,1346359,2b
s13_1_175_1bin,17.5,1570424,2b
s13_1_20_1bin,2,182972,2b
s13_1_200_1bin,20,1793554,2b
s13_1_225_1bin,22.5,2016501,2b
s13_1_50_1bin,5,452724,2b
s13_1_75_1bin,7.5,684650,2b
s13_11_1_1bin,0.1,3857,2b
s13_11_10_1bin,1,41992,2b
s13_11_100_1bin,10,407750,2b
s13_11_125_1bin,12.5,508469,2b
s13_11_150_1bin,15,577379,2b
s13_11_175_1bin,17.5,577379,2b
s13_11_20_1bin,2,83534,2b
s13_11_200_1bin,20,577379,2b
s13_11_225_1bin,22.5,577379,2b
s13_11_50_1bin,5,205565,2b
s13_11_75_1bin,7.5,306141,2b
s13_12_1_1bin,0.1,7448,2b
s13_12_10_1bin,1,70124,2b
s13_12_100_1bin,10,691876,2b
s13_12_125_1bin,12.5,767020,2b
s13_12_150_1bin,15,767020,2b
s13_12_175_1bin,17.5,767020,2b
s13_12_20_1bin,2,139782,2b
s13_12_200_1bin,20,767020,2b
s13_12_225_1bin,22.5,767020,2b
s13_12_50_1bin,5,348956,2b
s13_12_75_1bin,7.5,522177,2b
s13_14_1_1bin,0.1,5647,2b
s13_14_10_1bin,1,56822,2b
s13_14_100_1bin,10,534501,2b
s13_14_125_1bin,12.5,665943,2b
s13_14_150_1bin,15,798396,2b
s13_14_175_1bin,17.5,930731,2b
s13_14_20_1bin,2,109746,2b
s13_14_200_1bin,20,1063708,2b
s13_14_225_1bin,22.5,1194383,2b
s13_14_50_1bin,5,270661,2b
s13_14_75_1bin,7.5,404859,2b
s13_2_1_1bin,0.1,2448,2b
s13_2_10_1bin,1,25948,2b
s13_2_100_1bin,10,172127,2b
s13_2_125_1bin,12.5,172127,2b
s13_2_150_1bin,15,172127,2b
s13_2_175_1bin,17.5,172127,2b
s13_2_20_1bin,2,52199,2b
