id,depth,microbial_reads,type
s11_1_1_1bin,1,3667,WMS
s11_11_1_1bin,1,774,WMS
s11_12_1_1bin,1,1416,WMS
s11_14_1_1bin,1,716,WMS
s11_2_1_1bin,1,442,WMS
s11_6_1_1bin,1,5272,WMS
s11_7_1_1bin,1,3884,WMS
s11_9_1_1bin,1,16733,WMS
s13_1_1_1bin,1,2178,WMS
s13_11_1_1bin,1,531,WMS
s13_12_1_1bin,1,1268,WMS
s13_14_1_1bin,1,1079,WMS
s13_2_1_1bin,1,288,WMS
s13_6_1_1bin,1,3280,WMS
s13_7_1_1bin,1,1400,WMS
s13_9_1_1bin,1,5094,WMS
s17_1_1_1bin,1,8286,WMS
s17_11_1_1bin,1,522,WMS
s17_12_1_1bin,1,2562,WMS
s17_14_1_1bin,1,1346,WMS
s17_2_1_1bin,1,483,WMS
s17_6_1_1bin,1,3218,WMS
s17_7_1_1bin,1,4765,WMS
s17_9_1_1bin,1,19397,WMS
s9_1_1_1bin,1,1247,WMS
s9_11_1_1bin,1,411,WMS
s9_12_1_1bin,1,727,WMS
s9_14_1_1bin,1,1772,WMS
s9_2_1_1bin,1,703,WMS
s9_6_1_1bin,1,38281,WMS
s9_7_1_1bin,1,1773,WMS
s9_9_1_1bin,1,17275,WMS
s11_1_10_1bin,10,37346,WMS
s11_11_10_1bin,10,7809,WMS
s11_12_10_1bin,10,14346,WMS
s11_14_10_1bin,10,6715,WMS
s11_2_10_1bin,10,4563,WMS
s11_6_10_1bin,10,52742,WMS
s11_7_10_1bin,10,38770,WMS
s11_9_10_1bin,10,167008,WMS
s13_1_10_1bin,10,20922,WMS
s13_11_10_1bin,10,5294,WMS
s13_12_10_1bin,10,12684,WMS
s13_14_10_1bin,10,10575,WMS
s13_2_10_1bin,10,2864,WMS
s13_6_10_1bin,10,32896,WMS
s13_7_10_1bin,10,14081,WMS
s13_9_10_1bin,10,51342,WMS
s17_1_10_1bin,10,85552,WMS
s17_11_10_1bin,10,5209,WMS
s17_12_10_1bin,10,26611,WMS
s17_14_10_1bin,10,13448,WMS
s17_2_10_1bin,10,5301,WMS
s17_6_10_1bin,10,33167,WMS
s17_7_10_1bin,10,48467,WMS
s17_9_10_1bin,10,192481,WMS
s9_1_10_1bin,10,12624,WMS
s9_11_10_1bin,10,4870,WMS
s9_12_10_1bin,10,7749,WMS
s9_14_10_1bin,10,18220,WMS
s9_2_10_1bin,10,6785,WMS
s9_6_10_1bin,10,380910,WMS
s9_7_10_1bin,10,17387,WMS
s9_9_10_1bin,10,172329,WMS
s11_1_20_1bin,20,74455,WMS
s11_11_20_1bin,20,15666,WMS
s11_12_20_1bin,20,28531,WMS
s11_14_20_1bin,20,13526,WMS
s11_2_20_1bin,20,9318,WMS
s11_6_20_1bin,20,105794,WMS
s11_7_20_1bin,20,77780,WMS
s11_9_20_1bin,20,334418,WMS
s13_1_20_1bin,20,41425,WMS
s13_11_20_1bin,20,10697,WMS
s13_12_20_1bin,20,25176,WMS
s13_14_20_1bin,20,20985,WMS
s13_2_20_1bin,20,5790,WMS
s13_6_20_1bin,20,65946,WMS
s13_7_20_1bin,20,27930,WMS
s13_9_20_1bin,20,102356,WMS
s17_1_20_1bin,20,169913,WMS
s17_11_20_1bin,20,10307,WMS
s17_12_20_1bin,20,52991,WMS
s17_14_20_1bin,20,26774,WMS
s17_2_20_1bin,20,10610,WMS
s17_6_20_1bin,20,66130,WMS
s17_7_20_1bin,20,96613,WMS
s17_9_20_1bin,20,385640,WMS
s9_1_20_1bin,20,24969,WMS
s9_11_20_1bin,20,9722,WMS
s9_12_20_1bin,20,15522,WMS
s9_14_20_1bin,20,36608,WMS
s9_2_20_1bin,20,13953,WMS
s9_6_20_1bin,20,761847,WMS
s9_7_20_1bin,20,35229,WMS
s9_9_20_1bin,20,346195,WMS
s11_1_50_1bin,50,185691,WMS
s11_11_50_1bin,50,38453,WMS
s11_12_50_1bin,50,71569,WMS
